date,cash_in_cents,refund_out_cents,supplier_out_cents,expense_out_cents,net_cash_change_cents,cumulative_cash_movement_cents,cash_coverage_known
2025-12-27,56266,0,0,0,56266,-297508,1
2025-12-28,213792,0,0,0,213792,-83716,1
2025-12-29,157142,17875,0,0,139267,55551,1
2025-12-30,62842,28335,0,0,34507,90058,1
2025-12-31,44832,0,0,0,44832,134890,1
2026-01-01,258619,0,0,10181,248438,383328,1
2026-01-02,78901,0,0,0,78901,462229,1
2026-01-03,14533,0,0,8790,5743,467972,1
2026-01-04,84039,0,0,0,84039,552011,1
2026-01-07,143678,0,0,0,143678,695689,1
2026-01-08,23214,0,0,0,23214,718903,1
2026-01-09,204570,0,0,0,204570,923473,1
2026-01-10,96530,27908,0,0,68622,992095,1
2026-01-11,97585,0,0,0,97585,1089680,1
2026-01-12,178365,0,0,0,178365,1268045,1
2026-01-13,23717,0,0,0,23717,1291762,1
2026-01-14,61615,0,0,0,61615,1353377,1
2026-01-15,226955,0,0,0,226955,1580332,1
2026-01-16,137594,0,0,0,137594,1717926,1
2026-01-17,28140,11087,0,0,17053,1734979,1
2026-01-18,156680,0,0,0,156680,1891659,1
2026-01-19,114398,0,0,0,114398,2006057,1
2026-01-20,18273,0,0,0,18273,2024330,1
2026-01-21,135339,0,0,0,135339,2159669,1
2026-01-22,156735,0,0,0,156735,2316404,1
2026-01-23,266617,17149,0,0,249468,2565872,1
2026-01-24,48004,0,0,0,48004,2613876,1
2026-01-25,146483,0,0,0,146483,2760359,1
2026-01-26,101399,0,0,0,101399,2861758,1
2026-01-27,288685,0,0,0,288685,3150443,1
2026-01-28,101475,0,0,0,101475,3251918,1
2026-01-29,65852,0,0,0,65852,3317770,1
2026-01-30,0,10610,0,0,-10610,3307160,1
2026-02-01,0,0,0,13807,-13807,3293353,1
2026-02-02,88443,0,0,0,88443,3381796,1
2026-02-03,59426,0,0,16993,42433,3424229,1
2026-02-04,301811,0,0,0,301811,3726040,1
2026-02-05,187109,0,0,0,187109,3913149,1
2026-02-06,88729,0,0,0,88729,4001878,1
2026-02-07,22082,0,0,0,22082,4023960,1
2026-02-08,16464,0,0,0,16464,4040424,1
2026-02-09,240009,0,0,0,240009,4280433,1
2026-02-10,96030,0,0,0,96030,4376463,1
2026-02-11,305946,0,0,0,305946,4682409,1
2026-02-12,72271,11620,0,0,60651,4743060,1
2026-02-13,0,24637,0,0,-24637,4718423,1
2026-02-14,83077,0,0,0,83077,4801500,1
2026-02-16,148287,0,0,0,148287,4949787,1
2026-02-17,53070,10702,0,0,42368,4992155,1
2026-02-19,112190,0,0,0,112190,5104345,1
2026-02-20,111244,0,0,0,111244,5215589,1
2026-02-21,125636,0,0,0,125636,5341225,1
2026-02-22,128371,0,0,0,128371,5469596,1
2026-02-24,14337,0,0,0,14337,5483933,1
2026-02-25,81004,0,0,0,81004,5564937,1
2026-02-28,33815,0,0,0,33815,5598752,1
2026-03-01,321371,0,0,9433,311938,5910690,1
2026-03-02,286565,0,0,0,286565,6197255,1
2026-03-03,16467,0,0,17833,-1366,6195889,1
2026-03-04,98483,0,0,0,98483,6294372,1
2026-03-05,16975,0,0,0,16975,6311347,1
2026-03-06,170962,0,0,0,170962,6482309,1
2026-03-07,169878,0,0,0,169878,6652187,1
2026-03-08,124926,0,0,0,124926,6777113,1
2026-03-09,43347,0,0,0,43347,6820460,1
2026-03-10,106388,0,0,0,106388,6926848,1
2026-03-11,65702,11257,0,0,54445,6981293,1
2026-03-12,45637,0,0,0,45637,7026930,1
2026-03-13,167982,18501,0,0,149481,7176411,1
2026-03-14,124525,0,0,0,124525,7300936,1
2026-03-15,208826,0,0,0,208826,7509762,1
2026-03-16,122642,0,0,0,122642,7632404,1
2026-03-17,165634,10777,0,0,154857,7787261,1
2026-03-18,71805,0,0,0,71805,7859066,1
2026-03-19,11180,10118,0,0,1062,7860128,1
2026-03-20,138867,10626,0,0,128241,7988369,1
2026-03-21,105936,0,0,0,105936,8094305,1
2026-03-22,94589,0,0,0,94589,8188894,1
2026-03-24,151811,0,0,0,151811,8340705,1
2026-03-25,65271,0,0,0,65271,8405976,1
2026-03-26,264458,0,0,0,264458,8670434,1
2026-03-27,178927,0,0,0,178927,8849361,1
2026-03-28,34505,0,0,0,34505,8883866,1
2026-03-29,87383,0,0,0,87383,8971249,1
2026-03-30,184175,0,0,0,184175,9155424,1
2026-03-31,116819,0,0,0,116819,9272243,1
2026-04-01,83129,0,0,11935,71194,9343437,1
2026-04-02,22053,0,0,0,22053,9365490,1
2026-04-03,233684,0,0,18345,215339,9580829,1
2026-04-04,487106,0,0,0,487106,10067935,1
2026-04-05,262592,0,0,0,262592,10330527,1
2026-04-06,150142,0,0,0,150142,10480669,1
2026-04-07,23200,0,0,0,23200,10503869,1
2026-04-08,135790,0,0,0,135790,10639659,1
2026-04-09,105990,0,0,0,105990,10745649,1
2026-04-10,67082,0,0,0,67082,10812731,1
2026-04-11,22014,0,0,0,22014,10834745,1
2026-04-12,200925,0,0,0,200925,11035670,1
2026-04-13,0,13806,0,0,-13806,11021864,1
2026-04-14,137352,0,0,0,137352,11159216,1
2026-04-15,317542,0,0,0,317542,11476758,1
2026-04-16,199073,10487,0,0,188586,11665344,1
2026-04-18,32931,0,0,0,32931,11698275,1
2026-04-19,131196,0,0,0,131196,11829471,1
2026-04-20,136445,18365,0,0,118080,11947551,1
2026-04-21,50136,0,0,0,50136,11997687,1
2026-04-22,39654,0,0,0,39654,12037341,1
2026-04-23,10562,0,0,0,10562,12047903,1
2026-04-25,63901,0,0,0,63901,12111804,1
2026-04-26,352753,11204,0,0,341549,12453353,1
2026-04-27,111248,0,0,0,111248,12564601,1
2026-04-28,145541,0,0,0,145541,12710142,1
2026-04-29,340972,0,0,0,340972,13051114,1
2026-04-30,191486,0,0,0,191486,13242600,1
2026-05-01,39011,0,0,9581,29430,13272030,1
2026-05-02,56397,0,0,0,56397,13328427,1
2026-05-03,22283,0,0,8169,14114,13342541,1
2026-05-04,159689,0,0,0,159689,13502230,1
2026-05-05,46371,10452,0,0,35919,13538149,1
2026-05-06,195583,16824,0,0,178759,13716908,1
2026-05-07,64964,0,0,0,64964,13781872,1
2026-05-08,108873,52945,0,0,55928,13837800,1
2026-05-09,217447,0,0,0,217447,14055247,1
2026-05-10,32649,0,0,0,32649,14087896,1
2026-05-11,58060,0,0,0,58060,14145956,1
2026-05-12,160610,0,0,0,160610,14306566,1
2026-05-13,199430,0,0,0,199430,14505996,1
2026-05-14,304980,0,0,0,304980,14810976,1
2026-05-15,209612,0,0,0,209612,15020588,1
2026-05-16,122550,0,0,0,122550,15143138,1
2026-05-17,194430,0,0,0,194430,15337568,1
2026-05-18,33641,0,0,0,33641,15371209,1
2026-05-19,82843,0,0,0,82843,15454052,1
2026-05-20,65381,0,0,0,65381,15519433,1
2026-05-21,180408,11499,0,0,168909,15688342,1
2026-05-22,285028,0,0,0,285028,15973370,1
2026-05-23,176026,0,0,0,176026,16149396,1
2026-05-24,319711,9928,0,0,309783,16459179,1
2026-05-25,140603,0,0,0,140603,16599782,1
2026-05-26,134408,0,0,0,134408,16734190,1
2026-05-27,77705,0,0,0,77705,16811895,1
2026-05-28,521269,0,0,0,521269,17333164,1
2026-05-29,436777,0,0,0,436777,17769941,1
2026-05-30,274228,0,0,0,274228,18044169,1
2026-05-31,25539,0,0,0,25539,18069708,1
2026-06-01,203316,0,0,12389,190927,18260635,1
2026-06-02,88793,25968,0,0,62825,18323460,1
2026-06-03,32972,9057,0,18001,5914,18329374,1
2026-06-04,207664,16854,0,0,190810,18520184,1
2026-06-05,159323,19963,0,0,139360,18659544,1
2026-06-06,105280,0,0,0,105280,18764824,1
2026-06-07,359674,10860,0,0,348814,19113638,1
2026-06-08,464951,0,0,0,464951,19578589,1
2026-06-09,355029,0,0,0,355029,19933618,1
2026-06-10,274816,0,0,0,274816,20208434,1
2026-06-11,72726,0,0,0,72726,20281160,1
2026-06-12,22509,10780,0,0,11729,20292889,1
2026-06-13,305440,0,0,0,305440,20598329,1
2026-06-14,190168,0,0,0,190168,20788497,1
2026-06-15,141079,0,0,0,141079,20929576,1
2026-06-16,290823,0,0,0,290823,21220399,1
2026-06-17,161765,0,0,0,161765,21382164,1
2026-06-18,33546,10308,0,0,23238,21405402,1
2026-06-19,221045,0,0,0,221045,21626447,1
2026-06-20,411003,0,0,0,411003,22037450,1
2026-06-21,251568,0,0,0,251568,22289018,1
2026-06-22,87258,0,0,0,87258,22376276,1
2026-06-23,54403,20712,0,0,33691,22409967,1
2026-06-24,310747,0,0,0,310747,22720714,1
2026-06-25,615131,0,0,0,615131,23335845,1
2026-06-26,173130,0,0,0,173130,23508975,1
2026-06-27,67422,0,0,0,67422,23576397,1
2026-06-28,416127,0,0,0,416127,23992524,1
2026-06-29,406279,20061,0,0,386218,24378742,1
2026-06-30,385432,0,0,0,385432,24764174,1
2026-07-01,534283,0,0,10594,523689,25287863,1
2026-07-02,310999,0,0,0,310999,25598862,1
2026-07-03,214804,0,0,14038,200766,25799628,1
2026-07-04,95206,35250,0,0,59956,25859584,1
2026-07-05,96489,0,0,0,96489,25956073,1
2026-07-06,150387,21366,0,0,129021,26085094,1
2026-07-07,283832,10952,0,0,272880,26357974,1
2026-07-08,207718,32597,0,0,175121,26533095,1
2026-07-09,420524,0,0,0,420524,26953619,1
2026-07-10,316658,10731,0,0,305927,27259546,1
2026-07-11,281332,0,0,0,281332,27540878,1
2026-07-12,151675,0,0,0,151675,27692553,1
2026-07-13,251699,0,0,0,251699,27944252,1
2026-07-14,385086,0,0,0,385086,28329338,1
2026-07-15,381383,0,0,0,381383,28710721,1
2026-07-16,131255,0,0,0,131255,28841976,1
2026-07-17,289992,15555,0,0,274437,29116413,1
2026-07-18,317920,0,0,0,317920,29434333,1
2026-07-19,135626,0,0,0,135626,29569959,1
2026-07-20,292930,0,0,0,292930,29862889,1
2026-07-21,229264,21357,0,0,207907,30070796,1
2026-07-22,58627,0,0,0,58627,30129423,1
2026-07-23,343446,0,0,0,343446,30472869,1
2026-07-24,306060,0,0,0,306060,30778929,1
2026-07-25,184282,0,0,0,184282,30963211,1
2026-07-26,145825,0,0,0,145825,31109036,1
2026-07-27,75216,0,0,0,75216,31184252,1
2026-07-28,177905,0,0,0,177905,31362157,1
2026-07-29,123199,0,0,0,123199,31485356,1
2026-07-30,86795,17021,0,0,69774,31555130,1
2026-07-31,141990,0,0,0,141990,31697120,1
2026-08-01,283064,0,0,13927,269137,31966257,1
2026-08-02,90054,0,0,0,90054,32056311,1
2026-08-03,82096,8917,0,13469,59710,32116021,1
2026-08-04,266695,0,0,0,266695,32382716,1
2026-08-05,47016,0,0,0,47016,32429732,1
2026-08-06,168938,0,0,0,168938,32598670,1
2026-08-07,224588,0,0,0,224588,32823258,1
2026-08-08,187880,0,0,0,187880,33011138,1
2026-08-09,478126,0,0,0,478126,33489264,1
2026-08-10,119626,0,0,0,119626,33608890,1
2026-08-11,116724,0,0,0,116724,33725614,1
2026-08-12,88043,0,0,0,88043,33813657,1
2026-08-13,390485,0,0,0,390485,34204142,1
2026-08-14,102480,0,0,0,102480,34306622,1
2026-08-15,188426,0,0,0,188426,34495048,1
2026-08-16,262034,0,0,0,262034,34757082,1
2026-08-17,239733,27953,0,0,211780,34968862,1
2026-08-18,447190,0,0,0,447190,35416052,1
2026-08-19,205184,0,0,0,205184,35621236,1
2026-08-20,536523,0,0,0,536523,36157759,1
2026-08-21,280451,0,0,0,280451,36438210,1
2026-08-22,385141,9769,0,0,375372,36813582,1
2026-08-23,125715,0,0,0,125715,36939297,1
2026-08-24,194615,0,0,0,194615,37133912,1
2026-08-25,500260,28848,0,0,471412,37605324,1
2026-08-26,370969,11115,0,0,359854,37965178,1
2026-08-27,440663,0,0,0,440663,38405841,1
2026-08-28,61504,0,0,0,61504,38467345,1
2026-08-29,183460,11199,0,0,172261,38639606,1
2026-08-30,403705,0,0,0,403705,39043311,1
2026-08-31,584635,0,0,0,584635,39627946,1
2026-09-01,312340,0,0,10484,301856,39929802,1
2026-09-02,279889,0,0,0,279889,40209691,1
2026-09-03,342177,11379,0,8027,322771,40532462,1
2026-09-04,160623,9676,0,0,150947,40683409,1
2026-09-05,406044,0,0,0,406044,41089453,1
2026-09-06,343866,15904,0,0,327962,41417415,1
2026-09-07,208755,0,0,0,208755,41626170,1
2026-09-08,281453,0,0,0,281453,41907623,1
2026-09-09,521954,0,0,0,521954,42429577,1
2026-09-10,138916,0,0,0,138916,42568493,1
2026-09-11,128128,0,0,0,128128,42696621,1
2026-09-12,141060,22190,0,0,118870,42815491,1
2026-09-13,333162,0,0,0,333162,43148653,1
2026-09-14,246828,0,0,0,246828,43395481,1
2026-09-15,182744,0,0,0,182744,43578225,1
2026-09-16,197005,0,0,0,197005,43775230,1
2026-09-17,269240,0,0,0,269240,44044470,1
2026-09-18,19906,0,0,0,19906,44064376,1
2026-09-19,26294,0,0,0,26294,44090670,1
2026-09-20,84909,0,0,0,84909,44175579,1
2026-09-21,32092,0,0,0,32092,44207671,1
