date,gross_revenue_cents,discount_cents,credit_note_cents,net_revenue_cents,cogs_cents,gross_profit_cents,revenue_coverage_known,cost_coverage_known
2026-03-19,172800,9191,10118,153491,58200,95291,1,1
2026-03-20,215100,13721,10626,190753,79800,110953,1,1
2026-03-21,97500,4824,0,92676,36000,56676,1,1
2026-03-22,89500,6397,0,83103,33000,50103,1,1
2026-03-23,202100,10758,0,191342,75500,115842,1,1
2026-03-24,11900,720,0,11180,4200,6980,1,1
2026-03-26,206200,12684,0,193516,77300,116216,1,1
2026-03-27,57600,2954,0,54646,20800,33846,1,1
2026-03-28,91400,5535,0,85865,33200,52665,1,1
2026-03-29,59500,4629,0,54871,21000,33871,1,1
2026-03-30,156200,11750,0,144450,57500,86950,1,1
2026-03-31,169900,10165,0,159735,61900,97835,1,1
2026-04-01,241900,13695,0,228205,89900,138305,1,1
2026-04-02,56700,1792,0,54908,21300,33608,1,1
2026-04-03,76500,5363,0,71137,27900,43237,1,1
2026-04-06,420200,30118,0,390082,152900,237182,1,1
2026-04-07,130900,9260,0,121640,46200,75440,1,1
2026-04-08,259600,12291,0,247309,95500,151809,1,1
2026-04-10,71400,2848,0,68552,25200,43352,1,1
2026-04-11,133000,7985,0,125015,47800,77215,1,1
2026-04-13,11900,566,13806,-2472,4200,-6672,1,1
2026-04-14,173000,11911,0,161089,63800,97289,1,1
2026-04-16,47600,2618,10487,34495,16800,17695,1,1
2026-04-17,133500,6752,0,126748,50000,76748,1,1
2026-04-18,23800,1442,0,22358,8400,13958,1,1
2026-04-19,208500,13501,0,194999,75000,119999,1,1
2026-04-20,140300,8172,18365,113763,52100,61663,1,1
2026-04-21,153000,8576,0,144424,55800,88624,1,1
2026-04-23,116200,6843,0,109357,42300,67057,1,1
2026-04-24,41800,3227,0,38573,15400,23173,1,1
2026-04-25,65600,2865,0,62735,23800,38935,1,1
2026-04-26,0,0,11204,-11204,-4200,-7004,1,1
2026-04-27,57600,3757,0,53843,20800,33043,1,1
2026-04-28,198600,9745,0,188855,71600,117255,1,1
2026-04-29,61600,4701,0,56899,22600,34299,1,1
2026-04-30,101400,6784,0,94616,37200,57416,1,1
2026-05-01,324100,17665,0,306435,118600,187835,1,1
2026-05-02,74600,4061,0,70539,27700,42839,1,1
2026-05-03,139300,8650,0,130650,51400,79250,1,1
2026-05-04,190700,11993,0,178707,68600,110107,1,1
2026-05-05,0,0,10452,-10452,-4200,-6252,1,1
2026-05-06,53700,1724,16824,35152,19600,15552,1,1
2026-05-07,59500,2707,0,56793,21000,35793,1,1
2026-05-08,143100,5977,52945,84178,40600,43578,1,1
2026-05-09,29900,1077,0,28823,11200,17623,1,1
2026-05-10,29900,2063,0,27837,11200,16637,1,1
2026-05-11,131300,5547,0,125753,49000,76753,1,1
2026-05-12,47600,2460,0,45140,16800,28340,1,1
2026-05-13,90300,6824,0,83476,32300,51176,1,1
2026-05-14,201600,8688,0,192912,73300,119612,1,1
2026-05-15,182000,9837,0,172163,66900,105263,1,1
2026-05-16,161200,8405,0,152795,59600,93195,1,1
2026-05-17,184600,11127,0,173473,65800,107673,1,1
2026-05-18,268000,15107,0,252893,96000,156893,1,1
2026-05-19,164000,7749,0,156251,60500,95751,1,1
2026-05-20,79600,3949,0,75651,29600,46051,1,1
2026-05-21,11900,930,11499,-529,4200,-4729,1,1
2026-05-22,59500,3188,0,56312,21000,35312,1,1
2026-05-24,201000,9651,9928,181421,74600,106821,1,1
2026-05-25,127100,5527,0,121573,45800,75773,1,1
2026-05-26,125400,6062,0,119338,46200,73138,1,1
2026-05-27,188800,9547,0,179253,68400,110853,1,1
2026-05-28,211700,11387,0,200313,77300,123013,1,1
2026-05-29,47600,3946,0,43654,16800,26854,1,1
2026-05-30,203600,12635,0,190965,73700,117265,1,1
2026-05-31,491500,27459,0,464041,182400,281641,1,1
2026-06-01,330700,17029,0,313671,119300,194371,1,1
2026-06-02,159200,9745,25968,123487,48200,75287,1,1
2026-06-03,97300,5634,9057,82609,31000,51609,1,1
2026-06-04,286500,17436,16854,252210,105000,147210,1,1
2026-06-05,0,0,19963,-19963,0,-19963,1,1
2026-06-06,100600,5233,0,95367,37700,57667,1,1
2026-06-07,163200,4800,10860,147540,56200,91340,1,1
2026-06-08,137000,10153,0,126847,49000,77847,1,1
2026-06-09,123200,6462,0,116738,45200,71538,1,1
2026-06-10,161200,8447,0,152753,59600,93153,1,1
2026-06-11,344400,14412,0,329988,127200,202788,1,1
2026-06-12,235700,10311,10780,214609,82900,131709,1,1
2026-06-13,494400,24283,0,470117,182700,287417,1,1
2026-06-14,33800,2000,0,31800,12400,19400,1,1
2026-06-15,143100,6817,0,136283,51800,84483,1,1
2026-06-16,101400,6127,0,95273,37200,58073,1,1
2026-06-17,21900,1188,0,20712,8200,12512,1,1
2026-06-18,23800,1885,10308,11607,4200,7407,1,1
2026-06-19,197400,9332,0,188068,70100,117968,1,1
2026-06-20,89400,4513,0,84887,32200,52687,1,1
2026-06-21,269300,15813,0,253487,98300,155187,1,1
2026-06-22,97300,5293,0,92007,35200,56807,1,1
2026-06-23,244400,17511,20712,206177,80800,125377,1,1
2026-06-24,117300,8307,0,108993,43200,65793,1,1
2026-06-25,284400,15307,0,269093,104200,164893,1,1
2026-06-26,213000,11272,0,201728,79000,122728,1,1
2026-06-27,62700,3002,0,59698,23500,36198,1,1
2026-06-28,59500,3526,0,55974,21000,34974,1,1
2026-06-29,333800,16436,20061,297303,120400,176903,1,1
2026-06-30,455800,27946,0,427854,169800,258054,1,1
2026-07-01,320300,18155,0,302145,117400,184745,1,1
2026-07-02,298800,14091,0,284709,111400,173309,1,1
2026-07-03,268600,13923,0,254677,99400,155277,1,1
2026-07-04,250600,12577,35250,202773,88200,114573,1,1
2026-07-05,454700,25585,0,429115,168300,260815,1,1
2026-07-06,246100,14735,21366,209999,79600,130399,1,1
2026-07-07,101400,5212,10952,85236,33000,52236,1,1
2026-07-08,131300,9151,32597,89552,36600,52952,1,1
2026-07-09,73500,4895,0,68605,26800,41805,1,1
2026-07-10,59500,1656,10731,47113,16800,30313,1,1
2026-07-11,123500,4085,0,119415,46000,73415,1,1
2026-07-12,253800,12626,0,241174,94100,147074,1,1
2026-07-13,184000,10811,0,173189,68500,104689,1,1
2026-07-14,262200,18179,0,244021,95200,148821,1,1
2026-07-15,217800,13868,0,203932,80100,123832,1,1
2026-07-16,136000,6190,0,129810,48900,80910,1,1
2026-07-17,234500,16828,15555,202117,85000,117117,1,1
2026-07-18,169900,10850,0,159050,61900,97150,1,1
2026-07-19,253600,13505,0,240095,93500,146595,1,1
2026-07-20,133300,8955,0,124345,49200,75145,1,1
2026-07-21,356100,18060,21357,316683,131600,185083,1,1
2026-07-22,23800,1416,0,22384,8400,13984,1,1
2026-07-23,275700,11150,0,264550,102500,162050,1,1
2026-07-24,125400,10733,0,114667,46200,68467,1,1
2026-07-25,316300,20800,0,295500,116400,179100,1,1
2026-07-26,147300,6815,0,140485,55200,85285,1,1
2026-07-27,107400,5031,0,102369,39200,63169,1,1
2026-07-28,147100,8228,0,138872,53800,85072,1,1
2026-07-29,152800,9486,0,143314,54400,88914,1,1
2026-07-30,161200,12802,17021,131377,51400,79977,1,1
2026-07-31,166300,13118,0,153182,62300,90882,1,1
2026-08-03,117400,7830,8917,100653,39000,61653,1,1
2026-08-04,89500,3565,0,85935,33000,52935,1,1
2026-08-05,21900,471,0,21429,8200,13229,1,1
2026-08-06,290100,17944,0,272156,105600,166556,1,1
2026-08-07,18900,542,0,18358,7100,11258,1,1
2026-08-09,203000,11945,0,191055,75000,116055,1,1
2026-08-10,250500,11519,0,238981,92400,146581,1,1
2026-08-11,211700,12183,0,199517,77300,122217,1,1
2026-08-12,239000,13395,0,225605,89000,136605,1,1
2026-08-13,41800,1987,0,39813,15400,24413,1,1
2026-08-14,144000,7514,0,136486,51900,84586,1,1
2026-08-15,83300,4272,0,79028,29400,49628,1,1
2026-08-16,121300,6974,0,114326,44400,69926,1,1
2026-08-17,234200,11442,27953,194805,83600,111205,1,1
2026-08-18,125400,5210,0,120190,46200,73990,1,1
2026-08-19,260200,13399,0,246801,94200,152601,1,1
2026-08-20,210000,9060,0,200940,77900,123040,1,1
2026-08-21,263600,14816,0,248784,96700,152084,1,1
2026-08-22,249700,15512,9769,224419,92300,132119,1,1
2026-08-23,293200,16085,0,277115,107300,169815,1,1
2026-08-24,573600,27323,0,546277,210500,335777,1,1
2026-08-25,273600,13273,28848,231479,94200,137279,1,1
2026-08-26,59500,3805,11115,44580,16800,27780,1,1
2026-08-27,484300,25007,0,459293,178900,280393,1,1
2026-08-28,123500,4622,0,118878,46000,72878,1,1
2026-08-29,169800,9141,11199,149460,61300,88160,1,1
2026-08-30,35700,2224,0,33476,12600,20876,1,1
2026-08-31,177200,8269,0,168931,66200,102731,1,1
2026-09-01,144300,5224,0,139076,53300,85776,1,1
2026-09-02,555900,33624,0,522276,204700,317576,1,1
2026-09-03,363300,17273,11379,334648,130700,203948,1,1
2026-09-04,247800,10021,9676,228103,92100,136003,1,1
2026-09-05,345800,17740,0,328060,125400,202660,1,1
2026-09-06,266300,15269,15904,235127,97200,137927,1,1
2026-09-07,193800,10646,0,183154,71100,112054,1,1
2026-09-08,223800,14183,0,209617,82300,127317,1,1
2026-09-09,122200,6492,0,115708,44500,71208,1,1
2026-09-10,101400,7025,0,94375,37200,57175,1,1
2026-09-11,295100,13071,0,282029,107500,174529,1,1
2026-09-12,328500,13524,22190,292786,121800,170986,1,1
2026-09-13,215200,13705,0,201495,80600,120895,1,1
2026-09-14,107400,4159,0,103241,39200,64041,1,1
2026-09-15,95200,4193,0,91007,33600,57407,1,1
2026-09-16,105400,8279,0,97121,39000,58121,1,1
2026-09-17,293100,15972,0,277128,106700,170428,1,1
2026-09-18,352900,19002,0,333898,130300,203598,1,1
2026-09-19,166600,8770,0,157830,58800,99030,1,1
2026-09-21,241600,12473,0,229127,88700,140427,1,1
