id,order_id,date,amount_cents,status
pay-000058,ord-00047,2026-05-04,28823,settled
pay-000059,ord-00048,2026-09-02,87654,settled
pay-000060,ord-00049,2025-12-20,16476,settled
pay-000061,ord-00049,2025-12-21,16476,settled
pay-000062,ord-00050,2026-03-24,40798,settled
pay-000063,ord-00051,2026-03-17,10854,settled
pay-000064,ord-00052,2026-07-28,55649,settled
pay-000065,ord-00052,2026-07-29,55650,settled
pay-000066,ord-00053,2026-02-16,51550,settled
pay-000067,ord-00054,2026-01-15,7257,pending
pay-000068,ord-00055,2026-05-15,5671,settled
pay-000069,ord-00055,2026-05-16,5672,settled
pay-000070,ord-00056,2026-07-25,7256,pending
pay-000071,ord-00057,2026-06-08,11291,settled
pay-000072,ord-00058,2026-05-27,17195,settled
pay-000073,ord-00058,2026-05-28,17195,settled
pay-000074,ord-00059,2026-04-06,87697,settled
pay-000075,ord-00060,2026-07-01,20656,settled
pay-000076,ord-00061,2026-05-13,38950,settled
pay-000077,ord-00061,2026-05-14,38950,settled
pay-000078,ord-00062,2026-08-09,11137,settled
pay-000079,ord-00063,2026-08-04,23047,settled
pay-000080,ord-00064,2026-03-26,11368,settled
pay-000081,ord-00064,2026-03-27,11369,settled
pay-000082,ord-00065,2026-07-31,55934,settled
pay-000083,ord-00066,2026-05-15,28378,settled
pay-000084,ord-00067,2026-09-17,5415,settled
pay-000085,ord-00067,2026-09-18,5415,settled
pay-000086,ord-00068,2026-05-27,19963,settled
pay-000087,ord-00069,2026-08-25,98644,settled
pay-000088,ord-00070,2026-09-05,48567,settled
pay-000089,ord-00070,2026-09-06,48567,settled
pay-000090,ord-00071,2026-01-16,18183,settled
pay-000091,ord-00072,2026-05-26,11034,settled
pay-000092,ord-00073,2026-01-15,27057,settled
pay-000093,ord-00073,2026-01-16,27058,settled
pay-000094,ord-00074,2026-04-12,105942,settled
pay-000095,ord-00075,2026-05-21,29170,pending
pay-000096,ord-00076,2026-05-17,28156,settled
pay-000097,ord-00076,2026-05-18,28156,settled
pay-000098,ord-00077,2026-05-12,7411,pending
pay-000099,ord-00078,2026-05-30,22529,pending
pay-000100,ord-00080,2026-08-15,33005,settled
pay-000101,ord-00081,2026-07-24,40124,settled
pay-000102,ord-00082,2026-03-30,26911,settled
pay-000103,ord-00082,2026-03-31,26911,settled
pay-000104,ord-00083,2026-05-11,27193,pending
pay-000105,ord-00084,2026-04-15,64297,settled
pay-000106,ord-00085,2026-08-31,16680,settled
pay-000107,ord-00085,2026-09-01,16680,settled
pay-000108,ord-00086,2026-07-01,77527,settled
pay-000109,ord-00087,2026-09-16,80656,settled
pay-000110,ord-00088,2026-09-06,7441,pending
pay-000111,ord-00089,2026-08-19,21916,settled
pay-000112,ord-00090,2026-03-29,53131,settled
pay-000113,ord-00091,2026-08-17,28042,settled
pay-000114,ord-00091,2026-08-18,28042,settled
pay-000115,ord-00092,2026-08-13,56745,settled
pay-000116,ord-00093,2026-07-09,36569,pending
pay-000117,ord-00094,2026-06-22,22312,settled
pay-000118,ord-00094,2026-06-23,22312,settled
pay-000119,ord-00095,2026-07-25,42557,settled
pay-000120,ord-00096,2026-06-03,32972,settled
pay-000121,ord-00097,2026-05-16,11182,settled
pay-000122,ord-00097,2026-05-17,11183,settled
pay-000123,ord-00098,2026-07-12,62911,settled
pay-000124,ord-00099,2026-02-07,22082,settled
pay-000125,ord-00100,2026-08-15,11056,settled
pay-000126,ord-00100,2026-08-16,11057,settled
pay-000127,ord-00101,2026-09-09,70615,settled
pay-000128,ord-00102,2026-07-07,58319,settled
pay-000129,ord-00103,2026-05-06,64964,settled
pay-000130,ord-00103,2026-05-07,64964,settled
pay-000131,ord-00104,2026-09-07,18097,settled
pay-000132,ord-00106,2025-11-04,30791,settled
pay-000133,ord-00106,2025-11-05,30791,settled
pay-000134,ord-00107,2026-03-27,83842,settled
pay-000135,ord-00108,2025-10-25,74908,settled
pay-000136,ord-00109,2026-08-23,31524,settled
pay-000137,ord-00109,2026-08-24,31525,settled
pay-000138,ord-00110,2026-04-15,33279,settled
pay-000139,ord-00111,2026-02-20,17732,settled
pay-000140,ord-00112,2025-12-09,42579,settled
pay-000141,ord-00112,2025-12-10,42579,settled
pay-000142,ord-00113,2026-04-20,52456,settled
pay-000143,ord-00114,2026-07-09,22043,settled
pay-000144,ord-00115,2026-04-05,29193,settled
pay-000145,ord-00115,2026-04-06,29193,settled
pay-000146,ord-00116,2026-05-26,23185,settled
pay-000147,ord-00117,2026-08-23,14235,pending
pay-000148,ord-00119,2026-05-21,11449,settled
pay-000149,ord-00120,2026-08-17,66745,settled
pay-000150,ord-00121,2026-05-14,21869,settled
pay-000151,ord-00121,2026-05-15,21869,settled
pay-000152,ord-00122,2025-12-04,45825,settled
pay-000153,ord-00123,2026-08-24,22415,settled
pay-000154,ord-00124,2026-08-17,8724,settled
pay-000155,ord-00124,2026-08-18,8725,settled
pay-000156,ord-00125,2026-01-26,15067,pending
pay-000157,ord-00126,2026-07-06,23117,settled
pay-000158,ord-00127,2026-06-24,11086,settled
pay-000159,ord-00127,2026-06-25,11086,settled
pay-000160,ord-00128,2026-03-29,34252,settled
pay-000161,ord-00129,2026-07-18,53217,settled
pay-000162,ord-00130,2026-04-29,44114,settled
pay-000163,ord-00130,2026-04-30,44114,settled
pay-000164,ord-00131,2026-09-04,73875,settled
pay-000165,ord-00132,2026-04-14,22242,settled
pay-000166,ord-00133,2026-03-26,5722,settled
pay-000167,ord-00133,2026-03-27,5722,settled
pay-000168,ord-00134,2026-02-02,29018,settled
pay-000169,ord-00135,2025-12-01,11372,pending
pay-000170,ord-00136,2026-06-09,27438,settled
pay-000171,ord-00136,2026-06-10,27438,settled
pay-000172,ord-00137,2026-06-01,102962,settled
pay-000173,ord-00138,2026-05-25,34801,settled
pay-000174,ord-00139,2026-05-18,5485,settled
pay-000175,ord-00139,2026-05-19,5485,settled
pay-000176,ord-00140,2026-06-14,21915,settled
pay-000177,ord-00142,2026-08-25,27883,pending
pay-000178,ord-00143,2026-01-07,59987,settled
pay-000179,ord-00144,2026-09-05,33610,settled
pay-000180,ord-00145,2026-04-26,16791,settled
pay-000181,ord-00145,2026-04-27,16792,settled
pay-000182,ord-00146,2026-07-24,43654,settled
pay-000183,ord-00147,2026-03-01,10875,settled
pay-000184,ord-00148,2026-06-07,21270,settled
pay-000185,ord-00148,2026-06-08,21270,settled
pay-000186,ord-00149,2026-04-05,68552,settled
pay-000187,ord-00150,2026-08-07,144778,settled
pay-000188,ord-00151,2026-06-05,16377,settled
pay-000189,ord-00151,2026-06-06,16378,settled
pay-000190,ord-00152,2026-06-19,69236,settled
pay-000191,ord-00153,2026-07-07,118432,settled
pay-000192,ord-00154,2026-07-02,44122,settled
pay-000193,ord-00154,2026-07-03,44123,settled
pay-000194,ord-00155,2026-01-24,27964,pending
pay-000195,ord-00156,2026-09-05,76137,settled
pay-000196,ord-00157,2025-12-19,26188,settled
pay-000197,ord-00157,2025-12-20,26189,settled
pay-000198,ord-00158,2026-09-06,63603,settled
pay-000199,ord-00159,2026-07-05,33253,settled
pay-000200,ord-00160,2026-02-16,13785,settled
pay-000201,ord-00160,2026-02-17,13785,settled
pay-000202,ord-00161,2026-08-16,38687,settled
pay-000203,ord-00162,2026-03-15,104007,settled
pay-000204,ord-00163,2026-02-16,16570,settled
pay-000205,ord-00163,2026-02-17,16571,settled
pay-000206,ord-00164,2026-02-19,23014,settled
pay-000207,ord-00165,2026-05-02,33629,settled
pay-000208,ord-00166,2026-06-01,19423,settled
pay-000209,ord-00166,2026-06-02,19423,settled
pay-000210,ord-00167,2026-05-12,52190,settled
pay-000211,ord-00168,2026-05-24,78689,settled
pay-000212,ord-00169,2026-09-11,16531,settled
pay-000213,ord-00169,2026-09-12,16532,settled
pay-000214,ord-00170,2026-09-10,16819,pending
pay-000215,ord-00171,2026-05-21,96301,settled
pay-000216,ord-00172,2026-06-08,59791,settled
pay-000217,ord-00172,2026-06-09,59791,settled
pay-000218,ord-00173,2025-11-15,34932,settled
pay-000219,ord-00174,2026-08-08,34827,settled
pay-000220,ord-00175,2026-02-21,36211,settled
pay-000221,ord-00175,2026-02-22,36211,settled
pay-000222,ord-00176,2026-08-15,15040,pending
pay-000223,ord-00177,2026-06-08,61079,settled
pay-000224,ord-00178,2026-07-30,19245,settled
pay-000225,ord-00178,2026-07-31,19245,settled
pay-000226,ord-00179,2026-04-24,3722,pending
pay-000227,ord-00180,2026-05-08,53449,settled
pay-000228,ord-00181,2026-04-01,3803,pending
pay-000229,ord-00182,2025-12-13,55046,settled
pay-000230,ord-00183,2026-08-31,97526,settled
pay-000231,ord-00184,2026-06-20,11493,settled
pay-000232,ord-00184,2026-06-21,11493,settled
pay-000233,ord-00185,2026-08-19,46108,settled
pay-000234,ord-00186,2026-07-25,39990,settled
pay-000235,ord-00187,2026-03-06,42055,settled
pay-000236,ord-00187,2026-03-07,42056,settled
pay-000237,ord-00188,2026-05-30,91666,settled
pay-000238,ord-00189,2026-03-04,41572,settled
pay-000239,ord-00190,2026-03-09,18182,settled
pay-000240,ord-00190,2026-03-10,18182,settled
pay-000241,ord-00191,2026-05-30,11546,settled
pay-000242,ord-00192,2026-06-28,29231,pending
pay-000243,ord-00193,2026-01-22,5536,settled
pay-000244,ord-00193,2026-01-23,5537,settled
pay-000245,ord-00194,2025-10-21,35300,settled
pay-000246,ord-00195,2026-01-23,77783,settled
pay-000247,ord-00196,2026-07-09,40022,settled
pay-000248,ord-00196,2026-07-10,40023,settled
pay-000249,ord-00197,2026-01-24,18399,settled
pay-000250,ord-00198,2026-04-04,33026,settled
pay-000251,ord-00200,2026-09-11,84368,settled
pay-000252,ord-00201,2026-06-21,53533,settled
pay-000253,ord-00202,2026-07-09,32136,settled
pay-000254,ord-00202,2026-07-10,32137,settled
pay-000255,ord-00203,2026-01-18,22507,settled
pay-000256,ord-00204,2026-08-25,86052,settled
pay-000257,ord-00205,2026-05-23,53944,settled
pay-000258,ord-00205,2026-05-24,53945,settled
pay-000259,ord-00206,2026-06-30,32180,settled
pay-000260,ord-00207,2026-04-08,84634,settled
pay-000261,ord-00208,2026-09-07,22885,settled
pay-000262,ord-00208,2026-09-08,22885,settled
pay-000263,ord-00209,2026-06-19,22771,settled
pay-000264,ord-00210,2026-08-05,7596,pending
pay-000265,ord-00211,2026-09-12,16516,settled
pay-000266,ord-00211,2026-09-13,16516,settled
pay-000267,ord-00212,2026-03-07,43363,settled
pay-000268,ord-00213,2026-06-25,33739,settled
pay-000269,ord-00214,2026-09-10,27228,settled
pay-000270,ord-00214,2026-09-11,27229,settled
pay-000271,ord-00215,2026-05-25,60268,settled
pay-000272,ord-00216,2026-06-23,10946,pending
pay-000273,ord-00217,2026-04-30,11350,settled
pay-000274,ord-00217,2026-05-01,11351,settled
pay-000275,ord-00218,2026-08-31,109648,settled
pay-000276,ord-00219,2026-08-20,22122,settled
pay-000277,ord-00220,2026-05-11,25413,settled
pay-000278,ord-00220,2026-05-12,25414,settled
pay-000279,ord-00221,2026-07-01,44581,settled
pay-000280,ord-00222,2026-06-13,124803,settled
pay-000281,ord-00223,2026-06-19,20166,settled
pay-000282,ord-00223,2026-06-20,20166,settled
pay-000283,ord-00224,2026-08-04,17633,settled
pay-000284,ord-00225,2026-03-01,33588,settled
pay-000285,ord-00226,2026-06-24,11545,settled
pay-000286,ord-00226,2026-06-25,11546,settled
pay-000287,ord-00227,2026-03-02,21719,settled
pay-000288,ord-00228,2026-06-07,44606,settled
pay-000289,ord-00229,2026-01-15,31018,settled
pay-000290,ord-00229,2026-01-16,31019,settled
pay-000291,ord-00230,2026-07-20,33884,settled
pay-000292,ord-00231,2026-07-02,53344,settled
pay-000293,ord-00232,2026-07-20,3661,pending
pay-000294,ord-00233,2026-07-20,81500,settled
pay-000295,ord-00235,2026-03-05,16975,settled
pay-000296,ord-00235,2026-03-06,16976,settled
pay-000297,ord-00236,2026-05-11,32647,settled
pay-000298,ord-00237,2026-09-19,22450,pending
pay-000299,ord-00239,2026-07-14,112157,settled
pay-000300,ord-00240,2026-04-29,80431,settled
pay-000301,ord-00241,2026-08-20,31983,settled
pay-000302,ord-00241,2026-08-21,31984,settled
pay-000303,ord-00242,2025-11-09,11656,settled
pay-000304,ord-00244,2025-11-13,51022,settled
pay-000305,ord-00244,2025-11-14,51022,settled
pay-000306,ord-00245,2026-07-31,33271,settled
pay-000307,ord-00246,2026-01-21,22007,settled
pay-000308,ord-00247,2026-02-11,18250,settled
pay-000309,ord-00247,2026-02-12,18251,settled
pay-000310,ord-00248,2026-08-30,55448,settled
pay-000311,ord-00249,2026-05-28,23532,pending
pay-000312,ord-00250,2026-01-09,38665,settled
pay-000313,ord-00250,2026-01-10,38665,settled
pay-000314,ord-00251,2026-06-25,33198,settled
pay-000315,ord-00252,2026-08-20,29122,settled
pay-000316,ord-00253,2026-07-11,18335,settled
pay-000317,ord-00253,2026-07-12,18335,settled
pay-000318,ord-00254,2026-07-14,33034,settled
pay-000319,ord-00255,2026-05-22,29309,settled
pay-000320,ord-00256,2026-06-10,36621,settled
pay-000321,ord-00256,2026-06-11,36622,settled
pay-000322,ord-00257,2026-05-22,53902,settled
pay-000323,ord-00258,2026-04-18,21854,pending
pay-000324,ord-00260,2026-07-07,22709,settled
pay-000325,ord-00261,2026-04-19,33169,settled
pay-000326,ord-00263,2026-04-30,11169,settled
pay-000327,ord-00265,2026-04-26,22729,settled
pay-000328,ord-00265,2026-04-27,22729,settled
pay-000329,ord-00266,2026-04-20,27553,settled
pay-000330,ord-00267,2026-05-19,34240,settled
pay-000331,ord-00268,2025-12-20,11577,settled
pay-000332,ord-00268,2025-12-21,11578,settled
pay-000333,ord-00269,2026-09-01,116027,settled
pay-000334,ord-00270,2026-08-22,11627,settled
pay-000335,ord-00271,2026-08-18,6958,pending
pay-000336,ord-00272,2026-04-28,46875,settled
pay-000337,ord-00273,2026-06-30,69606,settled
pay-000338,ord-00274,2026-05-28,35664,settled
pay-000339,ord-00274,2026-05-29,35664,settled
pay-000340,ord-00275,2026-05-21,27928,settled
pay-000341,ord-00276,2026-02-05,82591,settled
pay-000342,ord-00277,2026-04-08,16621,settled
pay-000343,ord-00277,2026-04-09,16622,settled
pay-000344,ord-00278,2026-07-21,22421,settled
pay-000345,ord-00279,2025-12-28,11386,settled
pay-000346,ord-00280,2026-08-02,10714,settled
pay-000347,ord-00280,2026-08-03,10715,settled
pay-000348,ord-00281,2026-07-19,55655,settled
pay-000349,ord-00282,2026-08-27,71533,settled
pay-000350,ord-00283,2026-07-06,7604,pending
pay-000351,ord-00284,2026-09-09,64238,settled
pay-000352,ord-00285,2026-07-27,58016,settled
pay-000353,ord-00287,2026-01-27,56770,settled
pay-000354,ord-00288,2026-04-24,7718,pending
pay-000355,ord-00289,2026-05-25,17334,settled
pay-000356,ord-00289,2026-05-26,17335,settled
pay-000357,ord-00290,2026-06-30,169546,settled
pay-000358,ord-00291,2025-12-28,11335,settled
pay-000359,ord-00292,2026-06-30,11425,settled
pay-000360,ord-00292,2026-07-01,11425,settled
pay-000361,ord-00293,2026-08-21,23016,settled
pay-000362,ord-00294,2026-06-25,34832,settled
pay-000363,ord-00295,2026-09-13,17417,settled
pay-000364,ord-00295,2026-09-14,17417,settled
pay-000365,ord-00296,2026-04-08,11334,settled
pay-000366,ord-00297,2026-01-21,6121,pending
pay-000367,ord-00300,2026-05-28,33429,settled
pay-000368,ord-00301,2026-06-16,19589,settled
pay-000369,ord-00301,2026-06-17,19589,settled
pay-000370,ord-00302,2026-03-17,22653,settled
pay-000371,ord-00303,2026-08-04,121814,settled
pay-000372,ord-00304,2026-02-24,14337,settled
pay-000373,ord-00304,2026-02-25,14337,settled
pay-000374,ord-00305,2026-05-06,10902,settled
pay-000375,ord-00306,2026-04-18,21362,settled
pay-000376,ord-00307,2026-09-20,32091,settled
pay-000377,ord-00307,2026-09-21,32092,settled
pay-000378,ord-00308,2026-04-09,33872,settled
pay-000379,ord-00309,2026-05-22,23279,settled
pay-000380,ord-00310,2026-05-12,9083,settled
pay-000381,ord-00310,2026-05-13,9084,settled
pay-000382,ord-00311,2026-04-19,6823,pending
pay-000383,ord-00312,2026-07-26,54856,settled
pay-000384,ord-00313,2026-09-13,31958,settled
pay-000385,ord-00313,2026-09-14,31958,settled
pay-000386,ord-00316,2026-08-21,26981,settled
pay-000387,ord-00316,2026-08-22,26982,settled
pay-000388,ord-00317,2026-03-04,56911,settled
pay-000389,ord-00319,2026-05-23,26044,settled
pay-000390,ord-00319,2026-05-24,26044,settled
pay-000391,ord-00320,2026-01-11,32738,settled
pay-000392,ord-00321,2026-08-23,41129,settled
pay-000393,ord-00322,2026-07-15,17016,settled
pay-000394,ord-00322,2026-07-16,17017,settled
pay-000395,ord-00323,2026-06-26,20291,pending
pay-000396,ord-00324,2025-12-23,68867,settled
pay-000397,ord-00325,2026-08-12,34282,settled
pay-000398,ord-00325,2026-08-13,34282,settled
pay-000399,ord-00326,2026-09-03,32913,settled
pay-000400,ord-00327,2025-10-17,54435,settled
pay-000401,ord-00328,2026-07-18,19793,settled
pay-000402,ord-00328,2026-07-19,19793,settled
pay-000403,ord-00329,2026-08-21,17647,settled
pay-000404,ord-00330,2026-08-22,45157,settled
pay-000405,ord-00331,2026-06-20,42270,settled
pay-000406,ord-00331,2026-06-21,42270,settled
pay-000407,ord-00332,2026-01-02,23057,settled
pay-000408,ord-00333,2026-06-29,38638,settled
pay-000409,ord-00334,2026-06-09,11275,settled
pay-000410,ord-00334,2026-06-10,11276,settled
pay-000411,ord-00335,2025-11-12,7364,pending
pay-000412,ord-00336,2025-12-26,19161,pending
pay-000413,ord-00337,2026-03-16,25044,settled
pay-000414,ord-00337,2026-03-17,25045,settled
pay-000415,ord-00338,2026-07-23,83573,settled
pay-000416,ord-00339,2026-09-07,10923,settled
pay-000417,ord-00340,2026-09-02,47706,settled
pay-000418,ord-00340,2026-09-03,47707,settled
pay-000419,ord-00341,2026-09-15,95471,settled
pay-000420,ord-00342,2026-04-16,22484,settled
pay-000421,ord-00343,2026-07-12,16677,settled
pay-000422,ord-00343,2026-07-13,16677,settled
pay-000423,ord-00344,2026-07-10,54358,settled
pay-000424,ord-00345,2026-06-09,10959,settled
pay-000425,ord-00346,2026-07-15,5790,settled
pay-000426,ord-00346,2026-07-16,5791,settled
pay-000427,ord-00347,2026-08-25,10915,settled
pay-000428,ord-00348,2026-06-01,11562,settled
pay-000429,ord-00349,2026-08-05,14196,settled
pay-000430,ord-00349,2026-08-06,14196,settled
pay-000431,ord-00350,2026-05-10,32649,settled
pay-000432,ord-00351,2026-07-18,11340,settled
pay-000433,ord-00352,2026-08-24,29309,settled
pay-000434,ord-00352,2026-08-25,29309,settled
pay-000435,ord-00353,2026-07-17,22139,settled
pay-000436,ord-00354,2026-07-08,83825,settled
pay-000437,ord-00355,2026-06-16,33452,settled
pay-000438,ord-00355,2026-06-17,33452,settled
pay-000439,ord-00356,2026-06-22,23082,settled
pay-000440,ord-00357,2026-08-31,27857,settled
pay-000441,ord-00358,2026-02-20,52700,settled
pay-000442,ord-00358,2026-02-21,52701,settled
pay-000443,ord-00360,2026-03-01,11075,pending
pay-000444,ord-00361,2026-08-19,21190,settled
pay-000445,ord-00361,2026-08-20,21191,settled
pay-000446,ord-00363,2026-04-12,44982,settled
pay-000447,ord-00364,2026-08-26,17218,settled
pay-000448,ord-00364,2026-08-27,17219,settled
pay-000449,ord-00365,2026-08-31,47539,settled
pay-000450,ord-00366,2026-08-18,55532,settled
pay-000451,ord-00367,2026-08-30,20058,settled
pay-000452,ord-00367,2026-08-31,20058,settled
pay-000453,ord-00368,2026-05-14,54808,settled
pay-000454,ord-00369,2026-03-02,98279,settled
pay-000455,ord-00370,2025-11-14,30315,settled
pay-000456,ord-00370,2025-11-15,30315,settled
pay-000457,ord-00371,2025-10-28,11514,settled
pay-000458,ord-00372,2026-05-14,33976,settled
pay-000459,ord-00373,2026-08-06,8761,settled
pay-000460,ord-00373,2026-08-07,8761,settled
pay-000461,ord-00374,2026-07-18,56899,settled
pay-000462,ord-00375,2026-08-26,44584,settled
pay-000463,ord-00376,2026-07-24,28850,settled
pay-000464,ord-00376,2026-07-25,28850,settled
pay-000465,ord-00377,2026-06-24,119828,settled
pay-000466,ord-00378,2026-01-09,51221,settled
pay-000467,ord-00379,2026-06-08,11522,settled
pay-000468,ord-00379,2026-06-09,11522,settled
pay-000469,ord-00380,2026-03-01,44958,settled
pay-000470,ord-00381,2025-12-20,11443,settled
pay-000471,ord-00382,2026-08-08,26634,settled
pay-000472,ord-00382,2026-08-09,26635,settled
pay-000473,ord-00383,2026-07-21,60821,settled
pay-000474,ord-00384,2026-03-28,18835,pending
pay-000475,ord-00385,2026-03-30,27454,settled
pay-000476,ord-00385,2026-03-31,27454,settled
pay-000477,ord-00386,2026-06-12,11480,settled
pay-000478,ord-00387,2026-05-29,33388,settled
pay-000479,ord-00389,2026-06-27,33972,settled
pay-000480,ord-00390,2026-09-17,11598,settled
pay-000481,ord-00391,2026-08-17,52172,settled
pay-000482,ord-00391,2026-08-18,52173,settled
pay-000483,ord-00392,2026-08-01,63749,settled
pay-000484,ord-00393,2026-08-22,9454,pending
pay-000485,ord-00394,2026-06-19,8849,settled
pay-000486,ord-00394,2026-06-20,8849,settled
pay-000487,ord-00395,2026-06-10,22574,settled
pay-000488,ord-00396,2026-08-29,33729,settled
pay-000489,ord-00397,2026-07-02,16682,settled
pay-000490,ord-00397,2026-07-03,16682,settled
pay-000491,ord-00398,2026-06-16,7580,pending
pay-000492,ord-00399,2026-09-13,22328,settled
pay-000493,ord-00400,2026-06-27,11117,settled
pay-000494,ord-00400,2026-06-28,11117,settled
pay-000495,ord-00401,2026-07-17,22384,settled
pay-000496,ord-00402,2026-07-03,43257,settled
pay-000497,ord-00403,2026-09-18,8966,settled
pay-000498,ord-00403,2026-09-19,8966,settled
pay-000499,ord-00404,2026-08-30,55360,settled
pay-000500,ord-00405,2026-08-13,28752,settled
pay-000501,ord-00406,2025-11-18,11069,settled
pay-000502,ord-00406,2025-11-19,11070,settled
pay-000503,ord-00407,2026-04-04,32661,settled
pay-000504,ord-00408,2026-04-20,17631,settled
pay-000505,ord-00411,2026-07-05,63236,settled
pay-000506,ord-00412,2026-04-03,31134,settled
pay-000507,ord-00412,2026-04-04,31134,settled
pay-000508,ord-00413,2026-05-26,54654,settled
pay-000509,ord-00414,2026-04-21,11330,settled
pay-000510,ord-00415,2026-03-16,3624,pending
pay-000511,ord-00416,2025-12-28,10966,settled
pay-000512,ord-00417,2026-06-25,17511,settled
pay-000513,ord-00418,2025-12-29,17873,settled
pay-000514,ord-00418,2025-12-30,17873,settled
pay-000515,ord-00419,2026-08-01,85935,settled
pay-000516,ord-00420,2026-06-14,108978,settled
pay-000517,ord-00421,2026-05-21,10950,settled
pay-000518,ord-00421,2026-05-22,10951,settled
pay-000519,ord-00422,2026-09-05,17788,settled
pay-000520,ord-00424,2026-05-29,24841,settled
pay-000521,ord-00424,2026-05-30,24842,settled
pay-000522,ord-00425,2026-03-25,43427,settled
pay-000523,ord-00426,2026-07-24,66837,settled
pay-000524,ord-00427,2026-08-15,20101,settled
pay-000525,ord-00427,2026-08-16,20102,settled
pay-000526,ord-00428,2026-03-26,63647,settled
pay-000527,ord-00429,2025-12-16,33075,settled
pay-000528,ord-00430,2025-12-10,16957,settled
pay-000529,ord-00430,2025-12-11,16957,settled
pay-000530,ord-00431,2026-06-25,11170,settled
pay-000531,ord-00432,2026-08-11,13379,pending
pay-000532,ord-00433,2026-06-25,34533,settled
pay-000533,ord-00433,2026-06-26,34533,settled
pay-000534,ord-00434,2026-04-16,77811,settled
pay-000535,ord-00435,2026-05-03,22283,settled
pay-000536,ord-00436,2026-08-01,32324,settled
pay-000537,ord-00436,2026-08-02,32324,settled
pay-000538,ord-00437,2026-05-13,77472,settled
pay-000539,ord-00438,2026-01-26,42721,settled
pay-000540,ord-00439,2025-11-12,38588,settled
pay-000541,ord-00439,2025-11-13,38589,settled
pay-000542,ord-00440,2026-01-26,22676,settled
pay-000543,ord-00441,2026-03-06,22523,settled
pay-000544,ord-00442,2026-01-28,11649,settled
pay-000545,ord-00442,2026-01-29,11650,settled
pay-000546,ord-00443,2026-08-09,79864,settled
pay-000547,ord-00444,2026-08-18,96595,settled
pay-000548,ord-00445,2026-07-17,16622,settled
pay-000549,ord-00445,2026-07-18,16623,settled
pay-000550,ord-00446,2026-07-09,43779,settled
pay-000551,ord-00447,2026-07-20,63288,settled
pay-000552,ord-00448,2025-10-29,44568,settled
pay-000553,ord-00448,2025-10-30,44569,settled
pay-000554,ord-00449,2026-06-16,56767,settled
pay-000555,ord-00450,2026-09-16,33758,settled
pay-000556,ord-00451,2026-05-19,43118,settled
pay-000557,ord-00451,2026-05-20,43119,settled
pay-000558,ord-00452,2025-11-08,34024,settled
