id,customer_id,session_id,channel,campaign_id,date,intent,status,order_id,variant_id
lead-00068,cust-0068,session-00068,Instagram,camp-studio,2026-05-27,purchase,converted,ord-00068,var-top-black-s
lead-00069,cust-0069,session-00069,Paid Social,camp-move,2026-08-25,purchase,converted,ord-00069,var-short-navy-l
lead-00070,cust-0070,session-00070,Organic,organic,2026-09-05,purchase,converted,ord-00070,var-sock-sage-l
lead-00071,cust-0071,session-00071,Instagram,camp-studio,2026-01-16,purchase,converted,ord-00071,var-short-navy-l
lead-00072,cust-0072,session-00072,Organic,organic,2026-05-26,purchase,converted,ord-00072,var-sock-black-l
lead-00073,cust-0073,session-00073,Organic,organic,2026-01-15,purchase,converted,ord-00073,var-short-navy-m
lead-00074,cust-0074,session-00074,Instagram,camp-studio,2026-04-12,purchase,converted,ord-00074,var-legging-olive-l
lead-00075,cust-0075,session-00075,Instagram,camp-studio,2026-05-21,purchase,converted,ord-00075,var-legging-olive-m
lead-00076,cust-0076,session-00076,Organic,organic,2026-05-17,purchase,converted,ord-00076,var-sock-black-m
lead-00077,cust-0077,session-00077,Paid Social,camp-move,2026-05-12,purchase,converted,ord-00077,var-sock-ivory-m
lead-00078,cust-0078,session-00078,DM,camp-private,2026-05-30,purchase,converted,ord-00078,var-legging-olive-s
lead-00079,cust-0079,session-00079,Paid Social,camp-move,2026-08-13,browse,lost,,
lead-00080,cust-0080,session-00080,DM,camp-private,2026-08-15,purchase,converted,ord-00080,var-sock-rose-s
lead-00081,cust-0081,session-00081,Instagram,camp-studio,2026-07-24,purchase,converted,ord-00081,var-sock-rose-l
lead-00082,cust-0082,session-00082,DM,camp-private,2026-03-30,purchase,converted,ord-00082,var-top-rose-m
lead-00083,cust-0083,session-00083,Paid Social,camp-move,2026-05-11,purchase,converted,ord-00083,var-short-coral-s
lead-00084,cust-0084,session-00084,Paid Social,camp-move,2026-04-15,purchase,converted,ord-00084,var-sock-ivory-m
lead-00085,cust-0085,session-00085,Organic,organic,2026-08-31,purchase,converted,ord-00085,var-sock-ivory-s
lead-00086,cust-0086,session-00086,DM,camp-private,2026-07-01,purchase,converted,ord-00086,var-sock-lilac-l
lead-00087,cust-0087,session-00087,Instagram,camp-studio,2026-09-16,purchase,converted,ord-00087,var-short-navy-m
lead-00088,cust-0088,session-00088,Paid Social,camp-move,2026-09-06,purchase,converted,ord-00088,var-sock-black-m
lead-00089,cust-0089,session-00089,Instagram,camp-studio,2026-08-19,purchase,converted,ord-00089,var-sock-ivory-s
lead-00090,cust-0090,session-00090,Instagram,camp-studio,2026-03-29,purchase,converted,ord-00090,var-short-navy-s
lead-00091,cust-0091,session-00091,Paid Social,camp-move,2026-08-17,purchase,converted,ord-00091,var-sock-sage-s
lead-00092,cust-0092,session-00092,Instagram,camp-studio,2026-08-13,purchase,converted,ord-00092,var-sock-lilac-s
lead-00093,cust-0093,session-00093,DM,camp-private,2026-07-09,purchase,converted,ord-00093,var-legging-black-m
lead-00094,cust-0094,session-00094,Instagram,camp-studio,2026-06-22,purchase,converted,ord-00094,var-sock-sage-s
lead-00095,cust-0095,session-00095,Instagram,camp-studio,2026-07-25,purchase,converted,ord-00095,var-top-black-s
lead-00096,cust-0096,session-00096,DM,camp-private,2026-06-03,purchase,converted,ord-00096,var-sock-coral-l
lead-00097,cust-0097,session-00097,Paid Social,camp-move,2026-05-16,purchase,converted,ord-00097,var-sock-black-l
lead-00098,cust-0098,session-00098,Paid Social,camp-move,2026-07-12,purchase,converted,ord-00098,var-sock-sage-m
lead-00099,cust-0099,session-00099,Paid Social,camp-move,2026-02-07,purchase,converted,ord-00099,var-sock-lilac-s
lead-00100,cust-0100,session-00100,Instagram,camp-studio,2026-08-15,purchase,converted,ord-00100,var-sock-sage-l
lead-00101,cust-0101,session-00101,Organic,organic,2026-09-09,purchase,converted,ord-00101,var-sock-ivory-m
lead-00102,cust-0102,session-00102,Organic,organic,2026-07-07,purchase,converted,ord-00102,var-legging-navy-m
lead-00103,cust-0103,session-00103,DM,camp-private,2026-05-06,purchase,converted,ord-00103,var-sock-black-l
lead-00104,cust-0104,session-00104,Paid Social,camp-move,2026-09-07,purchase,converted,ord-00104,var-short-black-l
lead-00105,cust-0105,session-00105,Paid Social,camp-move,2026-05-23,browse,lost,,
lead-00106,cust-0106,session-00106,Paid Social,camp-move,2025-11-04,purchase,converted,ord-00106,var-top-rose-m
lead-00107,cust-0107,session-00107,Paid Social,camp-move,2026-03-27,purchase,converted,ord-00107,var-legging-black-m
lead-00108,cust-0108,session-00108,Instagram,camp-studio,2025-10-25,purchase,converted,ord-00108,var-short-coral-s
lead-00109,cust-0109,session-00109,DM,camp-private,2026-08-23,purchase,converted,ord-00109,var-sock-sage-m
lead-00110,cust-0110,session-00110,DM,camp-private,2026-04-15,purchase,converted,ord-00110,var-sock-rose-s
lead-00111,cust-0111,session-00111,Organic,organic,2026-02-20,purchase,converted,ord-00111,var-short-black-m
lead-00112,cust-0112,session-00112,Instagram,camp-studio,2025-12-09,purchase,converted,ord-00112,var-legging-navy-l
lead-00113,cust-0113,session-00113,Paid Social,camp-move,2026-04-20,purchase,converted,ord-00113,var-short-navy-s
lead-00114,cust-0114,session-00114,Paid Social,camp-move,2026-07-09,purchase,converted,ord-00114,var-sock-lilac-l
lead-00115,cust-0115,session-00115,Paid Social,camp-move,2026-04-05,purchase,converted,ord-00115,var-legging-navy-m
lead-00116,cust-0116,session-00116,Organic,organic,2026-05-26,purchase,converted,ord-00116,var-sock-ivory-s
lead-00117,cust-0117,session-00117,Instagram,camp-studio,2026-08-23,purchase,converted,ord-00117,var-sock-rose-m
lead-00118,cust-0118,session-00118,Instagram,camp-studio,2026-06-04,browse,lost,,
lead-00119,cust-0119,session-00119,DM,camp-private,2026-05-21,purchase,converted,ord-00119,var-sock-black-l
lead-00120,cust-0120,session-00120,Paid Social,camp-move,2026-08-17,purchase,converted,ord-00120,var-sock-sage-s
lead-00121,cust-0121,session-00121,DM,camp-private,2026-05-14,purchase,converted,ord-00121,var-sock-sage-l
lead-00122,cust-0122,session-00122,Organic,organic,2025-12-04,purchase,converted,ord-00122,var-sock-lilac-s
lead-00123,cust-0123,session-00123,DM,camp-private,2026-08-24,purchase,converted,ord-00123,var-sock-black-m
lead-00124,cust-0124,session-00124,Instagram,camp-studio,2026-08-17,purchase,converted,ord-00124,var-short-black-l
lead-00125,cust-0125,session-00125,DM,camp-private,2026-01-26,purchase,converted,ord-00125,var-sock-rose-s
lead-00126,cust-0126,session-00126,Organic,organic,2026-07-06,purchase,converted,ord-00126,var-sock-sage-m
lead-00127,cust-0127,session-00127,Paid Social,camp-move,2026-06-24,purchase,converted,ord-00127,var-sock-ivory-l
lead-00128,cust-0128,session-00128,Organic,organic,2026-03-29,purchase,converted,ord-00128,var-sock-ivory-l
lead-00129,cust-0129,session-00129,Instagram,camp-studio,2026-07-18,purchase,converted,ord-00129,var-top-sand-m
lead-00130,cust-0130,session-00130,DM,camp-private,2026-04-29,purchase,converted,ord-00130,var-top-black-l
lead-00131,cust-0131,session-00131,Organic,organic,2026-09-04,purchase,converted,ord-00131,var-top-black-l
lead-00132,cust-0132,session-00132,Paid Social,camp-move,2026-04-14,purchase,converted,ord-00132,var-sock-lilac-s
lead-00133,cust-0133,session-00133,Organic,organic,2026-03-26,purchase,converted,ord-00133,var-sock-coral-l
lead-00134,cust-0134,session-00134,DM,camp-private,2026-02-02,purchase,converted,ord-00134,var-legging-olive-s
lead-00135,cust-0135,session-00135,Paid Social,camp-move,2025-12-01,purchase,converted,ord-00135,var-sock-sage-m
lead-00136,cust-0136,session-00136,Paid Social,camp-move,2026-06-09,purchase,converted,ord-00136,var-short-coral-m
lead-00137,cust-0137,session-00137,Paid Social,camp-move,2026-06-01,purchase,converted,ord-00137,var-sock-coral-s
lead-00138,cust-0138,session-00138,Paid Social,camp-move,2026-05-25,purchase,converted,ord-00138,var-sock-sage-m
lead-00139,cust-0139,session-00139,DM,camp-private,2026-05-18,purchase,converted,ord-00139,var-sock-coral-m
lead-00140,cust-0140,session-00140,Instagram,camp-studio,2026-06-14,purchase,converted,ord-00140,var-sock-coral-m
lead-00141,cust-0141,session-00141,Instagram,camp-studio,2026-01-28,browse,lost,,
lead-00142,cust-0142,session-00142,DM,camp-private,2026-08-25,purchase,converted,ord-00142,var-legging-black-m
lead-00143,cust-0143,session-00143,Organic,organic,2026-01-07,purchase,converted,ord-00143,var-top-black-s
lead-00144,cust-0144,session-00144,Instagram,camp-studio,2026-09-05,purchase,converted,ord-00144,var-sock-black-m
lead-00145,cust-0145,session-00145,Organic,organic,2026-04-26,purchase,converted,ord-00145,var-sock-sage-l
lead-00146,cust-0146,session-00146,Instagram,camp-studio,2026-07-24,purchase,converted,ord-00146,var-sock-sage-s
lead-00147,cust-0147,session-00147,Instagram,camp-studio,2026-03-01,purchase,converted,ord-00147,var-sock-black-s
lead-00148,cust-0148,session-00148,Paid Social,camp-move,2026-06-07,purchase,converted,ord-00148,var-sock-coral-s
lead-00149,cust-0149,session-00149,Organic,organic,2026-04-05,purchase,converted,ord-00149,var-sock-sage-l
lead-00150,cust-0150,session-00150,DM,camp-private,2026-08-07,purchase,converted,ord-00150,var-top-black-m
lead-00151,cust-0151,session-00151,Instagram,camp-studio,2026-06-05,purchase,converted,ord-00151,var-sock-ivory-m
lead-00152,cust-0152,session-00152,Instagram,camp-studio,2026-06-19,purchase,converted,ord-00152,var-short-navy-l
lead-00153,cust-0153,session-00153,Instagram,camp-studio,2026-07-07,purchase,converted,ord-00153,var-top-sand-m
lead-00154,cust-0154,session-00154,Instagram,camp-studio,2026-07-02,purchase,converted,ord-00154,var-sock-rose-m
lead-00155,cust-0155,session-00155,Instagram,camp-studio,2026-01-24,purchase,converted,ord-00155,var-sock-sage-m
lead-00156,cust-0156,session-00156,Organic,organic,2026-09-05,purchase,converted,ord-00156,var-sock-rose-s
lead-00157,cust-0157,session-00157,Paid Social,camp-move,2025-12-19,purchase,converted,ord-00157,var-short-coral-s
lead-00158,cust-0158,session-00158,DM,camp-private,2026-09-06,purchase,converted,ord-00158,var-sock-sage-s
lead-00159,cust-0159,session-00159,Organic,organic,2026-07-05,purchase,converted,ord-00159,var-sock-coral-l
lead-00160,cust-0160,session-00160,Organic,organic,2026-02-16,purchase,converted,ord-00160,var-legging-olive-s
lead-00161,cust-0161,session-00161,Organic,organic,2026-08-16,purchase,converted,ord-00161,var-short-black-s
lead-00162,cust-0162,session-00162,Instagram,camp-studio,2026-03-15,purchase,converted,ord-00162,var-legging-black-s
lead-00163,cust-0163,session-00163,Instagram,camp-studio,2026-02-16,purchase,converted,ord-00163,var-sock-rose-m
lead-00164,cust-0164,session-00164,Organic,organic,2026-02-19,purchase,converted,ord-00164,var-sock-lilac-s
lead-00165,cust-0165,session-00165,Organic,organic,2026-05-02,purchase,converted,ord-00165,var-sock-lilac-l
lead-00166,cust-0166,session-00166,Organic,organic,2026-06-01,purchase,converted,ord-00166,var-top-black-m
lead-00167,cust-0167,session-00167,Organic,organic,2026-05-12,purchase,converted,ord-00167,var-top-sand-s
lead-00168,cust-0168,session-00168,Instagram,camp-studio,2026-05-24,purchase,converted,ord-00168,var-sock-rose-l
lead-00169,cust-0169,session-00169,Instagram,camp-studio,2026-09-11,purchase,converted,ord-00169,var-sock-coral-m
lead-00170,cust-0170,session-00170,Instagram,camp-studio,2026-09-10,purchase,converted,ord-00170,var-legging-olive-m
lead-00171,cust-0171,session-00171,Organic,organic,2026-05-21,purchase,converted,ord-00171,var-short-coral-s
lead-00172,cust-0172,session-00172,Instagram,camp-studio,2026-06-08,purchase,converted,ord-00172,var-sock-ivory-s
lead-00173,cust-0173,session-00173,Paid Social,camp-move,2025-11-15,purchase,converted,ord-00173,var-sock-sage-s
lead-00174,cust-0174,session-00174,Organic,organic,2026-08-08,purchase,converted,ord-00174,var-sock-sage-l
lead-00175,cust-0175,session-00175,Organic,organic,2026-02-21,purchase,converted,ord-00175,var-sock-ivory-m
lead-00176,cust-0176,session-00176,Paid Social,camp-move,2026-08-15,purchase,converted,ord-00176,var-sock-coral-l
lead-00177,cust-0177,session-00177,DM,camp-private,2026-06-08,purchase,converted,ord-00177,var-top-sand-l
lead-00178,cust-0178,session-00178,Paid Social,camp-move,2026-07-30,purchase,converted,ord-00178,var-sock-rose-l
lead-00179,cust-0179,session-00179,DM,camp-private,2026-04-24,purchase,converted,ord-00179,var-sock-black-l
lead-00180,cust-0180,session-00180,DM,camp-private,2026-05-08,purchase,converted,ord-00180,var-top-sand-s
lead-00181,cust-0181,session-00181,Instagram,camp-studio,2026-04-01,purchase,converted,ord-00181,var-sock-sage-m
lead-00182,cust-0182,session-00182,Organic,organic,2025-12-13,purchase,converted,ord-00182,var-sock-ivory-l
lead-00183,cust-0183,session-00183,Paid Social,camp-move,2026-08-31,purchase,converted,ord-00183,var-sock-ivory-l
lead-00184,cust-0184,session-00184,Organic,organic,2026-06-20,purchase,converted,ord-00184,var-sock-rose-m
lead-00185,cust-0185,session-00185,Instagram,camp-studio,2026-08-19,purchase,converted,ord-00185,var-legging-olive-s
lead-00186,cust-0186,session-00186,Organic,organic,2026-07-25,purchase,converted,ord-00186,var-top-black-m
lead-00187,cust-0187,session-00187,Instagram,camp-studio,2026-03-06,purchase,converted,ord-00187,var-legging-olive-m
lead-00188,cust-0188,session-00188,Paid Social,camp-move,2026-05-30,purchase,converted,ord-00188,var-sock-coral-l
lead-00189,cust-0189,session-00189,Organic,organic,2026-03-04,purchase,converted,ord-00189,var-short-coral-l
lead-00190,cust-0190,session-00190,Instagram,camp-studio,2026-03-09,purchase,converted,ord-00190,var-short-coral-s
lead-00191,cust-0191,session-00191,Organic,organic,2026-05-30,purchase,converted,ord-00191,var-sock-sage-l
lead-00192,cust-0192,session-00192,Paid Social,camp-move,2026-06-28,purchase,converted,ord-00192,var-legging-black-m
lead-00193,cust-0193,session-00193,Organic,organic,2026-01-22,purchase,converted,ord-00193,var-sock-rose-m
lead-00194,cust-0194,session-00194,Instagram,camp-studio,2025-10-21,purchase,converted,ord-00194,var-short-black-m
lead-00195,cust-0195,session-00195,Instagram,camp-studio,2026-01-23,purchase,converted,ord-00195,var-top-rose-l
lead-00196,cust-0196,session-00196,Instagram,camp-studio,2026-07-09,purchase,converted,ord-00196,var-legging-olive-l
lead-00197,cust-0197,session-00197,Organic,organic,2026-01-24,purchase,converted,ord-00197,var-short-navy-s
lead-00198,cust-0198,session-00198,Paid Social,camp-move,2026-04-04,purchase,converted,ord-00198,var-sock-lilac-m
lead-00199,cust-0199,session-00199,Organic,organic,2026-07-08,browse,lost,,
lead-00200,cust-0200,session-00200,Organic,organic,2026-09-11,purchase,converted,ord-00200,var-legging-olive-l
lead-00201,cust-0201,session-00201,Instagram,camp-studio,2026-06-21,purchase,converted,ord-00201,var-sock-ivory-m
lead-00202,cust-0202,session-00202,Organic,organic,2026-07-09,purchase,converted,ord-00202,var-short-navy-m
lead-00203,cust-0203,session-00203,Organic,organic,2026-01-18,purchase,converted,ord-00203,var-sock-rose-l
lead-00204,cust-0204,session-00204,Paid Social,camp-move,2026-08-25,purchase,converted,ord-00204,var-legging-black-l
lead-00205,cust-0205,session-00205,DM,camp-private,2026-05-23,purchase,converted,ord-00205,var-legging-navy-m
lead-00206,cust-0206,session-00206,Paid Social,camp-move,2026-06-30,purchase,converted,ord-00206,var-sock-coral-l
lead-00207,cust-0207,session-00207,Organic,organic,2026-04-08,purchase,converted,ord-00207,var-legging-olive-m
lead-00208,cust-0208,session-00208,Paid Social,camp-move,2026-09-07,purchase,converted,ord-00208,var-sock-ivory-l
lead-00209,cust-0209,session-00209,DM,camp-private,2026-06-19,purchase,converted,ord-00209,var-sock-black-s
lead-00210,cust-0210,session-00210,Paid Social,camp-move,2026-08-05,purchase,converted,ord-00210,var-sock-ivory-m
lead-00211,cust-0211,session-00211,Instagram,camp-studio,2026-09-12,purchase,converted,ord-00211,var-sock-coral-s
lead-00212,cust-0212,session-00212,Paid Social,camp-move,2026-03-07,purchase,converted,ord-00212,var-sock-rose-s
lead-00213,cust-0213,session-00213,Organic,organic,2026-06-25,purchase,converted,ord-00213,var-sock-lilac-m
lead-00214,cust-0214,session-00214,Instagram,camp-studio,2026-09-10,purchase,converted,ord-00214,var-legging-black-l
lead-00215,cust-0215,session-00215,DM,camp-private,2026-05-25,purchase,converted,ord-00215,var-top-black-l
lead-00216,cust-0216,session-00216,DM,camp-private,2026-06-23,purchase,converted,ord-00216,var-sock-sage-l
lead-00217,cust-0217,session-00217,Instagram,camp-studio,2026-04-30,purchase,converted,ord-00217,var-sock-rose-m
lead-00218,cust-0218,session-00218,Organic,organic,2026-08-31,purchase,converted,ord-00218,var-sock-ivory-s
lead-00219,cust-0219,session-00219,Instagram,camp-studio,2026-08-20,purchase,converted,ord-00219,var-sock-ivory-s
lead-00220,cust-0220,session-00220,Instagram,camp-studio,2026-05-11,purchase,converted,ord-00220,var-sock-ivory-s
lead-00221,cust-0221,session-00221,Instagram,camp-studio,2026-07-01,purchase,converted,ord-00221,var-sock-ivory-l
lead-00222,cust-0222,session-00222,Paid Social,camp-move,2026-06-13,purchase,converted,ord-00222,var-sock-black-l
lead-00223,cust-0223,session-00223,Organic,organic,2026-06-19,purchase,converted,ord-00223,var-top-black-l
lead-00224,cust-0224,session-00224,Instagram,camp-studio,2026-08-04,purchase,converted,ord-00224,var-short-black-s
lead-00225,cust-0225,session-00225,Instagram,camp-studio,2026-03-01,purchase,converted,ord-00225,var-sock-lilac-s
lead-00226,cust-0226,session-00226,DM,camp-private,2026-06-24,purchase,converted,ord-00226,var-sock-coral-s
lead-00227,cust-0227,session-00227,Organic,organic,2026-03-02,purchase,converted,ord-00227,var-sock-rose-s
lead-00228,cust-0228,session-00228,DM,camp-private,2026-06-07,purchase,converted,ord-00228,var-top-rose-s
lead-00229,cust-0229,session-00229,Paid Social,camp-move,2026-01-15,purchase,converted,ord-00229,var-top-rose-s
lead-00230,cust-0230,session-00230,Instagram,camp-studio,2026-07-20,purchase,converted,ord-00230,var-sock-black-m
lead-00231,cust-0231,session-00231,Organic,organic,2026-07-02,purchase,converted,ord-00231,var-top-sand-l
lead-00232,cust-0232,session-00232,DM,camp-private,2026-07-20,purchase,converted,ord-00232,var-sock-ivory-m
lead-00233,cust-0233,session-00233,Paid Social,camp-move,2026-07-20,purchase,converted,ord-00233,var-top-black-s
lead-00234,cust-0234,session-00234,Organic,organic,2026-04-20,browse,lost,,
lead-00235,cust-0235,session-00235,Organic,organic,2026-03-05,purchase,converted,ord-00235,var-sock-rose-l
lead-00236,cust-0236,session-00236,Instagram,camp-studio,2026-05-11,purchase,converted,ord-00236,var-sock-rose-l
lead-00237,cust-0237,session-00237,Paid Social,camp-move,2026-09-19,purchase,converted,ord-00237,var-sock-black-l
lead-00238,cust-0238,session-00238,Paid Social,camp-move,2026-08-11,browse,lost,,
lead-00239,cust-0239,session-00239,Instagram,camp-studio,2026-07-14,purchase,converted,ord-00239,var-short-navy-s
lead-00240,cust-0240,session-00240,Instagram,camp-studio,2026-04-29,purchase,converted,ord-00240,var-legging-navy-l
lead-00241,cust-0241,session-00241,Instagram,camp-studio,2026-08-20,purchase,converted,ord-00241,var-top-sand-m
lead-00242,cust-0242,session-00242,Instagram,camp-studio,2025-11-09,purchase,converted,ord-00242,var-sock-lilac-l
lead-00243,cust-0243,session-00243,Organic,organic,2026-03-16,browse,lost,,
lead-00244,cust-0244,session-00244,Instagram,camp-studio,2025-11-13,purchase,converted,ord-00244,var-short-navy-s
lead-00245,cust-0245,session-00245,DM,camp-private,2026-07-31,purchase,converted,ord-00245,var-sock-lilac-m
lead-00246,cust-0246,session-00246,Instagram,camp-studio,2026-01-21,purchase,converted,ord-00246,var-sock-lilac-m
lead-00247,cust-0247,session-00247,Instagram,camp-studio,2026-02-11,purchase,converted,ord-00247,var-short-coral-s
lead-00248,cust-0248,session-00248,Paid Social,camp-move,2026-08-30,purchase,converted,ord-00248,var-sock-rose-m
lead-00249,cust-0249,session-00249,Organic,organic,2026-05-28,purchase,converted,ord-00249,var-short-black-s
lead-00250,cust-0250,session-00250,Instagram,camp-studio,2026-01-09,purchase,converted,ord-00250,var-short-navy-m
