id,acquired_date
cust-0099,2026-02-07
cust-0100,2026-08-15
cust-0101,2026-09-09
cust-0102,2026-07-04
cust-0103,2026-01-12
cust-0104,2026-09-07
cust-0105,2026-03-07
cust-0106,2025-10-20
cust-0107,2026-01-17
cust-0108,2025-10-08
cust-0109,2026-03-02
cust-0110,2026-04-15
cust-0111,2026-02-06
cust-0112,2025-10-25
cust-0113,2026-01-08
cust-0114,2026-07-09
cust-0115,2026-03-02
cust-0116,2026-01-08
cust-0117,2026-08-23
cust-0118,2026-06-04
cust-0119,2026-04-12
cust-0120,2026-08-17
cust-0121,2026-05-14
cust-0122,2025-12-04
cust-0123,2026-02-04
cust-0124,2025-12-02
cust-0125,2026-01-26
cust-0126,2026-07-06
cust-0127,2026-06-24
cust-0128,2026-02-03
cust-0129,2026-07-18
cust-0130,2026-04-29
cust-0131,2026-07-17
cust-0132,2026-04-14
cust-0133,2026-03-26
cust-0134,2026-01-12
cust-0135,2025-12-01
cust-0136,2026-06-09
cust-0137,2026-06-01
cust-0138,2025-11-07
cust-0139,2025-10-16
cust-0140,2025-11-17
cust-0141,2025-12-09
cust-0142,2026-08-09
cust-0143,2025-12-12
cust-0144,2026-09-05
cust-0145,2026-04-26
cust-0146,2026-07-24
cust-0147,2025-10-24
cust-0148,2026-04-07
cust-0149,2026-04-05
cust-0150,2026-07-24
cust-0151,2026-05-19
cust-0152,2026-06-19
cust-0153,2026-01-28
cust-0154,2026-07-02
cust-0155,2025-09-27
cust-0156,2026-09-05
cust-0157,2025-11-19
cust-0158,2026-09-06
cust-0159,2026-06-23
cust-0160,2026-02-05
cust-0161,2026-08-16
cust-0162,2026-03-15
cust-0163,2025-11-18
cust-0164,2026-02-19
cust-0165,2026-05-02
cust-0166,2025-12-11
cust-0167,2026-05-12
cust-0168,2025-09-23
cust-0169,2026-02-03
cust-0170,2026-06-05
cust-0171,2025-12-22
cust-0172,2026-06-08
cust-0173,2025-11-15
cust-0174,2026-08-08
cust-0175,2026-02-21
cust-0176,2026-08-15
cust-0177,2026-06-08
cust-0178,2026-07-30
cust-0179,2026-01-01
cust-0180,2025-12-09
cust-0181,2026-04-01
cust-0182,2025-12-13
cust-0183,2026-06-25
cust-0184,2026-06-20
cust-0185,2025-09-22
cust-0186,2026-07-25
cust-0187,2026-03-06
cust-0188,2026-05-30
cust-0189,2025-10-01
cust-0190,2025-11-18
cust-0191,2026-03-26
cust-0192,2026-02-26
cust-0193,2026-01-22
cust-0194,2025-10-21
cust-0195,2026-01-23
cust-0196,2026-07-09
cust-0197,2025-11-01
cust-0198,2025-11-04
cust-0199,2026-05-28
cust-0200,2025-10-27
cust-0201,2026-06-21
cust-0202,2025-11-25
cust-0203,2025-11-26
cust-0204,2026-08-25
cust-0205,2026-05-23
cust-0206,2026-06-30
cust-0207,2025-12-15
cust-0208,2026-02-04
cust-0209,2026-06-19
cust-0210,2026-07-29
cust-0211,2026-04-26
cust-0212,2026-01-08
cust-0213,2026-06-25
cust-0214,2026-09-10
cust-0215,2026-01-02
cust-0216,2026-02-28
cust-0217,2026-04-14
cust-0218,2026-08-31
cust-0219,2026-08-20
cust-0220,2026-04-01
cust-0221,2026-05-04
cust-0222,2026-06-13
cust-0223,2026-05-11
cust-0224,2025-11-22
cust-0225,2026-01-26
cust-0226,2026-01-15
cust-0227,2025-10-24
cust-0228,2026-03-14
cust-0229,2025-10-02
cust-0230,2026-07-20
cust-0231,2026-07-02
cust-0232,2026-01-17
cust-0233,2026-07-20
cust-0234,2026-01-12
cust-0235,2025-09-25
cust-0236,2025-10-28
cust-0237,2026-09-19
cust-0238,2026-08-11
cust-0239,2025-10-22
cust-0240,2026-01-17
cust-0241,2025-10-26
cust-0242,2025-10-08
cust-0243,2026-03-10
cust-0244,2025-10-28
cust-0245,2026-06-12
cust-0246,2026-01-21
cust-0247,2026-02-11
cust-0248,2026-08-30
cust-0249,2026-05-28
cust-0250,2026-01-09
cust-0251,2026-06-25
cust-0252,2025-11-28
cust-0253,2026-07-11
cust-0254,2026-07-14
cust-0255,2026-05-22
cust-0256,2026-01-24
cust-0257,2026-05-22
cust-0258,2026-04-18
cust-0259,2025-12-28
cust-0260,2025-11-09
cust-0261,2025-11-10
cust-0262,2026-08-25
cust-0263,2026-04-30
cust-0264,2026-03-22
cust-0265,2026-04-26
cust-0266,2026-04-20
cust-0267,2026-05-19
cust-0268,2025-10-19
cust-0269,2026-09-01
cust-0270,2026-08-22
cust-0271,2026-08-18
cust-0272,2025-11-11
cust-0273,2025-10-23
cust-0274,2026-04-16
cust-0275,2026-03-14
cust-0276,2025-11-16
cust-0277,2026-01-27
cust-0278,2025-12-29
cust-0279,2025-12-28
cust-0280,2026-06-23
cust-0281,2026-05-09
cust-0282,2025-12-02
cust-0283,2026-04-26
cust-0284,2025-12-24
cust-0285,2026-02-11
cust-0286,2026-05-16
cust-0287,2026-01-27
cust-0288,2025-10-30
cust-0289,2026-05-06
cust-0290,2026-06-30
cust-0291,2025-11-11
cust-0292,2025-10-17
cust-0293,2026-08-21
cust-0294,2026-06-25
cust-0295,2025-09-29
cust-0296,2025-11-08
cust-0297,2026-01-21
cust-0298,2025-12-16
cust-0299,2026-04-18
cust-0300,2026-05-28
cust-0301,2026-05-26
cust-0302,2026-01-09
cust-0303,2026-04-15
cust-0304,2025-10-22
cust-0305,2025-12-15
cust-0306,2026-04-04
cust-0307,2025-09-23
cust-0308,2026-04-09
cust-0309,2026-02-04
cust-0310,2026-05-12
cust-0311,2026-02-15
cust-0312,2026-04-26
cust-0313,2026-09-13
cust-0314,2026-07-03
cust-0315,2026-08-26
cust-0316,2026-05-29
cust-0317,2025-12-10
cust-0318,2025-12-28
cust-0319,2026-02-20
cust-0320,2026-01-11
cust-0321,2025-10-21
cust-0322,2026-07-15
cust-0323,2026-06-26
cust-0324,2025-10-23
cust-0325,2026-03-01
cust-0326,2025-10-21
cust-0327,2025-10-17
cust-0328,2026-07-18
cust-0329,2026-05-24
cust-0330,2026-06-06
cust-0331,2026-06-20
cust-0332,2025-12-11
cust-0333,2025-10-21
cust-0334,2026-06-09
cust-0335,2025-11-02
cust-0336,2025-12-26
cust-0337,2025-10-27
cust-0338,2026-07-23
cust-0339,2025-10-26
cust-0340,2026-09-02
cust-0341,2026-01-20
cust-0342,2026-04-16
cust-0343,2025-11-22
cust-0344,2026-07-10
cust-0345,2026-01-26
cust-0346,2026-07-15
cust-0347,2026-07-23
cust-0348,2025-10-12
cust-0349,2026-08-05
cust-0350,2025-11-02
cust-0351,2026-04-24
cust-0352,2026-08-24
cust-0353,2026-07-17
cust-0354,2026-07-08
cust-0355,2026-06-16
cust-0356,2026-03-02
cust-0357,2026-02-02
cust-0358,2026-01-04
cust-0359,2026-08-30
cust-0360,2026-03-01
cust-0361,2026-01-22
cust-0362,2026-02-04
cust-0363,2026-04-12
cust-0364,2025-11-28
cust-0365,2026-08-31
cust-0366,2026-08-18
cust-0367,2026-02-22
cust-0368,2026-05-14
cust-0369,2026-03-02
cust-0370,2025-10-29
cust-0371,2025-09-26
cust-0372,2026-05-14
cust-0373,2026-08-06
cust-0374,2026-07-07
cust-0375,2025-11-12
cust-0376,2025-10-29
cust-0377,2026-06-24
cust-0378,2026-01-09
cust-0379,2026-06-08
cust-0380,2026-02-04
cust-0381,2025-11-28
cust-0382,2026-03-19
cust-0383,2025-10-27
cust-0384,2026-01-25
cust-0385,2026-03-30
cust-0386,2026-02-14
cust-0387,2025-12-11
cust-0388,2026-05-04
cust-0389,2026-06-27
cust-0390,2026-09-17
cust-0391,2026-02-23
cust-0392,2026-08-01
cust-0393,2026-08-22
cust-0394,2026-06-19
cust-0395,2025-09-26
cust-0396,2026-08-29
cust-0397,2026-07-02
cust-0398,2026-02-22
cust-0399,2026-08-27
cust-0400,2025-11-14
