id,customer_id,channel,campaign_id,date,content_asset_id
session-00042,cust-0042,Instagram,camp-studio,2026-05-01,asset-01
session-00043,cust-0043,Instagram,camp-studio,2025-12-10,asset-01
session-00044,cust-0044,DM,camp-private,2026-01-10,asset-03
session-00045,cust-0045,Instagram,camp-studio,2026-06-25,asset-01
session-00046,cust-0046,Organic,organic,2026-07-07,asset-04
session-00047,cust-0047,Instagram,camp-studio,2026-04-30,asset-01
session-00048,cust-0048,Organic,organic,2026-08-28,asset-04
session-00049,cust-0049,Paid Social,camp-move,2025-12-20,asset-02
session-00050,cust-0050,Paid Social,camp-move,2026-03-24,asset-02
session-00051,cust-0051,DM,camp-private,2026-03-17,asset-03
session-00052,cust-0052,Organic,organic,2026-07-28,asset-04
session-00053,cust-0053,Paid Social,camp-move,2026-02-12,asset-02
session-00054,cust-0054,Organic,organic,2026-01-10,asset-04
session-00055,cust-0055,Paid Social,camp-move,2026-05-15,asset-02
session-00056,cust-0056,Paid Social,camp-move,2026-07-24,asset-02
session-00057,cust-0057,Instagram,camp-studio,2026-06-06,asset-01
session-00058,cust-0058,Instagram,camp-studio,2026-05-24,asset-01
session-00059,cust-0059,Instagram,camp-studio,2026-04-02,asset-01
session-00060,cust-0060,Organic,organic,2026-07-01,asset-04
session-00061,cust-0061,Instagram,camp-studio,2026-05-13,asset-01
session-00062,cust-0062,Paid Social,camp-move,2026-08-09,asset-02
session-00063,cust-0063,Organic,organic,2026-08-04,asset-04
session-00064,cust-0064,Organic,organic,2026-03-26,asset-04
session-00065,cust-0065,Organic,organic,2026-07-27,asset-04
session-00066,cust-0066,Instagram,camp-studio,2026-05-10,asset-01
session-00067,cust-0067,Organic,organic,2026-09-17,asset-04
session-00068,cust-0068,Instagram,camp-studio,2026-05-26,asset-01
session-00069,cust-0069,Paid Social,camp-move,2026-08-23,asset-02
session-00070,cust-0070,Organic,organic,2026-09-02,asset-04
session-00071,cust-0071,Instagram,camp-studio,2026-01-16,asset-01
session-00072,cust-0072,Organic,organic,2026-05-21,asset-04
session-00073,cust-0073,Organic,organic,2026-01-15,asset-04
session-00074,cust-0074,Instagram,camp-studio,2026-04-11,asset-01
session-00075,cust-0075,Instagram,camp-studio,2026-05-19,asset-01
session-00076,cust-0076,Organic,organic,2026-05-14,asset-04
session-00077,cust-0077,Paid Social,camp-move,2026-05-08,asset-02
session-00078,cust-0078,DM,camp-private,2026-05-25,asset-03
session-00079,cust-0079,Paid Social,camp-move,2026-08-13,asset-02
session-00080,cust-0080,DM,camp-private,2026-08-14,asset-03
session-00081,cust-0081,Instagram,camp-studio,2026-07-22,asset-01
session-00082,cust-0082,DM,camp-private,2026-03-30,asset-03
session-00083,cust-0083,Paid Social,camp-move,2026-05-07,asset-02
session-00084,cust-0084,Paid Social,camp-move,2026-04-10,asset-02
session-00085,cust-0085,Organic,organic,2026-08-31,asset-04
session-00086,cust-0086,DM,camp-private,2026-06-30,asset-03
session-00087,cust-0087,Instagram,camp-studio,2026-09-16,asset-01
session-00088,cust-0088,Paid Social,camp-move,2026-09-06,asset-02
session-00089,cust-0089,Instagram,camp-studio,2026-08-19,asset-01
session-00090,cust-0090,Instagram,camp-studio,2026-03-24,asset-01
session-00091,cust-0091,Paid Social,camp-move,2026-08-17,asset-02
session-00092,cust-0092,Instagram,camp-studio,2026-08-13,asset-01
session-00093,cust-0093,DM,camp-private,2026-07-07,asset-03
session-00094,cust-0094,Instagram,camp-studio,2026-06-22,asset-01
session-00095,cust-0095,Instagram,camp-studio,2026-07-21,asset-01
session-00096,cust-0096,DM,camp-private,2026-05-29,asset-03
session-00097,cust-0097,Paid Social,camp-move,2026-05-16,asset-02
session-00098,cust-0098,Paid Social,camp-move,2026-07-11,asset-02
session-00099,cust-0099,Paid Social,camp-move,2026-02-07,asset-02
session-00100,cust-0100,Instagram,camp-studio,2026-08-15,asset-01
session-00101,cust-0101,Organic,organic,2026-09-09,asset-04
session-00102,cust-0102,Organic,organic,2026-07-04,asset-04
session-00103,cust-0103,DM,camp-private,2026-05-06,asset-03
session-00104,cust-0104,Paid Social,camp-move,2026-09-07,asset-02
session-00105,cust-0105,Paid Social,camp-move,2026-05-21,asset-02
session-00106,cust-0106,Paid Social,camp-move,2025-11-01,asset-02
session-00107,cust-0107,Paid Social,camp-move,2026-03-23,asset-02
session-00108,cust-0108,Instagram,camp-studio,2025-10-20,asset-01
session-00109,cust-0109,DM,camp-private,2026-08-23,asset-03
session-00110,cust-0110,DM,camp-private,2026-04-15,asset-03
session-00111,cust-0111,Organic,organic,2026-02-18,asset-04
session-00112,cust-0112,Instagram,camp-studio,2025-12-06,asset-01
session-00113,cust-0113,Paid Social,camp-move,2026-04-16,asset-02
session-00114,cust-0114,Paid Social,camp-move,2026-07-09,asset-02
session-00115,cust-0115,Paid Social,camp-move,2026-04-05,asset-02
session-00116,cust-0116,Organic,organic,2026-05-25,asset-04
session-00117,cust-0117,Instagram,camp-studio,2026-08-23,asset-01
session-00118,cust-0118,Instagram,camp-studio,2026-06-04,asset-01
session-00119,cust-0119,DM,camp-private,2026-05-17,asset-03
session-00120,cust-0120,Paid Social,camp-move,2026-08-17,asset-02
session-00121,cust-0121,DM,camp-private,2026-05-14,asset-03
session-00122,cust-0122,Organic,organic,2025-12-04,asset-04
session-00123,cust-0123,DM,camp-private,2026-08-22,asset-03
session-00124,cust-0124,Instagram,camp-studio,2026-08-14,asset-01
session-00125,cust-0125,DM,camp-private,2026-01-26,asset-03
session-00126,cust-0126,Organic,organic,2026-07-06,asset-04
session-00127,cust-0127,Paid Social,camp-move,2026-06-24,asset-02
session-00128,cust-0128,Organic,organic,2026-03-28,asset-04
session-00129,cust-0129,Instagram,camp-studio,2026-07-18,asset-01
session-00130,cust-0130,DM,camp-private,2026-04-29,asset-03
session-00131,cust-0131,Organic,organic,2026-08-31,asset-04
session-00132,cust-0132,Paid Social,camp-move,2026-04-14,asset-02
session-00133,cust-0133,Organic,organic,2026-03-26,asset-04
session-00134,cust-0134,DM,camp-private,2026-02-01,asset-03
session-00135,cust-0135,Paid Social,camp-move,2025-12-01,asset-02
session-00136,cust-0136,Paid Social,camp-move,2026-06-09,asset-02
session-00137,cust-0137,Paid Social,camp-move,2026-06-01,asset-02
session-00138,cust-0138,Paid Social,camp-move,2026-05-20,asset-02
session-00139,cust-0139,DM,camp-private,2026-05-18,asset-03
session-00140,cust-0140,Instagram,camp-studio,2026-06-13,asset-01
session-00141,cust-0141,Instagram,camp-studio,2026-01-26,asset-01
session-00142,cust-0142,DM,camp-private,2026-08-22,asset-03
session-00143,cust-0143,Organic,organic,2026-01-03,asset-04
session-00144,cust-0144,Instagram,camp-studio,2026-09-05,asset-01
session-00145,cust-0145,Organic,organic,2026-04-26,asset-04
session-00146,cust-0146,Instagram,camp-studio,2026-07-24,asset-01
session-00147,cust-0147,Instagram,camp-studio,2026-02-27,asset-01
session-00148,cust-0148,Paid Social,camp-move,2026-06-04,asset-02
session-00149,cust-0149,Organic,organic,2026-04-05,asset-04
session-00150,cust-0150,DM,camp-private,2026-08-02,asset-03
session-00151,cust-0151,Instagram,camp-studio,2026-06-05,asset-01
session-00152,cust-0152,Instagram,camp-studio,2026-06-19,asset-01
session-00153,cust-0153,Instagram,camp-studio,2026-07-05,asset-01
session-00154,cust-0154,Instagram,camp-studio,2026-07-02,asset-01
session-00155,cust-0155,Instagram,camp-studio,2026-01-20,asset-01
session-00156,cust-0156,Organic,organic,2026-09-05,asset-04
session-00157,cust-0157,Paid Social,camp-move,2025-12-19,asset-02
session-00158,cust-0158,DM,camp-private,2026-09-06,asset-03
session-00159,cust-0159,Organic,organic,2026-07-03,asset-04
session-00160,cust-0160,Organic,organic,2026-02-13,asset-04
session-00161,cust-0161,Organic,organic,2026-08-16,asset-04
session-00162,cust-0162,Instagram,camp-studio,2026-03-15,asset-01
session-00163,cust-0163,Instagram,camp-studio,2026-02-16,asset-01
session-00164,cust-0164,Organic,organic,2026-02-19,asset-04
session-00165,cust-0165,Organic,organic,2026-05-02,asset-04
session-00166,cust-0166,Organic,organic,2026-05-29,asset-04
session-00167,cust-0167,Organic,organic,2026-05-12,asset-04
session-00168,cust-0168,Instagram,camp-studio,2026-05-19,asset-01
session-00169,cust-0169,Instagram,camp-studio,2026-09-11,asset-01
session-00170,cust-0170,Instagram,camp-studio,2026-09-09,asset-01
session-00171,cust-0171,Organic,organic,2026-05-19,asset-04
session-00172,cust-0172,Instagram,camp-studio,2026-06-08,asset-01
session-00173,cust-0173,Paid Social,camp-move,2025-11-15,asset-02
session-00174,cust-0174,Organic,organic,2026-08-08,asset-04
session-00175,cust-0175,Organic,organic,2026-02-21,asset-04
session-00176,cust-0176,Paid Social,camp-move,2026-08-15,asset-02
session-00177,cust-0177,DM,camp-private,2026-06-08,asset-03
session-00178,cust-0178,Paid Social,camp-move,2026-07-30,asset-02
session-00179,cust-0179,DM,camp-private,2026-04-20,asset-03
session-00180,cust-0180,DM,camp-private,2026-05-03,asset-03
session-00181,cust-0181,Instagram,camp-studio,2026-04-01,asset-01
session-00182,cust-0182,Organic,organic,2025-12-13,asset-04
session-00183,cust-0183,Paid Social,camp-move,2026-08-29,asset-02
session-00184,cust-0184,Organic,organic,2026-06-20,asset-04
session-00185,cust-0185,Instagram,camp-studio,2026-08-15,asset-01
session-00186,cust-0186,Organic,organic,2026-07-25,asset-04
session-00187,cust-0187,Instagram,camp-studio,2026-03-06,asset-01
session-00188,cust-0188,Paid Social,camp-move,2026-05-30,asset-02
session-00189,cust-0189,Organic,organic,2026-03-02,asset-04
session-00190,cust-0190,Instagram,camp-studio,2026-03-06,asset-01
session-00191,cust-0191,Organic,organic,2026-05-26,asset-04
session-00192,cust-0192,Paid Social,camp-move,2026-06-23,asset-02
session-00193,cust-0193,Organic,organic,2026-01-22,asset-04
session-00194,cust-0194,Instagram,camp-studio,2025-10-21,asset-01
session-00195,cust-0195,Instagram,camp-studio,2026-01-23,asset-01
session-00196,cust-0196,Instagram,camp-studio,2026-07-09,asset-01
session-00197,cust-0197,Organic,organic,2026-01-20,asset-04
session-00198,cust-0198,Paid Social,camp-move,2026-03-30,asset-02
session-00199,cust-0199,Organic,organic,2026-07-08,asset-04
session-00200,cust-0200,Organic,organic,2026-09-10,asset-04
session-00201,cust-0201,Instagram,camp-studio,2026-06-21,asset-01
session-00202,cust-0202,Organic,organic,2026-07-06,asset-04
session-00203,cust-0203,Organic,organic,2026-01-14,asset-04
session-00204,cust-0204,Paid Social,camp-move,2026-08-25,asset-02
session-00205,cust-0205,DM,camp-private,2026-05-23,asset-03
session-00206,cust-0206,Paid Social,camp-move,2026-06-30,asset-02
session-00207,cust-0207,Organic,organic,2026-04-06,asset-04
session-00208,cust-0208,Paid Social,camp-move,2026-09-04,asset-02
session-00209,cust-0209,DM,camp-private,2026-06-19,asset-03
session-00210,cust-0210,Paid Social,camp-move,2026-07-31,asset-02
session-00211,cust-0211,Instagram,camp-studio,2026-09-12,asset-01
session-00212,cust-0212,Paid Social,camp-move,2026-03-06,asset-02
session-00213,cust-0213,Organic,organic,2026-06-25,asset-04
session-00214,cust-0214,Instagram,camp-studio,2026-09-10,asset-01
session-00215,cust-0215,DM,camp-private,2026-05-21,asset-03
session-00216,cust-0216,DM,camp-private,2026-06-18,asset-03
session-00217,cust-0217,Instagram,camp-studio,2026-04-30,asset-01
session-00218,cust-0218,Organic,organic,2026-08-31,asset-04
session-00219,cust-0219,Instagram,camp-studio,2026-08-20,asset-01
session-00220,cust-0220,Instagram,camp-studio,2026-05-08,asset-01
session-00221,cust-0221,Instagram,camp-studio,2026-06-27,asset-01
session-00222,cust-0222,Paid Social,camp-move,2026-06-13,asset-02
session-00223,cust-0223,Organic,organic,2026-06-19,asset-04
session-00224,cust-0224,Instagram,camp-studio,2026-08-03,asset-01
session-00225,cust-0225,Instagram,camp-studio,2026-02-27,asset-01
session-00226,cust-0226,DM,camp-private,2026-06-21,asset-03
session-00227,cust-0227,Organic,organic,2026-02-26,asset-04
session-00228,cust-0228,DM,camp-private,2026-06-02,asset-03
session-00229,cust-0229,Paid Social,camp-move,2026-01-15,asset-02
session-00230,cust-0230,Instagram,camp-studio,2026-07-20,asset-01
session-00231,cust-0231,Organic,organic,2026-07-02,asset-04
session-00232,cust-0232,DM,camp-private,2026-07-17,asset-03
session-00233,cust-0233,Paid Social,camp-move,2026-07-20,asset-02
session-00234,cust-0234,Organic,organic,2026-04-15,asset-04
session-00235,cust-0235,Organic,organic,2026-03-05,asset-04
session-00236,cust-0236,Instagram,camp-studio,2026-05-10,asset-01
session-00237,cust-0237,Paid Social,camp-move,2026-09-19,asset-02
session-00238,cust-0238,Paid Social,camp-move,2026-08-11,asset-02
session-00239,cust-0239,Instagram,camp-studio,2026-07-10,asset-01
session-00240,cust-0240,Instagram,camp-studio,2026-04-24,asset-01
session-00241,cust-0241,Instagram,camp-studio,2026-08-20,asset-01
session-00242,cust-0242,Instagram,camp-studio,2025-11-08,asset-01
session-00243,cust-0243,Organic,organic,2026-03-14,asset-04
session-00244,cust-0244,Instagram,camp-studio,2025-11-10,asset-01
session-00245,cust-0245,DM,camp-private,2026-07-27,asset-03
session-00246,cust-0246,Instagram,camp-studio,2026-01-21,asset-01
session-00247,cust-0247,Instagram,camp-studio,2026-02-11,asset-01
session-00248,cust-0248,Paid Social,camp-move,2026-08-30,asset-02
session-00249,cust-0249,Organic,organic,2026-05-28,asset-04
session-00250,cust-0250,Instagram,camp-studio,2026-01-09,asset-01
session-00251,cust-0251,Instagram,camp-studio,2026-06-25,asset-01
session-00252,cust-0252,DM,camp-private,2026-08-15,asset-03
session-00253,cust-0253,Instagram,camp-studio,2026-07-11,asset-01
session-00254,cust-0254,Paid Social,camp-move,2026-07-14,asset-02
session-00255,cust-0255,DM,camp-private,2026-05-22,asset-03
session-00256,cust-0256,Paid Social,camp-move,2026-06-07,asset-02
session-00257,cust-0257,Organic,organic,2026-05-22,asset-04
session-00258,cust-0258,Instagram,camp-studio,2026-04-18,asset-01
session-00259,cust-0259,Organic,organic,2026-06-13,asset-04
session-00260,cust-0260,Organic,organic,2026-07-06,asset-04
session-00261,cust-0261,Instagram,camp-studio,2026-04-17,asset-01
session-00262,cust-0262,Instagram,camp-studio,2026-08-25,asset-01
session-00263,cust-0263,Paid Social,camp-move,2026-04-30,asset-02
session-00264,cust-0264,Paid Social,camp-move,2026-03-22,asset-02
session-00265,cust-0265,Organic,organic,2026-04-26,asset-04
session-00266,cust-0266,Organic,organic,2026-04-20,asset-04
session-00267,cust-0267,Instagram,camp-studio,2026-05-19,asset-01
session-00268,cust-0268,Instagram,camp-studio,2025-12-17,asset-01
session-00269,cust-0269,Instagram,camp-studio,2026-09-01,asset-01
session-00270,cust-0270,Instagram,camp-studio,2026-08-22,asset-01
session-00271,cust-0271,Instagram,camp-studio,2026-08-18,asset-01
session-00272,cust-0272,Instagram,camp-studio,2026-04-27,asset-01
session-00273,cust-0273,Paid Social,camp-move,2026-06-28,asset-02
session-00274,cust-0274,Instagram,camp-studio,2026-05-25,asset-01
session-00275,cust-0275,Paid Social,camp-move,2026-05-17,asset-02
session-00276,cust-0276,Paid Social,camp-move,2026-01-31,asset-02
session-00277,cust-0277,Instagram,camp-studio,2026-04-08,asset-01
session-00278,cust-0278,Instagram,camp-studio,2026-07-20,asset-01
session-00279,cust-0279,Paid Social,camp-move,2025-12-28,asset-02
session-00280,cust-0280,Instagram,camp-studio,2026-07-30,asset-01
session-00281,cust-0281,DM,camp-private,2026-07-15,asset-03
session-00282,cust-0282,Paid Social,camp-move,2026-08-22,asset-02
session-00283,cust-0283,DM,camp-private,2026-07-06,asset-03
session-00284,cust-0284,Instagram,camp-studio,2026-09-08,asset-01
session-00285,cust-0285,Instagram,camp-studio,2026-07-25,asset-01
session-00286,cust-0286,Instagram,camp-studio,2026-05-16,asset-01
session-00287,cust-0287,Instagram,camp-studio,2026-01-27,asset-01
session-00288,cust-0288,Organic,organic,2026-04-19,asset-04
session-00289,cust-0289,Organic,organic,2026-05-25,asset-04
session-00290,cust-0290,Instagram,camp-studio,2026-06-30,asset-01
session-00291,cust-0291,Paid Social,camp-move,2025-12-26,asset-02
session-00292,cust-0292,Organic,organic,2026-06-27,asset-04
session-00293,cust-0293,Instagram,camp-studio,2026-08-21,asset-01
session-00294,cust-0294,Paid Social,camp-move,2026-06-25,asset-02
session-00295,cust-0295,DM,camp-private,2026-09-13,asset-03
session-00296,cust-0296,Organic,organic,2026-04-07,asset-04
session-00297,cust-0297,Paid Social,camp-move,2026-01-21,asset-02
session-00298,cust-0298,Instagram,camp-studio,2026-05-06,asset-01
session-00299,cust-0299,Paid Social,camp-move,2026-09-02,asset-02
session-00300,cust-0300,Instagram,camp-studio,2026-05-28,asset-01
session-00301,cust-0301,Organic,organic,2026-06-16,asset-04
session-00302,cust-0302,Organic,organic,2026-03-16,asset-04
session-00303,cust-0303,DM,camp-private,2026-08-02,asset-03
session-00304,cust-0304,Instagram,camp-studio,2026-02-21,asset-01
session-00305,cust-0305,Organic,organic,2026-05-02,asset-04
session-00306,cust-0306,DM,camp-private,2026-04-13,asset-03
session-00307,cust-0307,Paid Social,camp-move,2026-09-20,asset-02
session-00308,cust-0308,Organic,organic,2026-04-09,asset-04
session-00309,cust-0309,DM,camp-private,2026-05-20,asset-03
session-00310,cust-0310,Instagram,camp-studio,2026-05-12,asset-01
session-00311,cust-0311,Paid Social,camp-move,2026-04-15,asset-02
session-00312,cust-0312,Organic,organic,2026-07-21,asset-04
session-00313,cust-0313,Paid Social,camp-move,2026-09-13,asset-02
session-00314,cust-0314,Organic,organic,2026-07-03,asset-04
session-00315,cust-0315,Instagram,camp-studio,2026-08-26,asset-01
session-00316,cust-0316,Instagram,camp-studio,2026-08-18,asset-01
session-00317,cust-0317,DM,camp-private,2026-02-28,asset-03
session-00318,cust-0318,DM,camp-private,2025-12-28,asset-03
session-00319,cust-0319,Organic,organic,2026-05-23,asset-04
session-00320,cust-0320,Instagram,camp-studio,2026-01-11,asset-01
session-00321,cust-0321,Instagram,camp-studio,2026-08-21,asset-01
session-00322,cust-0322,Organic,organic,2026-07-15,asset-04
session-00323,cust-0323,Paid Social,camp-move,2026-06-26,asset-02
session-00324,cust-0324,Organic,organic,2025-12-18,asset-04
session-00325,cust-0325,Paid Social,camp-move,2026-08-12,asset-02
session-00326,cust-0326,Instagram,camp-studio,2026-09-02,asset-01
session-00327,cust-0327,Instagram,camp-studio,2025-10-17,asset-01
session-00328,cust-0328,Instagram,camp-studio,2026-07-18,asset-01
session-00329,cust-0329,Organic,organic,2026-08-17,asset-04
session-00330,cust-0330,Organic,organic,2026-08-17,asset-04
session-00331,cust-0331,DM,camp-private,2026-06-20,asset-03
session-00332,cust-0332,Organic,organic,2026-01-01,asset-04
session-00333,cust-0333,Paid Social,camp-move,2026-06-27,asset-02
session-00334,cust-0334,DM,camp-private,2026-06-09,asset-03
session-00335,cust-0335,Organic,organic,2025-11-08,asset-04
session-00336,cust-0336,Organic,organic,2025-12-26,asset-04
session-00337,cust-0337,Instagram,camp-studio,2026-03-16,asset-01
session-00338,cust-0338,Organic,organic,2026-07-23,asset-04
session-00339,cust-0339,Organic,organic,2026-09-05,asset-04
session-00340,cust-0340,Instagram,camp-studio,2026-09-02,asset-01
session-00341,cust-0341,DM,camp-private,2026-09-11,asset-03
session-00342,cust-0342,Instagram,camp-studio,2026-04-16,asset-01
session-00343,cust-0343,Paid Social,camp-move,2026-07-12,asset-02
session-00344,cust-0344,Paid Social,camp-move,2026-07-10,asset-02
session-00345,cust-0345,Paid Social,camp-move,2026-06-07,asset-02
session-00346,cust-0346,Paid Social,camp-move,2026-07-15,asset-02
session-00347,cust-0347,Instagram,camp-studio,2026-08-21,asset-01
session-00348,cust-0348,Instagram,camp-studio,2026-05-27,asset-01
session-00349,cust-0349,Instagram,camp-studio,2026-08-05,asset-01
session-00350,cust-0350,Paid Social,camp-move,2026-05-09,asset-02
session-00351,cust-0351,Paid Social,camp-move,2026-07-16,asset-02
session-00352,cust-0352,DM,camp-private,2026-08-24,asset-03
session-00353,cust-0353,Paid Social,camp-move,2026-07-17,asset-02
session-00354,cust-0354,DM,camp-private,2026-07-08,asset-03
session-00355,cust-0355,Paid Social,camp-move,2026-06-16,asset-02
session-00356,cust-0356,Instagram,camp-studio,2026-06-21,asset-01
session-00357,cust-0357,Instagram,camp-studio,2026-08-29,asset-01
session-00358,cust-0358,Instagram,camp-studio,2026-02-17,asset-01
session-00359,cust-0359,Paid Social,camp-move,2026-08-30,asset-02
session-00360,cust-0360,Instagram,camp-studio,2026-03-01,asset-01
session-00361,cust-0361,Paid Social,camp-move,2026-08-19,asset-02
session-00362,cust-0362,Instagram,camp-studio,2026-09-05,asset-01
session-00363,cust-0363,Instagram,camp-studio,2026-04-12,asset-01
session-00364,cust-0364,Instagram,camp-studio,2026-08-23,asset-01
session-00365,cust-0365,Paid Social,camp-move,2026-08-31,asset-02
session-00366,cust-0366,Instagram,camp-studio,2026-08-18,asset-01
session-00367,cust-0367,Instagram,camp-studio,2026-08-30,asset-01
session-00368,cust-0368,Paid Social,camp-move,2026-05-14,asset-02
session-00369,cust-0369,Instagram,camp-studio,2026-03-02,asset-01
session-00370,cust-0370,Instagram,camp-studio,2025-11-11,asset-01
session-00371,cust-0371,DM,camp-private,2025-10-24,asset-03
session-00372,cust-0372,Paid Social,camp-move,2026-05-14,asset-02
session-00373,cust-0373,Instagram,camp-studio,2026-08-06,asset-01
session-00374,cust-0374,Instagram,camp-studio,2026-07-17,asset-01
session-00375,cust-0375,Instagram,camp-studio,2026-08-24,asset-01
session-00376,cust-0376,Paid Social,camp-move,2026-07-21,asset-02
session-00377,cust-0377,DM,camp-private,2026-06-24,asset-03
session-00378,cust-0378,Instagram,camp-studio,2026-01-09,asset-01
session-00379,cust-0379,DM,camp-private,2026-06-08,asset-03
session-00380,cust-0380,Instagram,camp-studio,2026-02-28,asset-01
session-00381,cust-0381,DM,camp-private,2025-12-18,asset-03
session-00382,cust-0382,Instagram,camp-studio,2026-08-05,asset-01
session-00383,cust-0383,Instagram,camp-studio,2026-07-17,asset-01
session-00384,cust-0384,Paid Social,camp-move,2026-03-23,asset-02
session-00385,cust-0385,Paid Social,camp-move,2026-03-30,asset-02
session-00386,cust-0386,Instagram,camp-studio,2026-06-11,asset-01
session-00387,cust-0387,Instagram,camp-studio,2026-05-27,asset-01
session-00388,cust-0388,Instagram,camp-studio,2026-05-04,asset-01
session-00389,cust-0389,Paid Social,camp-move,2026-06-27,asset-02
session-00390,cust-0390,Paid Social,camp-move,2026-09-17,asset-02
session-00391,cust-0391,Instagram,camp-studio,2026-08-17,asset-01
session-00392,cust-0392,Paid Social,camp-move,2026-08-01,asset-02
session-00393,cust-0393,DM,camp-private,2026-08-22,asset-03
session-00394,cust-0394,Organic,organic,2026-06-19,asset-04
session-00395,cust-0395,Instagram,camp-studio,2026-06-06,asset-01
session-00396,cust-0396,DM,camp-private,2026-08-29,asset-03
session-00397,cust-0397,Instagram,camp-studio,2026-07-02,asset-01
session-00398,cust-0398,Paid Social,camp-move,2026-06-15,asset-02
session-00399,cust-0399,Paid Social,camp-move,2026-09-11,asset-02
session-00400,cust-0400,Paid Social,camp-move,2026-06-24,asset-02
session-00401,cust-0353,Paid Social,camp-move,2026-07-17,asset-02
session-00402,cust-0314,Organic,organic,2026-07-03,asset-04
session-00403,cust-0397,Paid Social,camp-move,2026-09-18,asset-02
session-00404,cust-0359,Instagram,camp-studio,2026-08-30,asset-01
session-00405,cust-0200,Instagram,camp-studio,2026-08-11,asset-01
session-00406,cust-0190,DM,camp-private,2025-11-18,asset-03
session-00407,cust-0306,Organic,organic,2026-04-04,asset-04
session-00408,cust-0266,Instagram,camp-studio,2026-04-20,asset-01
session-00409,cust-0185,DM,camp-private,2026-01-22,asset-03
session-00410,cust-0287,Instagram,camp-studio,2026-07-16,asset-01
session-00411,cust-0055,Instagram,camp-studio,2026-07-03,asset-01
session-00412,cust-0227,Paid Social,camp-move,2026-03-31,asset-02
session-00413,cust-0301,Paid Social,camp-move,2026-05-26,asset-02
session-00414,cust-0162,Organic,organic,2026-04-16,asset-04
session-00415,cust-0384,Instagram,camp-studio,2026-03-16,asset-01
session-00416,cust-0350,Paid Social,camp-move,2025-12-27,asset-02
session-00417,cust-0183,Organic,organic,2026-06-25,asset-04
session-00418,cust-0278,Organic,organic,2025-12-29,asset-04
session-00419,cust-0392,Instagram,camp-studio,2026-08-01,asset-01
session-00420,cust-0358,Paid Social,camp-move,2026-06-09,asset-02
session-00421,cust-0138,Organic,organic,2026-05-21,asset-04
session-00422,cust-0144,Instagram,camp-studio,2026-09-05,asset-01
session-00423,cust-0196,Instagram,camp-studio,2026-07-09,asset-01
session-00424,cust-0162,Instagram,camp-studio,2026-05-26,asset-01
session-00425,cust-0134,Paid Social,camp-move,2026-03-21,asset-02
session-00426,cust-0146,Instagram,camp-studio,2026-07-24,asset-01
session-00427,cust-0176,Instagram,camp-studio,2026-08-15,asset-01
