id,customer_id,channel,campaign_id,date,delivered_date,status
ord-00029,cust-0029,Organic,organic,2026-08-20,2026-08-24,delivered
ord-00030,cust-0030,DM,camp-private,2026-09-16,2026-09-18,delivered
ord-00031,cust-0031,Paid Social,camp-move,2026-06-28,,shipped
ord-00032,cust-0032,DM,camp-private,2026-05-15,2026-05-19,delivered
ord-00033,cust-0033,Instagram,camp-studio,2026-07-22,,paid
ord-00034,cust-0034,DM,camp-private,2026-07-10,2026-07-12,delivered
ord-00035,cust-0035,Instagram,camp-studio,2026-07-20,,pending
ord-00036,cust-0036,Organic,organic,2026-05-09,2026-05-12,delivered
ord-00037,cust-0037,Instagram,camp-studio,2026-05-12,2026-05-14,delivered
ord-00038,cust-0038,DM,camp-private,2026-01-10,2026-01-14,delivered
ord-00039,cust-0039,Instagram,camp-studio,2026-09-14,2026-09-18,delivered
ord-00040,cust-0040,Paid Social,camp-move,2026-04-26,2026-05-01,delivered
ord-00041,cust-0041,Instagram,camp-studio,2026-09-08,2026-09-12,delivered
ord-00042,cust-0042,Instagram,camp-studio,2026-05-06,2026-05-11,delivered
ord-00043,cust-0043,Instagram,camp-studio,2025-12-10,2025-12-12,delivered
ord-00044,cust-0044,DM,camp-private,2026-01-10,,pending
ord-00045,cust-0045,Instagram,camp-studio,2026-06-27,2026-07-01,delivered
ord-00046,cust-0046,Organic,organic,2026-07-10,2026-07-15,delivered
ord-00047,cust-0047,Instagram,camp-studio,2026-05-04,2026-05-09,delivered
ord-00048,cust-0048,Organic,organic,2026-09-02,2026-09-04,delivered
ord-00049,cust-0049,Paid Social,camp-move,2025-12-20,,shipped
ord-00050,cust-0050,Paid Social,camp-move,2026-03-24,2026-03-28,delivered
ord-00051,cust-0051,DM,camp-private,2026-03-17,2026-03-19,delivered
ord-00052,cust-0052,Organic,organic,2026-07-28,,paid
ord-00053,cust-0053,Paid Social,camp-move,2026-02-16,,shipped
ord-00054,cust-0054,Organic,organic,2026-01-15,,pending
ord-00055,cust-0055,Paid Social,camp-move,2026-05-15,2026-05-20,delivered
ord-00056,cust-0056,Paid Social,camp-move,2026-07-25,,pending
ord-00057,cust-0057,Instagram,camp-studio,2026-06-08,2026-06-12,delivered
ord-00058,cust-0058,Instagram,camp-studio,2026-05-27,2026-06-01,delivered
ord-00059,cust-0059,Instagram,camp-studio,2026-04-06,,paid
ord-00060,cust-0060,Organic,organic,2026-07-01,2026-07-05,delivered
ord-00061,cust-0061,Instagram,camp-studio,2026-05-13,2026-05-16,delivered
ord-00062,cust-0062,Paid Social,camp-move,2026-08-09,2026-08-14,delivered
ord-00063,cust-0063,Organic,organic,2026-08-04,,shipped
ord-00064,cust-0064,Organic,organic,2026-03-26,2026-03-28,delivered
ord-00065,cust-0065,Organic,organic,2026-07-31,2026-08-03,delivered
ord-00066,cust-0066,Instagram,camp-studio,2026-05-15,2026-05-20,delivered
ord-00067,cust-0067,Organic,organic,2026-09-17,2026-09-21,delivered
ord-00068,cust-0068,Instagram,camp-studio,2026-05-27,2026-05-31,delivered
ord-00069,cust-0069,Paid Social,camp-move,2026-08-25,2026-08-27,delivered
ord-00070,cust-0070,Organic,organic,2026-09-05,2026-09-07,delivered
ord-00071,cust-0071,Instagram,camp-studio,2026-01-16,2026-01-20,delivered
ord-00072,cust-0072,Organic,organic,2026-05-26,2026-05-30,delivered
ord-00073,cust-0073,Organic,organic,2026-01-15,,shipped
ord-00074,cust-0074,Instagram,camp-studio,2026-04-12,2026-04-17,delivered
ord-00075,cust-0075,Instagram,camp-studio,2026-05-21,,pending
ord-00076,cust-0076,Organic,organic,2026-05-17,2026-05-22,delivered
ord-00077,cust-0077,Paid Social,camp-move,2026-05-12,,pending
ord-00078,cust-0078,DM,camp-private,2026-05-30,,pending
ord-00079,cust-0079,Paid Social,camp-move,2026-08-13,,cancelled
ord-00080,cust-0080,DM,camp-private,2026-08-15,2026-08-19,delivered
ord-00081,cust-0081,Instagram,camp-studio,2026-07-24,,paid
ord-00082,cust-0082,DM,camp-private,2026-03-30,2026-04-03,delivered
ord-00083,cust-0083,Paid Social,camp-move,2026-05-11,,pending
ord-00084,cust-0084,Paid Social,camp-move,2026-04-15,2026-04-20,delivered
ord-00085,cust-0085,Organic,organic,2026-08-31,2026-09-05,delivered
ord-00086,cust-0086,DM,camp-private,2026-07-01,2026-07-06,delivered
ord-00087,cust-0087,Instagram,camp-studio,2026-09-16,2026-09-21,delivered
ord-00088,cust-0088,Paid Social,camp-move,2026-09-06,,pending
ord-00089,cust-0089,Instagram,camp-studio,2026-08-19,2026-08-22,delivered
ord-00090,cust-0090,Instagram,camp-studio,2026-03-29,2026-04-01,delivered
ord-00091,cust-0091,Paid Social,camp-move,2026-08-17,2026-08-21,delivered
ord-00092,cust-0092,Instagram,camp-studio,2026-08-13,2026-08-15,delivered
ord-00093,cust-0093,DM,camp-private,2026-07-09,,pending
ord-00094,cust-0094,Instagram,camp-studio,2026-06-22,,shipped
ord-00095,cust-0095,Instagram,camp-studio,2026-07-25,2026-07-28,delivered
ord-00096,cust-0096,DM,camp-private,2026-06-03,2026-06-08,delivered
ord-00097,cust-0097,Paid Social,camp-move,2026-05-16,,shipped
ord-00098,cust-0098,Paid Social,camp-move,2026-07-12,,shipped
ord-00099,cust-0099,Paid Social,camp-move,2026-02-07,2026-02-12,delivered
ord-00100,cust-0100,Instagram,camp-studio,2026-08-15,2026-08-17,delivered
ord-00101,cust-0101,Organic,organic,2026-09-09,2026-09-12,delivered
ord-00102,cust-0102,Organic,organic,2026-07-07,2026-07-11,delivered
ord-00103,cust-0103,DM,camp-private,2026-05-06,,paid
ord-00104,cust-0104,Paid Social,camp-move,2026-09-07,2026-09-09,delivered
ord-00105,cust-0105,Paid Social,camp-move,2026-05-23,,cancelled
ord-00106,cust-0106,Paid Social,camp-move,2025-11-04,2025-11-07,delivered
ord-00107,cust-0107,Paid Social,camp-move,2026-03-27,2026-04-01,delivered
ord-00108,cust-0108,Instagram,camp-studio,2025-10-25,2025-10-30,delivered
ord-00109,cust-0109,DM,camp-private,2026-08-23,2026-08-25,delivered
ord-00110,cust-0110,DM,camp-private,2026-04-15,2026-04-19,delivered
ord-00111,cust-0111,Organic,organic,2026-02-20,2026-02-22,delivered
ord-00112,cust-0112,Instagram,camp-studio,2025-12-09,,paid
ord-00113,cust-0113,Paid Social,camp-move,2026-04-20,,shipped
ord-00114,cust-0114,Paid Social,camp-move,2026-07-09,2026-07-14,delivered
ord-00115,cust-0115,Paid Social,camp-move,2026-04-05,2026-04-08,delivered
ord-00116,cust-0116,Organic,organic,2026-05-26,2026-05-28,delivered
ord-00117,cust-0117,Instagram,camp-studio,2026-08-23,,pending
ord-00118,cust-0118,Instagram,camp-studio,2026-06-04,,cancelled
ord-00119,cust-0119,DM,camp-private,2026-05-21,2026-05-26,delivered
ord-00120,cust-0120,Paid Social,camp-move,2026-08-17,,shipped
ord-00121,cust-0121,DM,camp-private,2026-05-14,2026-05-17,delivered
ord-00122,cust-0122,Organic,organic,2025-12-04,2025-12-06,delivered
ord-00123,cust-0123,DM,camp-private,2026-08-24,,paid
ord-00124,cust-0124,Instagram,camp-studio,2026-08-17,,paid
ord-00125,cust-0125,DM,camp-private,2026-01-26,,pending
ord-00126,cust-0126,Organic,organic,2026-07-06,2026-07-10,delivered
ord-00127,cust-0127,Paid Social,camp-move,2026-06-24,2026-06-29,delivered
ord-00128,cust-0128,Organic,organic,2026-03-29,2026-03-31,delivered
ord-00129,cust-0129,Instagram,camp-studio,2026-07-18,,shipped
ord-00130,cust-0130,DM,camp-private,2026-04-29,2026-05-01,delivered
ord-00131,cust-0131,Organic,organic,2026-09-04,2026-09-06,delivered
ord-00132,cust-0132,Paid Social,camp-move,2026-04-14,,shipped
ord-00133,cust-0133,Organic,organic,2026-03-26,2026-03-29,delivered
ord-00134,cust-0134,DM,camp-private,2026-02-02,2026-02-06,delivered
ord-00135,cust-0135,Paid Social,camp-move,2025-12-01,,pending
ord-00136,cust-0136,Paid Social,camp-move,2026-06-09,2026-06-13,delivered
ord-00137,cust-0137,Paid Social,camp-move,2026-06-01,2026-06-04,delivered
ord-00138,cust-0138,Paid Social,camp-move,2026-05-25,,shipped
ord-00139,cust-0139,DM,camp-private,2026-05-18,2026-05-21,delivered
ord-00140,cust-0140,Instagram,camp-studio,2026-06-14,2026-06-18,delivered
ord-00141,cust-0141,Instagram,camp-studio,2026-01-28,,cancelled
ord-00142,cust-0142,DM,camp-private,2026-08-25,,pending
ord-00143,cust-0143,Organic,organic,2026-01-07,2026-01-09,delivered
ord-00144,cust-0144,Instagram,camp-studio,2026-09-05,,paid
ord-00145,cust-0145,Organic,organic,2026-04-26,2026-04-30,delivered
ord-00146,cust-0146,Instagram,camp-studio,2026-07-24,2026-07-29,delivered
ord-00147,cust-0147,Instagram,camp-studio,2026-03-01,2026-03-06,delivered
ord-00148,cust-0148,Paid Social,camp-move,2026-06-07,2026-06-11,delivered
ord-00149,cust-0149,Organic,organic,2026-04-05,2026-04-10,delivered
ord-00150,cust-0150,DM,camp-private,2026-08-07,2026-08-09,delivered
ord-00151,cust-0151,Instagram,camp-studio,2026-06-05,2026-06-09,delivered
ord-00152,cust-0152,Instagram,camp-studio,2026-06-19,2026-06-22,delivered
ord-00153,cust-0153,Instagram,camp-studio,2026-07-07,,paid
ord-00154,cust-0154,Instagram,camp-studio,2026-07-02,,shipped
ord-00155,cust-0155,Instagram,camp-studio,2026-01-24,,pending
ord-00156,cust-0156,Organic,organic,2026-09-05,,shipped
ord-00157,cust-0157,Paid Social,camp-move,2025-12-19,2025-12-23,delivered
ord-00158,cust-0158,DM,camp-private,2026-09-06,2026-09-09,delivered
ord-00159,cust-0159,Organic,organic,2026-07-05,,paid
ord-00160,cust-0160,Organic,organic,2026-02-16,2026-02-21,delivered
ord-00161,cust-0161,Organic,organic,2026-08-16,,shipped
ord-00162,cust-0162,Instagram,camp-studio,2026-03-15,2026-03-20,delivered
ord-00163,cust-0163,Instagram,camp-studio,2026-02-16,,shipped
ord-00164,cust-0164,Organic,organic,2026-02-19,2026-02-22,delivered
ord-00165,cust-0165,Organic,organic,2026-05-02,2026-05-04,delivered
ord-00166,cust-0166,Organic,organic,2026-06-01,2026-06-06,delivered
ord-00167,cust-0167,Organic,organic,2026-05-12,2026-05-15,delivered
ord-00168,cust-0168,Instagram,camp-studio,2026-05-24,2026-05-28,delivered
ord-00169,cust-0169,Instagram,camp-studio,2026-09-11,,shipped
ord-00170,cust-0170,Instagram,camp-studio,2026-09-10,,pending
ord-00171,cust-0171,Organic,organic,2026-05-21,,paid
ord-00172,cust-0172,Instagram,camp-studio,2026-06-08,2026-06-11,delivered
ord-00173,cust-0173,Paid Social,camp-move,2025-11-15,2025-11-20,delivered
ord-00174,cust-0174,Organic,organic,2026-08-08,,shipped
ord-00175,cust-0175,Organic,organic,2026-02-21,2026-02-26,delivered
ord-00176,cust-0176,Paid Social,camp-move,2026-08-15,,pending
ord-00177,cust-0177,DM,camp-private,2026-06-08,2026-06-10,delivered
ord-00178,cust-0178,Paid Social,camp-move,2026-07-30,,paid
ord-00179,cust-0179,DM,camp-private,2026-04-24,,pending
ord-00180,cust-0180,DM,camp-private,2026-05-08,,shipped
ord-00181,cust-0181,Instagram,camp-studio,2026-04-01,,pending
ord-00182,cust-0182,Organic,organic,2025-12-13,2025-12-18,delivered
ord-00183,cust-0183,Paid Social,camp-move,2026-08-31,2026-09-05,delivered
ord-00184,cust-0184,Organic,organic,2026-06-20,2026-06-25,delivered
ord-00185,cust-0185,Instagram,camp-studio,2026-08-19,2026-08-23,delivered
ord-00186,cust-0186,Organic,organic,2026-07-25,2026-07-28,delivered
ord-00187,cust-0187,Instagram,camp-studio,2026-03-06,2026-03-08,delivered
ord-00188,cust-0188,Paid Social,camp-move,2026-05-30,2026-06-03,delivered
ord-00189,cust-0189,Organic,organic,2026-03-04,2026-03-09,delivered
ord-00190,cust-0190,Instagram,camp-studio,2026-03-09,2026-03-12,delivered
ord-00191,cust-0191,Organic,organic,2026-05-30,,shipped
ord-00192,cust-0192,Paid Social,camp-move,2026-06-28,,pending
ord-00193,cust-0193,Organic,organic,2026-01-22,,shipped
ord-00194,cust-0194,Instagram,camp-studio,2025-10-21,2025-10-23,delivered
ord-00195,cust-0195,Instagram,camp-studio,2026-01-23,2026-01-25,delivered
ord-00196,cust-0196,Instagram,camp-studio,2026-07-09,2026-07-12,delivered
ord-00197,cust-0197,Organic,organic,2026-01-24,2026-01-26,delivered
ord-00198,cust-0198,Paid Social,camp-move,2026-04-04,2026-04-06,delivered
ord-00199,cust-0199,Organic,organic,2026-07-08,,cancelled
ord-00200,cust-0200,Organic,organic,2026-09-11,2026-09-13,delivered
ord-00201,cust-0201,Instagram,camp-studio,2026-06-21,,paid
ord-00202,cust-0202,Organic,organic,2026-07-09,2026-07-13,delivered
ord-00203,cust-0203,Organic,organic,2026-01-18,2026-01-23,delivered
ord-00204,cust-0204,Paid Social,camp-move,2026-08-25,2026-08-28,delivered
ord-00205,cust-0205,DM,camp-private,2026-05-23,2026-05-26,delivered
ord-00206,cust-0206,Paid Social,camp-move,2026-06-30,2026-07-05,delivered
ord-00207,cust-0207,Organic,organic,2026-04-08,,shipped
ord-00208,cust-0208,Paid Social,camp-move,2026-09-07,2026-09-11,delivered
ord-00209,cust-0209,DM,camp-private,2026-06-19,2026-06-22,delivered
ord-00210,cust-0210,Paid Social,camp-move,2026-08-05,,pending
ord-00211,cust-0211,Instagram,camp-studio,2026-09-12,2026-09-17,delivered
ord-00212,cust-0212,Paid Social,camp-move,2026-03-07,,paid
ord-00213,cust-0213,Organic,organic,2026-06-25,2026-06-29,delivered
ord-00214,cust-0214,Instagram,camp-studio,2026-09-10,2026-09-13,delivered
ord-00215,cust-0215,DM,camp-private,2026-05-25,2026-05-30,delivered
ord-00216,cust-0216,DM,camp-private,2026-06-23,,pending
ord-00217,cust-0217,Instagram,camp-studio,2026-04-30,2026-05-03,delivered
ord-00218,cust-0218,Organic,organic,2026-08-31,2026-09-03,delivered
ord-00219,cust-0219,Instagram,camp-studio,2026-08-20,,paid
ord-00220,cust-0220,Instagram,camp-studio,2026-05-11,2026-05-13,delivered
ord-00221,cust-0221,Instagram,camp-studio,2026-07-01,2026-07-06,delivered
ord-00222,cust-0222,Paid Social,camp-move,2026-06-13,2026-06-15,delivered
ord-00223,cust-0223,Organic,organic,2026-06-19,2026-06-24,delivered
ord-00224,cust-0224,Instagram,camp-studio,2026-08-04,,shipped
ord-00225,cust-0225,Instagram,camp-studio,2026-03-01,2026-03-04,delivered
ord-00226,cust-0226,DM,camp-private,2026-06-24,,shipped
ord-00227,cust-0227,Organic,organic,2026-03-02,2026-03-06,delivered
ord-00228,cust-0228,DM,camp-private,2026-06-07,2026-06-12,delivered
ord-00229,cust-0229,Paid Social,camp-move,2026-01-15,2026-01-20,delivered
ord-00230,cust-0230,Instagram,camp-studio,2026-07-20,,paid
ord-00231,cust-0231,Organic,organic,2026-07-02,2026-07-05,delivered
ord-00232,cust-0232,DM,camp-private,2026-07-20,,pending
ord-00233,cust-0233,Paid Social,camp-move,2026-07-20,2026-07-23,delivered
ord-00234,cust-0234,Organic,organic,2026-04-20,,cancelled
ord-00235,cust-0235,Organic,organic,2026-03-05,,shipped
ord-00236,cust-0236,Instagram,camp-studio,2026-05-11,,paid
ord-00237,cust-0237,Paid Social,camp-move,2026-09-19,,pending
ord-00238,cust-0238,Paid Social,camp-move,2026-08-11,,cancelled
ord-00239,cust-0239,Instagram,camp-studio,2026-07-14,,paid
ord-00240,cust-0240,Instagram,camp-studio,2026-04-29,,shipped
ord-00241,cust-0241,Instagram,camp-studio,2026-08-20,2026-08-24,delivered
ord-00242,cust-0242,Instagram,camp-studio,2025-11-09,2025-11-12,delivered
ord-00243,cust-0243,Organic,organic,2026-03-16,,cancelled
ord-00244,cust-0244,Instagram,camp-studio,2025-11-13,2025-11-17,delivered
ord-00245,cust-0245,DM,camp-private,2026-07-31,2026-08-03,delivered
ord-00246,cust-0246,Instagram,camp-studio,2026-01-21,2026-01-23,delivered
ord-00247,cust-0247,Instagram,camp-studio,2026-02-11,2026-02-15,delivered
ord-00248,cust-0248,Paid Social,camp-move,2026-08-30,,shipped
ord-00249,cust-0249,Organic,organic,2026-05-28,,pending
ord-00250,cust-0250,Instagram,camp-studio,2026-01-09,2026-01-13,delivered
ord-00251,cust-0251,Instagram,camp-studio,2026-06-25,2026-06-28,delivered
ord-00252,cust-0252,DM,camp-private,2026-08-20,2026-08-25,delivered
ord-00253,cust-0253,Instagram,camp-studio,2026-07-11,2026-07-13,delivered
ord-00254,cust-0254,Paid Social,camp-move,2026-07-14,,paid
ord-00255,cust-0255,DM,camp-private,2026-05-22,2026-05-24,delivered
ord-00256,cust-0256,Paid Social,camp-move,2026-06-10,2026-06-13,delivered
ord-00257,cust-0257,Organic,organic,2026-05-22,2026-05-24,delivered
ord-00258,cust-0258,Instagram,camp-studio,2026-04-18,,pending
ord-00259,cust-0259,Organic,organic,2026-06-13,,cancelled
ord-00260,cust-0260,Organic,organic,2026-07-07,,shipped
ord-00261,cust-0261,Instagram,camp-studio,2026-04-19,2026-04-21,delivered
ord-00262,cust-0262,Instagram,camp-studio,2026-08-25,,cancelled
ord-00263,cust-0263,Paid Social,camp-move,2026-04-30,,shipped
ord-00264,cust-0264,Paid Social,camp-move,2026-03-22,,cancelled
ord-00265,cust-0265,Organic,organic,2026-04-26,2026-04-28,delivered
ord-00266,cust-0266,Organic,organic,2026-04-20,2026-04-24,delivered
ord-00267,cust-0267,Instagram,camp-studio,2026-05-19,,shipped
ord-00268,cust-0268,Instagram,camp-studio,2025-12-20,2025-12-25,delivered
ord-00269,cust-0269,Instagram,camp-studio,2026-09-01,2026-09-04,delivered
ord-00270,cust-0270,Instagram,camp-studio,2026-08-22,2026-08-27,delivered
ord-00271,cust-0271,Instagram,camp-studio,2026-08-18,,pending
ord-00272,cust-0272,Instagram,camp-studio,2026-04-28,2026-05-01,delivered
ord-00273,cust-0273,Paid Social,camp-move,2026-06-30,2026-07-05,delivered
ord-00274,cust-0274,Instagram,camp-studio,2026-05-28,2026-06-01,delivered
ord-00275,cust-0275,Paid Social,camp-move,2026-05-21,,shipped
ord-00276,cust-0276,Paid Social,camp-move,2026-02-05,,paid
ord-00277,cust-0277,Instagram,camp-studio,2026-04-08,,paid
ord-00278,cust-0278,Instagram,camp-studio,2026-07-21,,shipped
ord-00279,cust-0279,Paid Social,camp-move,2025-12-28,2025-12-31,delivered
ord-00280,cust-0280,Instagram,camp-studio,2026-08-02,2026-08-05,delivered
ord-00281,cust-0281,DM,camp-private,2026-07-19,2026-07-21,delivered
ord-00282,cust-0282,Paid Social,camp-move,2026-08-27,2026-08-31,delivered
ord-00283,cust-0283,DM,camp-private,2026-07-06,,pending
ord-00284,cust-0284,Instagram,camp-studio,2026-09-09,2026-09-11,delivered
ord-00285,cust-0285,Instagram,camp-studio,2026-07-27,,paid
ord-00286,cust-0286,Instagram,camp-studio,2026-05-16,,cancelled
ord-00287,cust-0287,Instagram,camp-studio,2026-01-27,2026-01-31,delivered
ord-00288,cust-0288,Organic,organic,2026-04-24,,pending
ord-00289,cust-0289,Organic,organic,2026-05-25,2026-05-28,delivered
ord-00290,cust-0290,Instagram,camp-studio,2026-06-30,2026-07-02,delivered
ord-00291,cust-0291,Paid Social,camp-move,2025-12-28,2026-01-01,delivered
ord-00292,cust-0292,Organic,organic,2026-06-30,2026-07-04,delivered
ord-00293,cust-0293,Instagram,camp-studio,2026-08-21,2026-08-26,delivered
ord-00294,cust-0294,Paid Social,camp-move,2026-06-25,2026-06-29,delivered
ord-00295,cust-0295,DM,camp-private,2026-09-13,2026-09-17,delivered
ord-00296,cust-0296,Organic,organic,2026-04-08,2026-04-13,delivered
ord-00297,cust-0297,Paid Social,camp-move,2026-01-21,,pending
ord-00298,cust-0298,Instagram,camp-studio,2026-05-09,,cancelled
ord-00299,cust-0299,Paid Social,camp-move,2026-09-06,,cancelled
ord-00300,cust-0300,Instagram,camp-studio,2026-05-28,2026-06-01,delivered
ord-00301,cust-0301,Organic,organic,2026-06-16,2026-06-19,delivered
ord-00302,cust-0302,Organic,organic,2026-03-17,2026-03-22,delivered
ord-00303,cust-0303,DM,camp-private,2026-08-04,,shipped
ord-00304,cust-0304,Instagram,camp-studio,2026-02-24,,paid
ord-00305,cust-0305,Organic,organic,2026-05-06,2026-05-11,delivered
ord-00306,cust-0306,DM,camp-private,2026-04-18,,shipped
ord-00307,cust-0307,Paid Social,camp-move,2026-09-20,,paid
ord-00308,cust-0308,Organic,organic,2026-04-09,2026-04-11,delivered
ord-00309,cust-0309,DM,camp-private,2026-05-22,2026-05-25,delivered
ord-00310,cust-0310,Instagram,camp-studio,2026-05-12,2026-05-15,delivered
ord-00311,cust-0311,Paid Social,camp-move,2026-04-19,,pending
ord-00312,cust-0312,Organic,organic,2026-07-26,2026-07-30,delivered
ord-00313,cust-0313,Paid Social,camp-move,2026-09-13,2026-09-17,delivered
ord-00314,cust-0314,Organic,organic,2026-07-03,,cancelled
ord-00315,cust-0315,Instagram,camp-studio,2026-08-26,,cancelled
ord-00316,cust-0316,Instagram,camp-studio,2026-08-21,2026-08-24,delivered
ord-00317,cust-0317,DM,camp-private,2026-03-04,,shipped
ord-00318,cust-0318,DM,camp-private,2025-12-28,,cancelled
ord-00319,cust-0319,Organic,organic,2026-05-23,,shipped
ord-00320,cust-0320,Instagram,camp-studio,2026-01-11,2026-01-15,delivered
ord-00321,cust-0321,Instagram,camp-studio,2026-08-23,2026-08-27,delivered
ord-00322,cust-0322,Organic,organic,2026-07-15,2026-07-17,delivered
ord-00323,cust-0323,Paid Social,camp-move,2026-06-26,,pending
ord-00324,cust-0324,Organic,organic,2025-12-23,2025-12-26,delivered
ord-00325,cust-0325,Paid Social,camp-move,2026-08-12,2026-08-17,delivered
ord-00326,cust-0326,Instagram,camp-studio,2026-09-03,,shipped
ord-00327,cust-0327,Instagram,camp-studio,2025-10-17,2025-10-21,delivered
ord-00328,cust-0328,Instagram,camp-studio,2026-07-18,2026-07-23,delivered
ord-00329,cust-0329,Organic,organic,2026-08-21,2026-08-25,delivered
ord-00330,cust-0330,Organic,organic,2026-08-22,2026-08-24,delivered
ord-00331,cust-0331,DM,camp-private,2026-06-20,2026-06-23,delivered
ord-00332,cust-0332,Organic,organic,2026-01-02,,paid
ord-00333,cust-0333,Paid Social,camp-move,2026-06-29,2026-07-04,delivered
ord-00334,cust-0334,DM,camp-private,2026-06-09,2026-06-13,delivered
ord-00335,cust-0335,Organic,organic,2025-11-12,,pending
ord-00336,cust-0336,Organic,organic,2025-12-26,,pending
ord-00337,cust-0337,Instagram,camp-studio,2026-03-16,2026-03-21,delivered
ord-00338,cust-0338,Organic,organic,2026-07-23,,paid
ord-00339,cust-0339,Organic,organic,2026-09-07,,shipped
ord-00340,cust-0340,Instagram,camp-studio,2026-09-02,2026-09-06,delivered
ord-00341,cust-0341,DM,camp-private,2026-09-15,2026-09-18,delivered
ord-00342,cust-0342,Instagram,camp-studio,2026-04-16,2026-04-19,delivered
ord-00343,cust-0343,Paid Social,camp-move,2026-07-12,,paid
ord-00344,cust-0344,Paid Social,camp-move,2026-07-10,2026-07-12,delivered
ord-00345,cust-0345,Paid Social,camp-move,2026-06-09,,shipped
ord-00346,cust-0346,Paid Social,camp-move,2026-07-15,2026-07-20,delivered
ord-00347,cust-0347,Instagram,camp-studio,2026-08-25,2026-08-29,delivered
ord-00348,cust-0348,Instagram,camp-studio,2026-06-01,,shipped
ord-00349,cust-0349,Instagram,camp-studio,2026-08-05,,paid
ord-00350,cust-0350,Paid Social,camp-move,2026-05-10,2026-05-13,delivered
ord-00351,cust-0351,Paid Social,camp-move,2026-07-18,2026-07-21,delivered
ord-00352,cust-0352,DM,camp-private,2026-08-24,2026-08-29,delivered
ord-00353,cust-0353,Paid Social,camp-move,2026-07-17,,shipped
ord-00354,cust-0354,DM,camp-private,2026-07-08,2026-07-12,delivered
ord-00355,cust-0355,Paid Social,camp-move,2026-06-16,,shipped
ord-00356,cust-0356,Instagram,camp-studio,2026-06-22,,paid
ord-00357,cust-0357,Instagram,camp-studio,2026-08-31,2026-09-03,delivered
ord-00358,cust-0358,Instagram,camp-studio,2026-02-20,2026-02-24,delivered
ord-00359,cust-0359,Paid Social,camp-move,2026-08-30,,cancelled
ord-00360,cust-0360,Instagram,camp-studio,2026-03-01,,pending
ord-00361,cust-0361,Paid Social,camp-move,2026-08-19,2026-08-22,delivered
ord-00362,cust-0362,Instagram,camp-studio,2026-09-06,,cancelled
ord-00363,cust-0363,Instagram,camp-studio,2026-04-12,2026-04-16,delivered
ord-00364,cust-0364,Instagram,camp-studio,2026-08-26,,paid
ord-00365,cust-0365,Paid Social,camp-move,2026-08-31,,paid
ord-00366,cust-0366,Instagram,camp-studio,2026-08-18,,shipped
ord-00367,cust-0367,Instagram,camp-studio,2026-08-30,2026-09-02,delivered
ord-00368,cust-0368,Paid Social,camp-move,2026-05-14,2026-05-18,delivered
ord-00369,cust-0369,Instagram,camp-studio,2026-03-02,2026-03-04,delivered
ord-00370,cust-0370,Instagram,camp-studio,2025-11-14,,paid
ord-00371,cust-0371,DM,camp-private,2025-10-28,2025-11-02,delivered
ord-00372,cust-0372,Paid Social,camp-move,2026-05-14,2026-05-17,delivered
ord-00373,cust-0373,Instagram,camp-studio,2026-08-06,,shipped
ord-00374,cust-0374,Instagram,camp-studio,2026-07-18,,paid
ord-00375,cust-0375,Instagram,camp-studio,2026-08-26,2026-08-29,delivered
