id,order_id,variant_id,quantity,unit_price_cents,discount_cents,unit_cost_cents
item-000042,ord-00029,var-sock-sage-s,3,11900,2406,4200
item-000043,ord-00029,var-top-sand-s,3,21900,2226,8200
item-000044,ord-00030,var-sock-ivory-s,3,11900,2669,4200
item-000045,ord-00031,var-legging-black-s,2,29900,4638,11200
item-000046,ord-00031,var-sock-sage-l,3,11900,2942,4200
item-000047,ord-00032,var-short-navy-s,2,18900,1986,7100
item-000048,ord-00033,var-sock-lilac-l,1,11900,863,4200
item-000049,ord-00034,var-sock-coral-s,1,11900,533,4200
item-000050,ord-00035,var-sock-black-s,3,11900,3083,4200
item-000051,ord-00035,var-sock-lilac-m,2,11900,1400,4200
item-000052,ord-00035,var-sock-coral-s,3,11900,2492,4200
item-000053,ord-00036,var-sock-sage-l,2,11900,1398,4200
item-000054,ord-00036,var-sock-coral-l,2,11900,1062,4200
item-000055,ord-00037,var-sock-coral-l,3,11900,1176,4200
item-000056,ord-00038,var-top-black-s,1,21900,991,8200
item-000057,ord-00039,var-sock-sage-s,3,11900,3073,4200
item-000058,ord-00039,var-short-navy-s,2,18900,1027,7100
item-000059,ord-00040,var-legging-olive-l,2,29900,1673,11200
item-000060,ord-00040,var-sock-coral-s,1,11900,718,4200
item-000061,ord-00041,var-sock-coral-l,2,11900,1486,4200
item-000062,ord-00041,var-legging-olive-m,3,29900,4182,11200
item-000063,ord-00042,var-short-black-m,3,18900,1527,7100
item-000064,ord-00042,var-short-black-l,1,18900,728,7100
item-000065,ord-00043,var-sock-coral-s,2,11900,530,4200
item-000066,ord-00043,var-sock-sage-s,3,11900,2862,4200
item-000067,ord-00044,var-short-coral-s,1,18900,940,7100
item-000068,ord-00045,var-sock-ivory-l,2,11900,1467,4200
item-000069,ord-00046,var-legging-olive-l,3,29900,5184,11200
item-000070,ord-00047,var-legging-black-s,1,29900,1077,11200
item-000071,ord-00048,var-legging-olive-l,3,29900,2046,11200
item-000072,ord-00049,var-sock-lilac-m,3,11900,2748,4200
item-000073,ord-00050,var-top-black-m,2,21900,3002,8200
item-000074,ord-00051,var-sock-sage-m,1,11900,1046,4200
item-000075,ord-00052,var-top-sand-l,2,21900,1042,8200
item-000076,ord-00052,var-sock-coral-s,3,11900,1818,4200
item-000077,ord-00052,var-sock-rose-l,3,11900,1041,4200
item-000078,ord-00053,var-short-black-m,1,18900,1317,7100
item-000079,ord-00053,var-sock-black-s,3,11900,1733,4200
item-000080,ord-00054,var-sock-ivory-m,2,11900,2029,4200
item-000081,ord-00055,var-sock-coral-l,1,11900,557,4200
item-000082,ord-00056,var-sock-lilac-m,2,11900,2032,4200
item-000083,ord-00057,var-sock-coral-s,1,11900,609,4200
item-000084,ord-00058,var-sock-rose-s,3,11900,1310,4200
item-000085,ord-00059,var-short-coral-m,2,18900,1777,7100
item-000086,ord-00059,var-short-navy-l,3,18900,5026,7100
item-000087,ord-00060,var-top-sand-l,1,21900,1244,8200
item-000088,ord-00061,var-legging-olive-l,2,29900,3804,11200
item-000089,ord-00061,var-sock-black-l,2,11900,1896,4200
item-000090,ord-00062,var-sock-black-l,1,11900,763,4200
item-000091,ord-00063,var-sock-ivory-s,2,11900,753,4200
item-000092,ord-00064,var-sock-ivory-m,1,11900,680,4200
item-000093,ord-00064,var-sock-ivory-l,1,11900,383,4200
item-000094,ord-00065,var-legging-olive-m,2,29900,3866,11200
item-000095,ord-00066,var-legging-navy-l,1,29900,1522,11200
item-000096,ord-00067,var-sock-sage-s,1,11900,1070,4200
item-000097,ord-00068,var-top-black-s,1,21900,1937,8200
item-000098,ord-00069,var-short-navy-l,2,18900,2808,7100
item-000099,ord-00069,var-sock-sage-l,1,11900,768,4200
item-000100,ord-00069,var-short-coral-s,3,18900,4180,7100
item-000101,ord-00070,var-sock-sage-l,3,11900,1042,4200
item-000102,ord-00070,var-top-black-m,3,21900,3224,8200
item-000103,ord-00071,var-short-navy-l,1,18900,717,7100
item-000104,ord-00072,var-sock-black-l,1,11900,866,4200
item-000105,ord-00073,var-short-navy-m,3,18900,2585,7100
item-000106,ord-00074,var-legging-olive-l,3,29900,4186,11200
item-000107,ord-00074,var-top-black-l,1,21900,1472,8200
item-000108,ord-00075,var-legging-olive-m,3,29900,2190,11200
item-000109,ord-00076,var-sock-black-m,2,11900,2135,4200
item-000110,ord-00076,var-sock-rose-m,3,11900,1053,4200
item-000111,ord-00077,var-sock-ivory-m,2,11900,1567,4200
item-000112,ord-00078,var-legging-olive-s,2,29900,3057,11200
item-000113,ord-00078,var-sock-sage-l,1,11900,1055,4200
item-000114,ord-00079,var-sock-rose-s,1,11900,1028,4200
item-000115,ord-00079,var-legging-black-l,3,29900,3125,11200
item-000116,ord-00080,var-sock-rose-s,1,11900,929,4200
item-000117,ord-00080,var-sock-lilac-l,2,11900,1766,4200
item-000118,ord-00081,var-sock-rose-l,1,11900,329,4200
item-000119,ord-00081,var-legging-navy-m,1,29900,1347,11200
item-000120,ord-00082,var-top-rose-m,1,21900,1581,8200
item-000121,ord-00082,var-sock-sage-l,3,11900,2197,4200
item-000122,ord-00083,var-short-coral-s,3,18900,2331,7100
item-000123,ord-00083,var-legging-black-s,1,29900,2688,11200
item-000124,ord-00084,var-sock-ivory-m,1,11900,343,4200
item-000125,ord-00084,var-short-black-s,3,18900,3960,7100
item-000126,ord-00085,var-sock-ivory-s,3,11900,2340,4200
item-000127,ord-00086,var-sock-lilac-l,2,11900,1169,4200
item-000128,ord-00086,var-sock-lilac-m,2,11900,1584,4200
item-000129,ord-00086,var-sock-ivory-m,3,11900,3020,4200
item-000130,ord-00087,var-short-navy-m,1,18900,1114,7100
item-000131,ord-00087,var-top-rose-l,3,21900,2830,8200
item-000132,ord-00088,var-sock-black-m,2,11900,1476,4200
item-000133,ord-00089,var-sock-ivory-s,2,11900,1884,4200
item-000134,ord-00090,var-short-navy-s,3,18900,3569,7100
item-000135,ord-00091,var-sock-sage-s,2,11900,1060,4200
item-000136,ord-00091,var-sock-ivory-m,3,11900,2356,4200
item-000137,ord-00092,var-sock-lilac-s,2,11900,1231,4200
item-000138,ord-00092,var-sock-sage-s,3,11900,1524,4200
item-000139,ord-00093,var-legging-black-m,3,29900,2306,11200
item-000140,ord-00093,var-sock-lilac-m,2,11900,1487,4200
item-000141,ord-00094,var-sock-sage-s,3,11900,2409,4200
item-000142,ord-00094,var-sock-black-l,1,11900,567,4200
item-000143,ord-00095,var-top-black-s,2,21900,1243,8200
item-000144,ord-00096,var-sock-coral-l,3,11900,2728,4200
item-000145,ord-00097,var-sock-black-l,2,11900,1435,4200
item-000146,ord-00098,var-sock-sage-m,1,11900,905,4200
item-000147,ord-00098,var-short-navy-l,3,18900,4784,7100
item-000148,ord-00099,var-sock-lilac-s,2,11900,1718,4200
item-000149,ord-00100,var-sock-sage-l,2,11900,1687,4200
item-000150,ord-00101,var-sock-ivory-m,3,11900,902,4200
item-000151,ord-00101,var-short-black-l,2,18900,1983,7100
item-000152,ord-00102,var-legging-navy-m,2,29900,1481,11200
item-000153,ord-00103,var-sock-black-l,2,11900,1245,4200
item-000154,ord-00103,var-sock-sage-l,2,11900,603,4200
item-000155,ord-00103,var-legging-black-l,3,29900,5524,11200
item-000156,ord-00104,var-short-black-l,1,18900,803,7100
item-000157,ord-00105,var-short-navy-l,2,18900,3355,7100
item-000158,ord-00106,var-top-rose-m,3,21900,4118,8200
item-000159,ord-00107,var-legging-black-m,3,29900,5858,11200
item-000160,ord-00108,var-short-coral-s,3,18900,4600,7100
item-000161,ord-00108,var-sock-ivory-m,2,11900,992,4200
item-000162,ord-00109,var-sock-sage-m,1,11900,796,4200
item-000163,ord-00109,var-short-coral-l,3,18900,4755,7100
item-000164,ord-00110,var-sock-rose-s,2,11900,2054,4200
item-000165,ord-00110,var-sock-rose-m,1,11900,367,4200
item-000166,ord-00111,var-short-black-m,1,18900,1168,7100
item-000167,ord-00112,var-legging-navy-l,3,29900,4542,11200
item-000168,ord-00113,var-short-navy-s,3,18900,4244,7100
item-000169,ord-00114,var-sock-lilac-l,2,11900,1757,4200
item-000170,ord-00115,var-legging-navy-m,2,29900,1414,11200
item-000171,ord-00116,var-sock-ivory-s,2,11900,615,4200
item-000172,ord-00117,var-sock-rose-m,2,11900,1949,4200
item-000173,ord-00117,var-top-sand-m,1,21900,1045,8200
item-000174,ord-00118,var-sock-ivory-s,3,11900,2338,4200
item-000175,ord-00118,var-legging-navy-m,1,29900,1198,11200
item-000176,ord-00119,var-sock-black-l,1,11900,451,4200
item-000177,ord-00120,var-sock-sage-s,1,11900,488,4200
item-000178,ord-00120,var-sock-lilac-m,3,11900,2697,4200
item-000179,ord-00120,var-sock-ivory-s,2,11900,1470,4200
item-000180,ord-00121,var-sock-sage-l,1,11900,713,4200
item-000181,ord-00121,var-sock-black-l,3,11900,3149,4200
item-000182,ord-00122,var-sock-lilac-s,2,11900,898,4200
item-000183,ord-00122,var-sock-black-l,2,11900,877,4200
item-000184,ord-00123,var-sock-black-m,2,11900,1385,4200
item-000185,ord-00124,var-short-black-l,1,18900,1451,7100
item-000186,ord-00125,var-sock-rose-s,1,11900,500,4200
item-000187,ord-00125,var-sock-lilac-s,3,11900,1897,4200
item-000188,ord-00126,var-sock-sage-m,2,11900,683,4200
item-000189,ord-00127,var-sock-ivory-l,2,11900,1628,4200
item-000190,ord-00128,var-sock-ivory-l,3,11900,1448,4200
item-000191,ord-00129,var-top-sand-m,1,21900,1495,8200
item-000192,ord-00129,var-sock-black-m,3,11900,2888,4200
item-000193,ord-00130,var-top-black-l,3,21900,4998,8200
item-000194,ord-00130,var-legging-black-s,1,29900,2374,11200
item-000195,ord-00131,var-top-black-l,2,21900,3787,8200
item-000196,ord-00131,var-sock-ivory-m,3,11900,1838,4200
item-000197,ord-00132,var-sock-lilac-s,2,11900,1558,4200
item-000198,ord-00133,var-sock-coral-l,1,11900,456,4200
item-000199,ord-00134,var-legging-olive-s,1,29900,882,11200
item-000200,ord-00135,var-sock-sage-m,3,11900,1582,4200
item-000201,ord-00136,var-short-coral-m,3,18900,1824,7100
item-000202,ord-00137,var-sock-coral-s,1,11900,538,4200
item-000203,ord-00137,var-sock-lilac-l,3,11900,1038,4200
item-000204,ord-00137,var-legging-black-l,2,29900,2862,11200
item-000205,ord-00138,var-sock-sage-m,3,11900,899,4200
item-000206,ord-00139,var-sock-coral-m,1,11900,930,4200
item-000207,ord-00140,var-sock-coral-m,2,11900,1885,4200
item-000208,ord-00141,var-short-black-m,3,18900,1504,7100
item-000209,ord-00141,var-short-black-s,3,18900,1745,7100
item-000210,ord-00142,var-legging-black-m,1,29900,767,11200
item-000211,ord-00142,var-short-navy-s,3,18900,2184,7100
item-000212,ord-00143,var-top-black-s,3,21900,5713,8200
item-000213,ord-00144,var-sock-black-m,1,11900,604,4200
item-000214,ord-00144,var-sock-rose-s,2,11900,1486,4200
item-000215,ord-00145,var-sock-sage-l,3,11900,2117,4200
item-000216,ord-00146,var-sock-sage-s,2,11900,1915,4200
item-000217,ord-00146,var-sock-ivory-l,2,11900,2031,4200
item-000218,ord-00147,var-sock-black-s,1,11900,1025,4200
item-000219,ord-00148,var-sock-coral-s,2,11900,1370,4200
item-000220,ord-00148,var-top-sand-m,1,21900,1790,8200
item-000221,ord-00149,var-sock-sage-l,3,11900,1435,4200
item-000222,ord-00149,var-sock-lilac-l,3,11900,1413,4200
item-000223,ord-00150,var-top-black-m,3,21900,5632,8200
item-000224,ord-00150,var-legging-olive-s,3,29900,4990,11200
item-000225,ord-00151,var-sock-ivory-m,3,11900,2945,4200
item-000226,ord-00152,var-short-navy-l,2,18900,2326,7100
item-000227,ord-00152,var-sock-coral-m,3,11900,1938,4200
item-000228,ord-00153,var-top-sand-m,3,21900,2729,8200
item-000229,ord-00153,var-short-coral-m,3,18900,1239,7100
item-000230,ord-00154,var-sock-rose-m,3,11900,842,4200
item-000231,ord-00154,var-sock-coral-m,3,11900,2516,4200
item-000232,ord-00154,var-top-sand-s,1,21900,1697,8200
item-000233,ord-00155,var-sock-sage-m,2,11900,728,4200
item-000234,ord-00155,var-top-sand-m,3,21900,4878,8200
item-000235,ord-00156,var-sock-rose-s,3,11900,1526,4200
item-000236,ord-00156,var-top-rose-m,2,21900,1837,8200
item-000237,ord-00157,var-short-coral-s,3,18900,4323,7100
item-000238,ord-00158,var-sock-sage-s,2,11900,1650,4200
item-000239,ord-00158,var-top-rose-s,2,21900,2347,8200
item-000240,ord-00159,var-sock-coral-l,2,11900,1968,4200
item-000241,ord-00159,var-sock-sage-l,1,11900,479,4200
item-000242,ord-00160,var-legging-olive-s,1,29900,2330,11200
item-000243,ord-00161,var-short-black-s,1,18900,698,7100
item-000244,ord-00161,var-top-rose-m,1,21900,1415,8200
item-000245,ord-00162,var-legging-black-s,3,29900,7934,11200
item-000246,ord-00162,var-sock-coral-s,2,11900,1559,4200
item-000247,ord-00163,var-sock-rose-m,3,11900,2559,4200
item-000248,ord-00164,var-sock-lilac-s,2,11900,786,4200
item-000249,ord-00165,var-sock-lilac-l,3,11900,2071,4200
item-000250,ord-00166,var-top-black-m,1,21900,1558,8200
item-000251,ord-00166,var-short-coral-m,1,18900,396,7100
item-000252,ord-00167,var-top-sand-s,2,21900,2455,8200
item-000253,ord-00167,var-sock-ivory-s,1,11900,1055,4200
item-000254,ord-00168,var-sock-rose-l,2,11900,979,4200
item-000255,ord-00168,var-legging-black-s,2,29900,3932,11200
item-000256,ord-00169,var-sock-coral-m,3,11900,2637,4200
item-000257,ord-00170,var-legging-olive-m,1,29900,1598,11200
item-000258,ord-00170,var-sock-sage-l,2,11900,1645,4200
item-000259,ord-00171,var-short-coral-s,3,18900,4599,7100
item-000260,ord-00171,var-sock-lilac-l,3,11900,2472,4200
item-000261,ord-00171,var-sock-ivory-s,1,11900,928,4200
item-000262,ord-00172,var-sock-ivory-s,3,11900,1227,4200
item-000263,ord-00172,var-legging-black-l,3,29900,4591,11200
item-000264,ord-00173,var-sock-sage-s,3,11900,768,4200
item-000265,ord-00174,var-sock-sage-l,3,11900,873,4200
item-000266,ord-00175,var-sock-ivory-m,3,11900,3158,4200
item-000267,ord-00175,var-top-sand-m,2,21900,3920,8200
item-000268,ord-00176,var-sock-coral-l,1,11900,782,4200
item-000269,ord-00176,var-sock-ivory-l,3,11900,1696,4200
item-000270,ord-00177,var-top-sand-l,3,21900,4621,8200
item-000271,ord-00178,var-sock-rose-l,1,11900,1018,4200
item-000272,ord-00178,var-legging-navy-s,1,29900,2292,11200
item-000273,ord-00179,var-sock-black-l,1,11900,732,4200
item-000274,ord-00180,var-top-sand-s,2,21900,1594,8200
item-000275,ord-00180,var-sock-black-m,1,11900,657,4200
item-000276,ord-00181,var-sock-sage-m,1,11900,489,4200
item-000277,ord-00182,var-sock-ivory-l,3,11900,2410,4200
item-000278,ord-00182,var-sock-black-m,2,11900,2044,4200
item-000279,ord-00183,var-sock-ivory-l,3,11900,1897,4200
item-000280,ord-00183,var-top-black-s,3,21900,1977,8200
item-000281,ord-00184,var-sock-rose-m,2,11900,814,4200
item-000282,ord-00185,var-legging-olive-s,1,29900,1159,11200
item-000283,ord-00185,var-short-black-m,1,18900,1533,7100
item-000284,ord-00186,var-top-black-m,2,21900,3810,8200
item-000285,ord-00187,var-legging-olive-m,3,29900,5589,11200
item-000286,ord-00188,var-sock-coral-l,3,11900,1611,4200
item-000287,ord-00188,var-sock-coral-m,2,11900,1252,4200
item-000288,ord-00188,var-short-coral-l,2,18900,2771,7100
item-000289,ord-00189,var-short-coral-l,1,18900,399,7100
item-000290,ord-00189,var-sock-lilac-m,2,11900,729,4200
item-000291,ord-00190,var-short-coral-s,2,18900,1436,7100
item-000292,ord-00191,var-sock-sage-l,1,11900,354,4200
item-000293,ord-00192,var-legging-black-m,3,29900,2006,11200
item-000294,ord-00193,var-sock-rose-m,1,11900,827,4200
item-000295,ord-00194,var-short-black-m,2,18900,2500,7100
item-000296,ord-00195,var-top-rose-l,2,21900,928,8200
item-000297,ord-00195,var-short-coral-s,2,18900,2889,7100
item-000298,ord-00196,var-legging-olive-l,2,29900,2315,11200
item-000299,ord-00196,var-sock-sage-l,2,11900,1240,4200
item-000300,ord-00197,var-short-navy-s,1,18900,501,7100
item-000301,ord-00198,var-sock-lilac-m,3,11900,2674,4200
item-000302,ord-00199,var-legging-olive-m,1,29900,2484,11200
item-000303,ord-00200,var-legging-olive-l,3,29900,5332,11200
item-000304,ord-00201,var-sock-ivory-m,3,11900,2765,4200
item-000305,ord-00201,var-top-black-s,1,21900,1302,8200
item-000306,ord-00202,var-short-navy-m,3,18900,4008,7100
item-000307,ord-00202,var-sock-sage-l,1,11900,319,4200
item-000308,ord-00203,var-sock-rose-l,2,11900,1293,4200
item-000309,ord-00204,var-legging-black-l,3,29900,3648,11200
item-000310,ord-00205,var-legging-navy-m,3,29900,4240,11200
item-000311,ord-00205,var-sock-black-l,1,11900,1023,4200
item-000312,ord-00205,var-sock-rose-l,1,11900,348,4200
item-000313,ord-00206,var-sock-coral-l,1,11900,735,4200
item-000314,ord-00206,var-top-sand-s,1,21900,885,8200
item-000315,ord-00207,var-legging-olive-m,3,29900,5066,11200
item-000316,ord-00208,var-sock-ivory-l,2,11900,935,4200
item-000317,ord-00208,var-sock-black-l,2,11900,895,4200
item-000318,ord-00209,var-sock-black-s,2,11900,1029,4200
item-000319,ord-00210,var-sock-ivory-m,2,11900,1010,4200
item-000320,ord-00211,var-sock-coral-s,3,11900,2668,4200
item-000321,ord-00212,var-sock-rose-s,3,11900,3206,4200
item-000322,ord-00212,var-sock-coral-l,1,11900,1031,4200
item-000323,ord-00213,var-sock-lilac-m,3,11900,1961,4200
item-000324,ord-00214,var-legging-black-l,2,29900,5343,11200
item-000325,ord-00215,var-top-black-l,3,21900,5432,8200
item-000326,ord-00216,var-sock-sage-l,1,11900,776,4200
item-000327,ord-00216,var-sock-lilac-s,2,11900,2084,4200
item-000328,ord-00217,var-sock-rose-m,2,11900,1099,4200
item-000329,ord-00218,var-sock-ivory-s,2,11900,1169,4200
item-000330,ord-00218,var-legging-navy-s,3,29900,2683,11200
item-000331,ord-00219,var-sock-ivory-s,2,11900,1678,4200
item-000332,ord-00220,var-sock-ivory-s,3,11900,2713,4200
item-000333,ord-00220,var-short-coral-l,1,18900,1060,7100
item-000334,ord-00221,var-sock-ivory-l,1,11900,771,4200
item-000335,ord-00221,var-sock-black-s,3,11900,2248,4200
item-000336,ord-00222,var-sock-black-l,3,11900,968,4200
item-000337,ord-00222,var-legging-navy-l,2,29900,2560,11200
item-000338,ord-00222,var-sock-rose-l,3,11900,2869,4200
item-000339,ord-00223,var-top-black-l,2,21900,3468,8200
item-000340,ord-00224,var-short-black-s,1,18900,1267,7100
item-000341,ord-00225,var-sock-lilac-s,2,11900,1469,4200
item-000342,ord-00225,var-sock-lilac-m,1,11900,643,4200
item-000343,ord-00226,var-sock-coral-s,2,11900,709,4200
item-000344,ord-00227,var-sock-rose-s,2,11900,2081,4200
item-000345,ord-00228,var-top-rose-s,1,21900,564,8200
item-000346,ord-00228,var-sock-rose-m,2,11900,530,4200
item-000347,ord-00229,var-top-rose-s,3,21900,3663,8200
item-000348,ord-00230,var-sock-black-m,3,11900,1816,4200
item-000349,ord-00231,var-top-sand-l,2,21900,1944,8200
item-000350,ord-00231,var-sock-rose-m,1,11900,412,4200
item-000351,ord-00232,var-sock-ivory-m,1,11900,915,4200
item-000352,ord-00233,var-top-black-s,3,21900,2543,8200
item-000353,ord-00233,var-short-coral-s,1,18900,557,7100
item-000354,ord-00234,var-sock-ivory-m,1,11900,359,4200
item-000355,ord-00235,var-sock-rose-l,3,11900,1749,4200
item-000356,ord-00236,var-sock-rose-l,3,11900,3053,4200
item-000357,ord-00237,var-sock-black-l,3,11900,3143,4200
item-000358,ord-00237,var-short-coral-m,2,18900,3005,7100
item-000359,ord-00238,var-sock-sage-m,2,11900,1038,4200
item-000360,ord-00239,var-short-navy-s,1,18900,438,7100
item-000361,ord-00239,var-short-navy-l,2,18900,799,7100
item-000362,ord-00239,var-legging-navy-l,2,29900,3106,11200
item-000363,ord-00240,var-legging-navy-l,2,29900,1586,11200
item-000364,ord-00240,var-sock-black-l,2,11900,1583,4200
item-000365,ord-00241,var-top-sand-m,3,21900,1733,8200
item-000366,ord-00242,var-sock-lilac-l,1,11900,244,4200
item-000367,ord-00243,var-sock-black-l,1,11900,557,4200
item-000368,ord-00244,var-short-navy-s,1,18900,1226,7100
item-000369,ord-00244,var-legging-black-l,3,29900,5330,11200
item-000370,ord-00245,var-sock-lilac-m,3,11900,2429,4200
item-000371,ord-00246,var-sock-lilac-m,2,11900,1793,4200
item-000372,ord-00247,var-short-coral-s,2,18900,1299,7100
item-000373,ord-00248,var-sock-rose-m,2,11900,1118,4200
item-000374,ord-00248,var-sock-black-l,3,11900,2934,4200
item-000375,ord-00249,var-short-black-s,2,18900,1722,7100
item-000376,ord-00249,var-short-navy-s,2,18900,3281,7100
item-000377,ord-00250,var-short-navy-m,2,18900,2096,7100
item-000378,ord-00250,var-top-rose-m,2,21900,2174,8200
item-000379,ord-00251,var-sock-coral-m,1,11900,1049,4200
item-000380,ord-00251,var-sock-sage-m,2,11900,1453,4200
item-000381,ord-00252,var-legging-black-m,1,29900,778,11200
item-000382,ord-00253,var-short-coral-l,1,18900,536,7100
item-000383,ord-00253,var-short-coral-m,1,18900,594,7100
item-000384,ord-00254,var-sock-ivory-m,3,11900,2666,4200
item-000385,ord-00255,var-sock-coral-m,1,11900,457,4200
item-000386,ord-00255,var-short-black-l,1,18900,1034,7100
item-000387,ord-00256,var-sock-ivory-s,3,11900,2398,4200
item-000388,ord-00256,var-sock-coral-m,1,11900,274,4200
item-000389,ord-00256,var-legging-olive-m,1,29900,1585,11200
item-000390,ord-00257,var-short-coral-l,3,18900,2798,7100
item-000391,ord-00258,var-short-black-s,2,18900,1071,7100
item-000392,ord-00258,var-legging-black-m,1,29900,1065,11200
item-000393,ord-00259,var-sock-sage-s,2,11900,1021,4200
item-000394,ord-00259,var-sock-black-s,2,11900,810,4200
item-000395,ord-00260,var-sock-coral-s,1,11900,848,4200
item-000396,ord-00260,var-sock-rose-m,1,11900,243,4200
item-000397,ord-00261,var-sock-lilac-s,3,11900,2531,4200
item-000398,ord-00262,var-legging-navy-m,3,29900,3551,11200
item-000399,ord-00262,var-sock-rose-m,3,11900,1746,4200
item-000400,ord-00263,var-sock-lilac-s,1,11900,731,4200
item-000401,ord-00264,var-sock-sage-m,2,11900,1643,4200
item-000402,ord-00264,var-top-black-m,2,21900,1709,8200
item-000403,ord-00265,var-sock-lilac-l,2,11900,1153,4200
item-000404,ord-00265,var-sock-rose-s,2,11900,989,4200
item-000405,ord-00266,var-legging-black-m,1,29900,2347,11200
item-000406,ord-00267,var-sock-black-m,3,11900,1460,4200
item-000407,ord-00268,var-sock-ivory-s,2,11900,645,4200
item-000408,ord-00269,var-top-black-l,3,21900,4212,8200
item-000409,ord-00269,var-short-black-s,3,18900,2161,7100
item-000410,ord-00270,var-sock-sage-m,1,11900,273,4200
item-000411,ord-00271,var-top-rose-s,1,21900,1024,8200
item-000412,ord-00272,var-sock-ivory-m,1,11900,749,4200
item-000413,ord-00272,var-short-black-l,2,18900,2076,7100
item-000414,ord-00273,var-sock-coral-m,1,11900,763,4200
item-000415,ord-00273,var-short-navy-m,1,18900,1686,7100
item-000416,ord-00273,var-top-black-l,2,21900,2545,8200
item-000417,ord-00274,var-sock-sage-m,3,11900,1261,4200
item-000418,ord-00274,var-short-navy-s,2,18900,911,7100
item-000419,ord-00275,var-legging-navy-s,1,29900,1972,11200
item-000420,ord-00276,var-legging-olive-m,3,29900,7109,11200
item-000421,ord-00277,var-sock-sage-m,3,11900,2457,4200
item-000422,ord-00278,var-sock-rose-s,2,11900,1379,4200
item-000423,ord-00279,var-sock-coral-s,1,11900,514,4200
item-000424,ord-00280,var-top-black-m,1,21900,471,8200
item-000425,ord-00281,var-legging-black-l,2,29900,4145,11200
item-000426,ord-00282,var-short-coral-l,2,18900,2851,7100
item-000427,ord-00282,var-short-black-l,2,18900,1216,7100
item-000428,ord-00283,var-sock-ivory-l,2,11900,987,4200
item-000429,ord-00284,var-top-sand-s,3,21900,1462,8200
item-000430,ord-00285,var-legging-navy-s,2,29900,1784,11200
item-000431,ord-00286,var-legging-black-l,3,29900,6001,11200
item-000432,ord-00286,var-top-black-m,2,21900,910,8200
item-000433,ord-00287,var-legging-black-m,2,29900,3030,11200
item-000434,ord-00288,var-sock-coral-l,2,11900,644,4200
item-000435,ord-00289,var-sock-black-m,2,11900,509,4200
item-000436,ord-00289,var-sock-ivory-s,1,11900,522,4200
item-000437,ord-00290,var-top-rose-s,3,21900,1456,8200
item-000438,ord-00290,var-legging-navy-l,3,29900,7380,11200
item-000439,ord-00290,var-sock-ivory-s,2,11900,818,4200
item-000440,ord-00291,var-sock-ivory-s,1,11900,565,4200
item-000441,ord-00292,var-sock-coral-s,1,11900,318,4200
item-000442,ord-00292,var-sock-sage-s,1,11900,632,4200
item-000443,ord-00293,var-sock-coral-l,2,11900,784,4200
