id,variant_id,date,kind,quantity,reference_id
mov-opening-var-sock-coral-l,var-sock-coral-l,2025-09-22,opening,105,opening-var-sock-coral-l
mov-opening-var-sock-coral-m,var-sock-coral-m,2025-09-22,opening,94,opening-var-sock-coral-m
mov-opening-var-sock-coral-s,var-sock-coral-s,2025-09-22,opening,125,opening-var-sock-coral-s
mov-opening-var-sock-ivory-l,var-sock-ivory-l,2025-09-22,opening,128,opening-var-sock-ivory-l
mov-opening-var-sock-ivory-m,var-sock-ivory-m,2025-09-22,opening,132,opening-var-sock-ivory-m
mov-opening-var-sock-ivory-s,var-sock-ivory-s,2025-09-22,opening,132,opening-var-sock-ivory-s
mov-opening-var-sock-lilac-l,var-sock-lilac-l,2025-09-22,opening,110,opening-var-sock-lilac-l
mov-opening-var-sock-lilac-m,var-sock-lilac-m,2025-09-22,opening,112,opening-var-sock-lilac-m
mov-opening-var-sock-lilac-s,var-sock-lilac-s,2025-09-22,opening,128,opening-var-sock-lilac-s
mov-opening-var-sock-rose-l,var-sock-rose-l,2025-09-22,opening,92,opening-var-sock-rose-l
mov-opening-var-sock-rose-m,var-sock-rose-m,2025-09-22,opening,105,opening-var-sock-rose-m
mov-opening-var-sock-rose-s,var-sock-rose-s,2025-09-22,opening,121,opening-var-sock-rose-s
mov-opening-var-sock-sage-l,var-sock-sage-l,2025-09-22,opening,120,opening-var-sock-sage-l
mov-opening-var-sock-sage-m,var-sock-sage-m,2025-09-22,opening,136,opening-var-sock-sage-m
mov-opening-var-sock-sage-s,var-sock-sage-s,2025-09-22,opening,110,opening-var-sock-sage-s
mov-opening-var-top-black-l,var-top-black-l,2025-09-22,opening,82,opening-var-top-black-l
mov-opening-var-top-black-m,var-top-black-m,2025-09-22,opening,74,opening-var-top-black-m
mov-opening-var-top-black-s,var-top-black-s,2025-09-22,opening,76,opening-var-top-black-s
mov-opening-var-top-rose-l,var-top-rose-l,2025-09-22,opening,73,opening-var-top-rose-l
mov-opening-var-top-rose-m,var-top-rose-m,2025-09-22,opening,69,opening-var-top-rose-m
mov-opening-var-top-rose-s,var-top-rose-s,2025-09-22,opening,68,opening-var-top-rose-s
mov-opening-var-top-sand-l,var-top-sand-l,2025-09-22,opening,73,opening-var-top-sand-l
mov-opening-var-top-sand-m,var-top-sand-m,2025-09-22,opening,81,opening-var-top-sand-m
mov-opening-var-top-sand-s,var-top-sand-s,2025-09-22,opening,68,opening-var-top-sand-s
mov-opening-var-wrap-sand-o-s,var-wrap-sand-o-s,2025-09-22,opening,28,opening-var-wrap-sand-o-s
mov-sale-item-000001,var-short-coral-m,2025-09-23,sale,-2,item-000001
mov-sale-item-000002,var-legging-olive-l,2025-09-23,sale,-3,item-000002
mov-sale-item-000003,var-legging-black-m,2025-09-23,sale,-1,item-000003
mov-sale-item-000004,var-legging-navy-l,2025-09-23,sale,-3,item-000004
mov-sale-item-000005,var-top-rose-l,2025-09-23,sale,-1,item-000005
mov-sale-item-001018,var-sock-ivory-l,2025-09-27,sale,-2,item-001018
mov-sale-item-001019,var-short-coral-s,2025-09-27,sale,-3,item-001019
mov-return-return-00001,var-short-coral-m,2025-09-28,return,1,return-00001
mov-receipt-000001,var-sock-black-s,2025-09-29,receipt,7,po-00001
mov-receipt-000052,var-legging-navy-l,2025-09-29,receipt,11,po-00024
mov-receipt-000004,var-sock-black-m,2025-09-30,receipt,16,po-00002
mov-receipt-000054,var-legging-olive-s,2025-09-30,receipt,8,po-00025
mov-receipt-000006,var-sock-black-l,2025-10-01,receipt,19,po-00003
mov-receipt-000056,var-legging-olive-m,2025-10-01,receipt,4,po-00026
mov-receipt-000002,var-sock-black-s,2025-10-02,receipt,7,po-00001
mov-receipt-000008,var-sock-ivory-s,2025-10-02,receipt,29,po-00004
mov-receipt-000059,var-legging-olive-l,2025-10-02,receipt,14,po-00027
mov-receipt-000010,var-sock-ivory-m,2025-10-03,receipt,21,po-00005
mov-receipt-000061,var-top-black-s,2025-10-03,receipt,15,po-00028
mov-receipt-000012,var-sock-ivory-l,2025-10-04,receipt,11,po-00006
mov-receipt-000057,var-legging-olive-m,2025-10-04,receipt,5,po-00026
mov-receipt-000063,var-top-black-m,2025-10-04,receipt,10,po-00029
mov-receipt-000015,var-sock-rose-s,2025-10-05,receipt,22,po-00007
mov-receipt-000065,var-top-black-l,2025-10-05,receipt,13,po-00030
mov-receipt-000017,var-sock-rose-m,2025-10-06,receipt,22,po-00008
mov-receipt-000067,var-top-sand-s,2025-10-06,receipt,6,po-00031
mov-receipt-000013,var-sock-ivory-l,2025-10-07,receipt,12,po-00006
mov-receipt-000019,var-sock-rose-l,2025-10-07,receipt,11,po-00009
mov-receipt-000070,var-top-sand-m,2025-10-07,receipt,14,po-00032
mov-receipt-000021,var-sock-sage-s,2025-10-08,receipt,21,po-00010
mov-receipt-000072,var-top-sand-l,2025-10-08,receipt,11,po-00033
mov-receipt-000023,var-sock-sage-m,2025-10-09,receipt,12,po-00011
mov-receipt-000068,var-top-sand-s,2025-10-09,receipt,7,po-00031
mov-receipt-000074,var-top-rose-s,2025-10-09,receipt,8,po-00034
mov-receipt-000026,var-sock-sage-l,2025-10-10,receipt,25,po-00012
mov-receipt-000076,var-top-rose-m,2025-10-10,receipt,14,po-00035
mov-receipt-000028,var-sock-lilac-s,2025-10-11,receipt,21,po-00013
mov-receipt-000078,var-top-rose-l,2025-10-11,receipt,6,po-00036
mov-sale-item-001114,var-short-navy-s,2025-10-11,sale,-3,item-001114
mov-sale-item-001115,var-sock-ivory-m,2025-10-11,sale,-3,item-001115
mov-receipt-000024,var-sock-sage-m,2025-10-12,receipt,13,po-00011
mov-receipt-000030,var-sock-lilac-m,2025-10-12,receipt,19,po-00014
mov-receipt-000081,var-short-black-s,2025-10-12,receipt,8,po-00037
mov-receipt-000032,var-sock-lilac-l,2025-10-13,receipt,20,po-00015
mov-receipt-000083,var-short-black-m,2025-10-13,receipt,14,po-00038
mov-receipt-000034,var-sock-coral-s,2025-10-14,receipt,12,po-00016
mov-receipt-000079,var-top-rose-l,2025-10-14,receipt,7,po-00036
mov-receipt-000085,var-short-black-l,2025-10-14,receipt,5,po-00039
mov-receipt-000037,var-sock-coral-m,2025-10-15,receipt,15,po-00017
mov-receipt-000087,var-short-coral-s,2025-10-15,receipt,11,po-00040
mov-receipt-000039,var-sock-coral-l,2025-10-16,receipt,15,po-00018
mov-receipt-000089,var-short-coral-m,2025-10-16,receipt,4,po-00041
mov-receipt-000035,var-sock-coral-s,2025-10-17,receipt,13,po-00016
mov-receipt-000041,var-legging-black-s,2025-10-17,receipt,8,po-00019
mov-receipt-000092,var-short-coral-l,2025-10-17,receipt,11,po-00042
mov-sale-item-000486,var-legging-navy-m,2025-10-17,sale,-2,item-000486
mov-receipt-000043,var-legging-black-m,2025-10-18,receipt,14,po-00020
mov-receipt-000094,var-short-navy-s,2025-10-18,receipt,12,po-00043
mov-receipt-000045,var-legging-black-l,2025-10-19,receipt,4,po-00021
mov-receipt-000090,var-short-coral-m,2025-10-19,receipt,5,po-00041
mov-receipt-000096,var-short-navy-m,2025-10-19,receipt,13,po-00044
mov-receipt-000048,var-legging-navy-s,2025-10-20,receipt,8,po-00022
mov-receipt-000098,var-short-navy-l,2025-10-20,receipt,13,po-00045
mov-receipt-000050,var-legging-navy-m,2025-10-21,receipt,13,po-00023
mov-sale-item-000295,var-short-black-m,2025-10-21,sale,-2,item-000295
mov-sale-item-001073,var-top-sand-l,2025-10-21,sale,-2,item-001073
mov-sale-item-001074,var-short-coral-l,2025-10-21,sale,-1,item-001074
mov-receipt-000046,var-legging-black-l,2025-10-22,receipt,4,po-00021
mov-sale-item-000834,var-sock-sage-m,2025-10-22,sale,-1,item-000834
mov-sale-item-000160,var-short-coral-s,2025-10-25,sale,-3,item-000160
mov-sale-item-000161,var-sock-ivory-m,2025-10-25,sale,-2,item-000161
mov-sale-item-001082,var-sock-black-m,2025-10-25,sale,-2,item-001082
mov-sale-item-001083,var-sock-lilac-m,2025-10-25,sale,-1,item-001083
mov-sale-item-001161,var-legging-olive-s,2025-10-25,sale,-1,item-001161
mov-sale-item-001162,var-short-navy-l,2025-10-25,sale,-1,item-001162
mov-sale-item-001386,var-sock-black-l,2025-10-26,sale,-2,item-001386
mov-sale-item-001387,var-top-sand-l,2025-10-26,sale,-3,item-001387
mov-sale-item-001743,var-sock-coral-m,2025-10-26,sale,-1,item-001743
mov-sale-item-001744,var-sock-rose-m,2025-10-26,sale,-1,item-001744
mov-sale-item-001720,var-short-navy-m,2025-10-27,sale,-1,item-001720
mov-sale-item-000550,var-sock-black-l,2025-10-28,sale,-1,item-000550
mov-sale-item-000759,var-sock-rose-m,2025-10-29,sale,-3,item-000759
mov-sale-item-000662,var-short-navy-s,2025-10-30,sale,-3,item-000662
mov-sale-item-000663,var-sock-lilac-m,2025-10-30,sale,-3,item-000663
mov-sale-item-001319,var-sock-ivory-m,2025-11-01,sale,-3,item-001319
mov-sale-item-001320,var-top-rose-s,2025-11-01,sale,-2,item-001320
mov-sale-item-001306,var-sock-ivory-l,2025-11-04,sale,-3,item-001306
mov-sale-item-000158,var-top-rose-m,2025-11-05,sale,-3,item-000158
mov-sale-item-000993,var-legging-olive-s,2025-11-05,sale,-1,item-000993
mov-sale-item-000668,var-sock-rose-m,2025-11-08,sale,-3,item-000668
mov-sale-item-001053,var-sock-rose-m,2025-11-08,sale,-1,item-001053
mov-sale-item-000366,var-sock-lilac-l,2025-11-09,sale,-1,item-000366
mov-sale-item-000727,var-short-navy-l,2025-11-09,sale,-3,item-000727
mov-sale-item-001666,var-sock-black-s,2025-11-12,sale,-3,item-001666
mov-sale-item-000648,var-legging-olive-l,2025-11-13,sale,-2,item-000648
mov-sale-item-000649,var-sock-rose-m,2025-11-13,sale,-2,item-000649
mov-sale-item-000368,var-short-navy-s,2025-11-14,sale,-1,item-000368
mov-sale-item-000369,var-legging-black-l,2025-11-14,sale,-3,item-000369
mov-sale-item-000799,var-sock-rose-l,2025-11-14,sale,-1,item-000799
mov-sale-item-000800,var-sock-rose-s,2025-11-14,sale,-3,item-000800
mov-sale-item-000264,var-sock-sage-s,2025-11-15,sale,-3,item-000264
mov-sale-item-001327,var-sock-coral-l,2025-11-17,sale,-1,item-001327
mov-sale-item-001328,var-short-navy-s,2025-11-17,sale,-2,item-001328
mov-sale-item-001758,var-sock-lilac-l,2025-11-17,sale,-2,item-001758
mov-sale-item-001759,var-top-rose-m,2025-11-17,sale,-1,item-001759
mov-sale-item-000757,var-sock-ivory-m,2025-11-18,sale,-3,item-000757
mov-sale-item-000758,var-short-navy-m,2025-11-18,sale,-1,item-000758
mov-sale-item-000598,var-sock-coral-m,2025-11-19,sale,-2,item-000598
mov-sale-item-000736,var-sock-sage-m,2025-11-19,sale,-3,item-000736
mov-sale-item-001445,var-top-black-l,2025-11-22,sale,-2,item-001445
mov-return-return-00027,var-sock-rose-l,2025-11-26,return,1,return-00027
mov-sale-item-000712,var-sock-sage-s,2025-11-27,sale,-2,item-000712
mov-sale-item-000713,var-sock-black-m,2025-11-27,sale,-3,item-000713
mov-sale-item-000976,var-sock-black-l,2025-11-27,sale,-3,item-000976
mov-sale-item-000977,var-sock-lilac-s,2025-11-27,sale,-2,item-000977
mov-sale-item-001130,var-sock-sage-s,2025-11-27,sale,-3,item-001130
mov-sale-item-001131,var-top-sand-l,2025-11-27,sale,-2,item-001131
mov-sale-item-000182,var-sock-lilac-s,2025-12-04,sale,-2,item-000182
mov-sale-item-000183,var-sock-black-l,2025-12-04,sale,-2,item-000183
mov-sale-item-000702,var-sock-ivory-s,2025-12-05,sale,-1,item-000702
mov-sale-item-000703,var-short-coral-l,2025-12-05,sale,-1,item-000703
mov-sale-item-000704,var-top-sand-m,2025-12-05,sale,-2,item-000704
mov-sale-item-000832,var-sock-rose-s,2025-12-05,sale,-3,item-000832
mov-sale-item-000833,var-sock-sage-m,2025-12-05,sale,-1,item-000833
mov-sale-item-000994,var-legging-navy-m,2025-12-05,sale,-2,item-000994
mov-sale-item-000995,var-sock-ivory-m,2025-12-05,sale,-3,item-000995
mov-sale-item-001037,var-sock-ivory-m,2025-12-09,sale,-1,item-001037
mov-sale-item-001038,var-sock-sage-s,2025-12-09,sale,-2,item-001038
mov-sale-item-001378,var-legging-navy-s,2025-12-09,sale,-1,item-001378
mov-sale-item-001379,var-sock-ivory-l,2025-12-09,sale,-1,item-001379
mov-sale-item-001571,var-sock-lilac-s,2025-12-10,sale,-3,item-001571
mov-sale-item-001607,var-sock-ivory-s,2025-12-10,sale,-1,item-001607
mov-sale-item-000065,var-sock-coral-s,2025-12-11,sale,-2,item-000065
mov-sale-item-000066,var-sock-sage-s,2025-12-11,sale,-3,item-000066
mov-sale-item-000633,var-sock-sage-s,2025-12-11,sale,-2,item-000633
mov-sale-item-000634,var-sock-ivory-l,2025-12-11,sale,-1,item-000634
mov-sale-item-001618,var-sock-ivory-l,2025-12-12,sale,-2,item-001618
mov-sale-item-001619,var-top-sand-l,2025-12-12,sale,-3,item-001619
mov-sale-item-000277,var-sock-ivory-l,2025-12-13,sale,-3,item-000277
mov-sale-item-000278,var-sock-black-m,2025-12-13,sale,-2,item-000278
mov-sale-item-001461,var-top-black-l,2025-12-13,sale,-3,item-001461
mov-sale-item-001462,var-sock-sage-l,2025-12-13,sale,-3,item-001462
mov-sale-item-001635,var-sock-lilac-s,2025-12-13,sale,-2,item-001635
mov-sale-item-001636,var-sock-rose-l,2025-12-13,sale,-3,item-001636
mov-sale-item-001637,var-short-navy-m,2025-12-13,sale,-2,item-001637
mov-sale-item-001583,var-sock-rose-s,2025-12-14,sale,-2,item-001583
mov-sale-item-001584,var-top-sand-m,2025-12-14,sale,-3,item-001584
mov-return-return-00055,var-sock-ivory-s,2025-12-15,return,1,return-00055
mov-sale-item-000632,var-sock-lilac-s,2025-12-16,sale,-3,item-000632
mov-sale-item-000740,var-sock-black-m,2025-12-16,sale,-2,item-000740
mov-sale-item-001211,var-sock-ivory-m,2025-12-17,sale,-2,item-001211
mov-return-return-00003,var-sock-coral-s,2025-12-18,return,1,return-00003
mov-return-return-00021,var-sock-sage-s,2025-12-18,return,1,return-00021
mov-sale-item-000856,var-legging-black-m,2025-12-18,sale,-1,item-000856
mov-sale-item-000237,var-short-coral-s,2025-12-20,sale,-3,item-000237
mov-sale-item-000567,var-sock-coral-l,2025-12-20,sale,-1,item-000567
mov-sale-item-000072,var-sock-lilac-m,2025-12-21,sale,-3,item-000072
mov-sale-item-000407,var-sock-ivory-s,2025-12-21,sale,-2,item-000407
mov-sale-item-001098,var-sock-rose-l,2025-12-21,sale,-1,item-001098
mov-sale-item-001099,var-top-sand-s,2025-12-21,sale,-3,item-001099
mov-sale-item-001671,var-legging-navy-l,2025-12-21,sale,-1,item-001671
mov-sale-item-001312,var-sock-coral-s,2025-12-22,sale,-3,item-001312
mov-sale-item-001313,var-sock-rose-m,2025-12-22,sale,-2,item-001313
mov-sale-item-000479,var-sock-lilac-l,2025-12-23,sale,-2,item-000479
mov-sale-item-000480,var-short-black-s,2025-12-23,sale,-1,item-000480
mov-sale-item-000481,var-legging-black-l,2025-12-23,sale,-1,item-000481
mov-sale-item-001208,var-sock-ivory-l,2025-12-23,sale,-2,item-001208
mov-sale-item-001559,var-short-navy-l,2025-12-25,sale,-3,item-001559
mov-sale-item-001702,var-sock-sage-m,2025-12-25,sale,-3,item-001702
mov-sale-item-001703,var-short-black-m,2025-12-25,sale,-1,item-001703
mov-sale-item-001191,var-sock-black-m,2025-12-27,sale,-3,item-001191
mov-sale-item-001192,var-sock-coral-s,2025-12-27,sale,-2,item-001192
mov-sale-item-000423,var-sock-coral-s,2025-12-28,sale,-1,item-000423
mov-sale-item-000440,var-sock-ivory-s,2025-12-28,sale,-1,item-000440
mov-sale-item-000611,var-sock-rose-s,2025-12-28,sale,-1,item-000611
mov-sale-item-001278,var-sock-sage-m,2025-12-28,sale,-2,item-001278
mov-sale-item-001279,var-legging-olive-s,2025-12-28,sale,-3,item-001279
mov-sale-item-001280,var-sock-rose-s,2025-12-28,sale,-2,item-001280
mov-sale-item-001089,var-top-rose-m,2025-12-29,sale,-3,item-001089
mov-sale-item-001090,var-sock-rose-m,2025-12-29,sale,-3,item-001090
mov-return-return-00057,var-legging-navy-l,2025-12-30,return,1,return-00057
mov-sale-item-000613,var-short-black-s,2025-12-30,sale,-2,item-000613
mov-sale-item-001072,var-legging-black-s,2025-12-30,sale,-2,item-001072
mov-sale-item-001576,var-sock-ivory-s,2025-12-30,sale,-1,item-001576
mov-sale-item-001577,var-sock-coral-m,2025-12-30,sale,-2,item-001577
mov-sale-item-001696,var-sock-rose-s,2025-12-31,sale,-3,item-001696
mov-sale-item-001697,var-sock-lilac-m,2025-12-31,sale,-1,item-001697
mov-sale-item-000906,var-legging-navy-m,2026-01-01,sale,-2,item-000906
mov-sale-item-000907,var-sock-black-l,2026-01-01,sale,-3,item-000907
mov-sale-item-001261,var-legging-black-m,2026-01-01,sale,-1,item-001261
mov-sale-item-001262,var-short-coral-s,2026-01-01,sale,-2,item-001262
mov-sale-item-000752,var-short-navy-s,2026-01-02,sale,-2,item-000752
mov-sale-item-000753,var-sock-lilac-l,2026-01-02,sale,-1,item-000753
mov-sale-item-000754,var-short-coral-m,2026-01-02,sale,-2,item-000754
mov-sale-item-000040,var-short-black-s,2026-01-03,sale,-1,item-000040
mov-sale-item-000041,var-sock-sage-l,2026-01-03,sale,-1,item-000041
mov-sale-item-000685,var-legging-olive-s,2026-01-04,sale,-3,item-000685
mov-sale-item-000212,var-top-black-s,2026-01-07,sale,-3,item-000212
mov-sale-item-000708,var-legging-olive-m,2026-01-07,sale,-3,item-000708
mov-sale-item-000738,var-sock-sage-m,2026-01-08,sale,-2,item-000738
mov-sale-item-000562,var-legging-olive-m,2026-01-09,sale,-1,item-000562
mov-sale-item-000563,var-sock-rose-s,2026-01-09,sale,-2,item-000563
mov-sale-item-001032,var-sock-lilac-s,2026-01-09,sale,-2,item-001032
mov-sale-item-001266,var-sock-ivory-m,2026-01-09,sale,-3,item-001266
mov-sale-item-001267,var-sock-ivory-s,2026-01-09,sale,-2,item-001267
mov-return-return-00043,var-legging-black-m,2026-01-10,return,1,return-00043
mov-sale-item-000056,var-top-black-s,2026-01-10,sale,-1,item-000056
mov-sale-item-000377,var-short-navy-m,2026-01-10,sale,-2,item-000377
mov-sale-item-000378,var-top-rose-m,2026-01-10,sale,-2,item-000378
mov-sale-item-000919,var-sock-coral-s,2026-01-10,sale,-1,item-000919
mov-sale-item-000920,var-top-sand-l,2026-01-10,sale,-3,item-000920
mov-sale-item-000474,var-sock-ivory-l,2026-01-11,sale,-3,item-000474
mov-sale-item-001148,var-sock-sage-l,2026-01-11,sale,-2,item-001148
mov-sale-item-001149,var-sock-sage-m,2026-01-11,sale,-1,item-001149
mov-sale-item-000033,var-top-sand-m,2026-01-12,sale,-3,item-000033
mov-sale-item-000857,var-sock-ivory-m,2026-01-12,sale,-1,item-000857
mov-sale-item-000858,var-sock-sage-m,2026-01-12,sale,-3,item-000858
mov-sale-item-001116,var-sock-lilac-s,2026-01-12,sale,-3,item-001116
mov-sale-item-001206,var-sock-ivory-s,2026-01-12,sale,-2,item-001206
mov-sale-item-001453,var-sock-ivory-s,2026-01-12,sale,-2,item-001453
mov-sale-item-000891,var-short-black-s,2026-01-13,sale,-2,item-000891
mov-sale-item-001344,var-sock-coral-l,2026-01-14,sale,-2,item-001344
mov-sale-item-001345,var-sock-ivory-s,2026-01-14,sale,-2,item-001345
mov-sale-item-001002,var-sock-sage-m,2026-01-15,sale,-3,item-001002
mov-sale-item-001220,var-short-navy-m,2026-01-15,sale,-3,item-001220
mov-sale-item-001221,var-sock-lilac-m,2026-01-15,sale,-2,item-001221
mov-sale-item-001730,var-legging-olive-s,2026-01-15,sale,-2,item-001730
mov-sale-item-000011,var-sock-black-l,2026-01-16,sale,-2,item-000011
mov-sale-item-000012,var-sock-coral-l,2026-01-16,sale,-2,item-000012
mov-sale-item-000103,var-short-navy-l,2026-01-16,sale,-1,item-000103
mov-sale-item-000105,var-short-navy-m,2026-01-16,sale,-3,item-000105
mov-sale-item-000347,var-top-rose-s,2026-01-16,sale,-3,item-000347
mov-sale-item-001471,var-sock-ivory-s,2026-01-16,sale,-1,item-001471
mov-sale-item-001472,var-sock-black-s,2026-01-16,sale,-2,item-001472
mov-return-return-00031,var-sock-coral-s,2026-01-17,return,1,return-00031
mov-sale-item-000308,var-sock-rose-l,2026-01-18,sale,-2,item-000308
mov-sale-item-001589,var-sock-black-s,2026-01-18,sale,-2,item-001589
mov-sale-item-001590,var-legging-navy-m,2026-01-18,sale,-3,item-001590
mov-sale-item-000689,var-sock-ivory-m,2026-01-19,sale,-2,item-000689
mov-sale-item-000690,var-legging-navy-s,2026-01-19,sale,-2,item-000690
mov-sale-item-001102,var-sock-lilac-m,2026-01-19,sale,-3,item-001102
mov-sale-item-001727,var-short-black-s,2026-01-20,sale,-1,item-001727
mov-sale-item-000371,var-sock-lilac-m,2026-01-21,sale,-2,item-000371
mov-sale-item-001301,var-sock-black-m,2026-01-21,sale,-1,item-001301
mov-sale-item-000811,var-short-navy-m,2026-01-22,sale,-2,item-000811
mov-sale-item-001294,var-sock-ivory-l,2026-01-22,sale,-3,item-001294
mov-sale-item-001295,var-legging-olive-m,2026-01-22,sale,-3,item-001295
mov-sale-item-001399,var-sock-lilac-s,2026-01-22,sale,-1,item-001399
mov-sale-item-001443,var-sock-sage-s,2026-01-22,sale,-1,item-001443
mov-sale-item-001444,var-top-sand-l,2026-01-22,sale,-3,item-001444
mov-sale-item-000294,var-sock-rose-m,2026-01-23,sale,-1,item-000294
mov-sale-item-000296,var-top-rose-l,2026-01-23,sale,-2,item-000296
mov-sale-item-000297,var-short-coral-s,2026-01-23,sale,-2,item-000297
mov-sale-item-001181,var-legging-navy-l,2026-01-23,sale,-1,item-001181
mov-sale-item-001499,var-legging-black-s,2026-01-23,sale,-3,item-001499
mov-sale-item-001500,var-sock-rose-l,2026-01-23,sale,-3,item-001500
mov-sale-item-001686,var-sock-rose-l,2026-01-23,sale,-3,item-001686
mov-sale-item-001687,var-short-black-l,2026-01-23,sale,-1,item-001687
mov-sale-item-000300,var-short-navy-s,2026-01-24,sale,-1,item-000300
mov-sale-item-001476,var-short-navy-l,2026-01-25,sale,-2,item-001476
mov-sale-item-001477,var-sock-ivory-l,2026-01-25,sale,-2,item-001477
mov-sale-item-001493,var-short-coral-m,2026-01-25,sale,-3,item-001493
mov-sale-item-001494,var-sock-ivory-m,2026-01-25,sale,-3,item-001494
mov-sale-item-001523,var-sock-coral-m,2026-01-25,sale,-1,item-001523
mov-sale-item-001524,var-short-black-m,2026-01-25,sale,-1,item-001524
mov-sale-item-000646,var-sock-coral-s,2026-01-26,sale,-2,item-000646
mov-sale-item-000647,var-top-black-m,2026-01-26,sale,-1,item-000647
mov-sale-item-000650,var-sock-rose-s,2026-01-26,sale,-2,item-000650
mov-sale-item-000433,var-legging-black-m,2026-01-27,sale,-2,item-000433
mov-sale-item-001091,var-sock-black-l,2026-01-27,sale,-2,item-001091
mov-sale-item-001092,var-sock-lilac-l,2026-01-27,sale,-3,item-001092
mov-sale-item-001093,var-short-black-s,2026-01-27,sale,-2,item-001093
mov-sale-item-001159,var-short-coral-l,2026-01-27,sale,-1,item-001159
mov-sale-item-001160,var-sock-sage-m,2026-01-27,sale,-1,item-001160
mov-sale-item-001441,var-legging-olive-l,2026-01-27,sale,-2,item-001441
mov-sale-item-001442,var-sock-lilac-m,2026-01-27,sale,-3,item-001442
mov-sale-item-001490,var-sock-sage-m,2026-01-27,sale,-2,item-001490
mov-sale-item-001771,var-short-coral-l,2026-01-28,sale,-2,item-001771
mov-sale-item-001772,var-legging-black-m,2026-01-28,sale,-2,item-001772
mov-sale-item-000652,var-sock-lilac-m,2026-01-29,sale,-2,item-000652
mov-sale-item-000784,var-sock-ivory-l,2026-01-29,sale,-3,item-000784
mov-sale-item-000785,var-top-black-l,2026-01-29,sale,-1,item-000785
mov-return-return-00051,var-sock-ivory-m,2026-01-30,return,1,return-00051
mov-sale-item-000199,var-legging-olive-s,2026-02-02,sale,-1,item-000199
mov-sale-item-000965,var-legging-olive-l,2026-02-03,sale,-3,item-000965
mov-sale-item-000681,var-sock-coral-l,2026-02-04,sale,-3,item-000681
mov-sale-item-000682,var-sock-rose-m,2026-02-04,sale,-1,item-000682
mov-sale-item-001154,var-sock-ivory-s,2026-02-04,sale,-2,item-001154
mov-sale-item-001155,var-sock-rose-m,2026-02-04,sale,-3,item-001155
mov-sale-item-001586,var-sock-lilac-s,2026-02-04,sale,-2,item-001586
mov-sale-item-001587,var-short-black-m,2026-02-04,sale,-2,item-001587
mov-sale-item-001588,var-short-navy-s,2026-02-04,sale,-2,item-001588
mov-sale-item-001289,var-sock-black-s,2026-02-05,sale,-2,item-001289
mov-sale-item-001290,var-legging-navy-l,2026-02-05,sale,-2,item-001290
mov-sale-item-001669,var-sock-black-l,2026-02-05,sale,-1,item-001669
mov-sale-item-001670,var-sock-rose-m,2026-02-05,sale,-3,item-001670
mov-sale-item-001556,var-sock-ivory-l,2026-02-06,sale,-3,item-001556
mov-sale-item-001557,var-short-black-m,2026-02-06,sale,-3,item-001557
mov-sale-item-000148,var-sock-lilac-s,2026-02-07,sale,-2,item-000148
mov-sale-item-000013,var-top-black-l,2026-02-09,sale,-3,item-000013
mov-sale-item-000014,var-sock-coral-m,2026-02-09,sale,-1,item-000014
mov-sale-item-000877,var-top-black-l,2026-02-09,sale,-1,item-000877
mov-sale-item-000878,var-sock-sage-l,2026-02-09,sale,-1,item-000878
