id,order_item_id,quantity,status
reservation-000179,item-000179,2,released
reservation-000180,item-000180,1,released
reservation-000181,item-000181,3,released
reservation-000182,item-000182,2,released
reservation-000183,item-000183,2,released
reservation-000184,item-000184,2,active
reservation-000185,item-000185,1,active
reservation-000186,item-000186,1,active
reservation-000187,item-000187,3,active
reservation-000188,item-000188,2,released
reservation-000189,item-000189,2,released
reservation-000190,item-000190,3,released
reservation-000191,item-000191,1,released
reservation-000192,item-000192,3,released
reservation-000193,item-000193,3,released
reservation-000194,item-000194,1,released
reservation-000195,item-000195,2,released
reservation-000196,item-000196,3,released
reservation-000197,item-000197,2,released
reservation-000198,item-000198,1,released
reservation-000199,item-000199,1,released
reservation-000200,item-000200,3,active
reservation-000201,item-000201,3,released
reservation-000202,item-000202,1,released
reservation-000203,item-000203,3,released
reservation-000204,item-000204,2,released
reservation-000205,item-000205,3,released
reservation-000206,item-000206,1,released
reservation-000207,item-000207,2,released
reservation-000208,item-000208,3,released
reservation-000209,item-000209,3,released
reservation-000210,item-000210,1,active
reservation-000211,item-000211,3,active
reservation-000212,item-000212,3,released
reservation-000213,item-000213,1,active
reservation-000214,item-000214,2,active
reservation-000215,item-000215,3,released
reservation-000216,item-000216,2,released
reservation-000217,item-000217,2,released
reservation-000218,item-000218,1,released
reservation-000219,item-000219,2,released
reservation-000220,item-000220,1,released
reservation-000221,item-000221,3,released
reservation-000222,item-000222,3,released
reservation-000223,item-000223,3,released
reservation-000224,item-000224,3,released
reservation-000225,item-000225,3,released
reservation-000226,item-000226,2,released
reservation-000227,item-000227,3,released
reservation-000228,item-000228,3,active
reservation-000229,item-000229,3,active
reservation-000230,item-000230,3,released
reservation-000231,item-000231,3,released
reservation-000232,item-000232,1,released
reservation-000233,item-000233,2,active
reservation-000234,item-000234,3,active
reservation-000235,item-000235,3,released
reservation-000236,item-000236,2,released
reservation-000237,item-000237,3,released
reservation-000238,item-000238,2,released
reservation-000239,item-000239,2,released
reservation-000240,item-000240,2,active
reservation-000241,item-000241,1,active
reservation-000242,item-000242,1,released
reservation-000243,item-000243,1,released
reservation-000244,item-000244,1,released
reservation-000245,item-000245,3,released
reservation-000246,item-000246,2,released
reservation-000247,item-000247,3,released
reservation-000248,item-000248,2,released
reservation-000249,item-000249,3,released
reservation-000250,item-000250,1,released
reservation-000251,item-000251,1,released
reservation-000252,item-000252,2,released
reservation-000253,item-000253,1,released
reservation-000254,item-000254,2,released
reservation-000255,item-000255,2,released
reservation-000256,item-000256,3,released
reservation-000257,item-000257,1,active
reservation-000258,item-000258,2,active
reservation-000259,item-000259,3,active
reservation-000260,item-000260,3,active
reservation-000261,item-000261,1,active
reservation-000262,item-000262,3,released
reservation-000263,item-000263,3,released
reservation-000264,item-000264,3,released
reservation-000265,item-000265,3,released
reservation-000266,item-000266,3,released
reservation-000267,item-000267,2,released
reservation-000268,item-000268,1,active
reservation-000269,item-000269,3,active
reservation-000270,item-000270,3,released
reservation-000271,item-000271,1,active
reservation-000272,item-000272,1,active
reservation-000273,item-000273,1,active
reservation-000274,item-000274,2,released
reservation-000275,item-000275,1,released
reservation-000276,item-000276,1,active
reservation-000277,item-000277,3,released
reservation-000278,item-000278,2,released
reservation-000279,item-000279,3,released
reservation-000280,item-000280,3,released
reservation-000281,item-000281,2,released
reservation-000282,item-000282,1,released
reservation-000283,item-000283,1,released
reservation-000284,item-000284,2,released
reservation-000285,item-000285,3,released
reservation-000286,item-000286,3,released
reservation-000287,item-000287,2,released
reservation-000288,item-000288,2,released
reservation-000289,item-000289,1,released
reservation-000290,item-000290,2,released
reservation-000291,item-000291,2,released
reservation-000292,item-000292,1,released
reservation-000293,item-000293,3,active
reservation-000294,item-000294,1,released
reservation-000295,item-000295,2,released
reservation-000296,item-000296,2,released
reservation-000297,item-000297,2,released
reservation-000298,item-000298,2,released
reservation-000299,item-000299,2,released
reservation-000300,item-000300,1,released
reservation-000301,item-000301,3,released
reservation-000302,item-000302,1,released
reservation-000303,item-000303,3,released
reservation-000304,item-000304,3,active
reservation-000305,item-000305,1,active
reservation-000306,item-000306,3,released
reservation-000307,item-000307,1,released
reservation-000308,item-000308,2,released
reservation-000309,item-000309,3,released
reservation-000310,item-000310,3,released
reservation-000311,item-000311,1,released
reservation-000312,item-000312,1,released
reservation-000313,item-000313,1,released
reservation-000314,item-000314,1,released
reservation-000315,item-000315,3,released
reservation-000316,item-000316,2,released
reservation-000317,item-000317,2,released
reservation-000318,item-000318,2,released
reservation-000319,item-000319,2,active
reservation-000320,item-000320,3,released
reservation-000321,item-000321,3,active
reservation-000322,item-000322,1,active
reservation-000323,item-000323,3,released
reservation-000324,item-000324,2,released
reservation-000325,item-000325,3,released
reservation-000326,item-000326,1,active
reservation-000327,item-000327,2,active
reservation-000328,item-000328,2,released
reservation-000329,item-000329,2,released
reservation-000330,item-000330,3,released
reservation-000331,item-000331,2,active
reservation-000332,item-000332,3,released
reservation-000333,item-000333,1,released
reservation-000334,item-000334,1,released
reservation-000335,item-000335,3,released
reservation-000336,item-000336,3,released
reservation-000337,item-000337,2,released
reservation-000338,item-000338,3,released
reservation-000339,item-000339,2,released
reservation-000340,item-000340,1,released
reservation-000341,item-000341,2,released
reservation-000342,item-000342,1,released
reservation-000343,item-000343,2,released
reservation-000344,item-000344,2,released
reservation-000345,item-000345,1,released
reservation-000346,item-000346,2,released
reservation-000347,item-000347,3,released
reservation-000348,item-000348,3,active
reservation-000349,item-000349,2,released
reservation-000350,item-000350,1,released
reservation-000351,item-000351,1,active
reservation-000352,item-000352,3,released
reservation-000353,item-000353,1,released
reservation-000354,item-000354,1,released
reservation-000355,item-000355,3,released
reservation-000356,item-000356,3,active
reservation-000357,item-000357,3,active
reservation-000358,item-000358,2,active
reservation-000359,item-000359,2,released
reservation-000360,item-000360,1,active
reservation-000361,item-000361,2,active
reservation-000362,item-000362,2,active
reservation-000363,item-000363,2,released
reservation-000364,item-000364,2,released
reservation-000365,item-000365,3,released
reservation-000366,item-000366,1,released
reservation-000367,item-000367,1,released
reservation-000368,item-000368,1,released
reservation-000369,item-000369,3,released
reservation-000370,item-000370,3,released
reservation-000371,item-000371,2,released
reservation-000372,item-000372,2,released
reservation-000373,item-000373,2,released
reservation-000374,item-000374,3,released
reservation-000375,item-000375,2,active
reservation-000376,item-000376,2,active
reservation-000377,item-000377,2,released
reservation-000378,item-000378,2,released
reservation-000379,item-000379,1,released
reservation-000380,item-000380,2,released
reservation-000381,item-000381,1,released
reservation-000382,item-000382,1,released
reservation-000383,item-000383,1,released
reservation-000384,item-000384,3,active
reservation-000385,item-000385,1,released
reservation-000386,item-000386,1,released
reservation-000387,item-000387,3,released
reservation-000388,item-000388,1,released
reservation-000389,item-000389,1,released
reservation-000390,item-000390,3,released
reservation-000391,item-000391,2,active
reservation-000392,item-000392,1,active
reservation-000393,item-000393,2,released
reservation-000394,item-000394,2,released
reservation-000395,item-000395,1,released
reservation-000396,item-000396,1,released
reservation-000397,item-000397,3,released
reservation-000398,item-000398,3,released
reservation-000399,item-000399,3,released
reservation-000400,item-000400,1,released
reservation-000401,item-000401,2,released
reservation-000402,item-000402,2,released
reservation-000403,item-000403,2,released
reservation-000404,item-000404,2,released
reservation-000405,item-000405,1,released
reservation-000406,item-000406,3,released
reservation-000407,item-000407,2,released
reservation-000408,item-000408,3,released
reservation-000409,item-000409,3,released
reservation-000410,item-000410,1,released
reservation-000411,item-000411,1,active
reservation-000412,item-000412,1,released
reservation-000413,item-000413,2,released
reservation-000414,item-000414,1,released
reservation-000415,item-000415,1,released
reservation-000416,item-000416,2,released
reservation-000417,item-000417,3,released
reservation-000418,item-000418,2,released
reservation-000419,item-000419,1,released
reservation-000420,item-000420,3,active
reservation-000421,item-000421,3,active
reservation-000422,item-000422,2,released
reservation-000423,item-000423,1,released
reservation-000424,item-000424,1,released
reservation-000425,item-000425,2,released
reservation-000426,item-000426,2,released
reservation-000427,item-000427,2,released
reservation-000428,item-000428,2,active
reservation-000429,item-000429,3,released
reservation-000430,item-000430,2,active
reservation-000431,item-000431,3,released
reservation-000432,item-000432,2,released
reservation-000433,item-000433,2,released
reservation-000434,item-000434,2,active
reservation-000435,item-000435,2,released
reservation-000436,item-000436,1,released
reservation-000437,item-000437,3,released
reservation-000438,item-000438,3,released
reservation-000439,item-000439,2,released
reservation-000440,item-000440,1,released
reservation-000441,item-000441,1,released
reservation-000442,item-000442,1,released
reservation-000443,item-000443,2,released
reservation-000444,item-000444,3,released
reservation-000445,item-000445,3,released
reservation-000446,item-000446,1,released
reservation-000447,item-000447,1,active
reservation-000448,item-000448,1,released
reservation-000449,item-000449,2,released
reservation-000450,item-000450,3,released
reservation-000451,item-000451,1,released
reservation-000452,item-000452,2,released
reservation-000453,item-000453,2,released
reservation-000454,item-000454,3,released
reservation-000455,item-000455,2,released
reservation-000456,item-000456,1,active
reservation-000457,item-000457,1,released
reservation-000458,item-000458,1,released
reservation-000459,item-000459,1,active
reservation-000460,item-000460,1,active
reservation-000461,item-000461,3,active
reservation-000462,item-000462,3,released
reservation-000463,item-000463,2,released
reservation-000464,item-000464,1,released
reservation-000465,item-000465,1,active
reservation-000466,item-000466,2,released
reservation-000467,item-000467,3,released
reservation-000468,item-000468,2,released
reservation-000469,item-000469,3,released
reservation-000470,item-000470,3,released
reservation-000471,item-000471,2,released
reservation-000472,item-000472,3,released
reservation-000473,item-000473,3,released
reservation-000474,item-000474,3,released
reservation-000475,item-000475,2,released
reservation-000476,item-000476,3,released
reservation-000477,item-000477,2,active
reservation-000478,item-000478,1,active
reservation-000479,item-000479,2,released
reservation-000480,item-000480,1,released
reservation-000481,item-000481,1,released
reservation-000482,item-000482,3,released
reservation-000483,item-000483,3,released
reservation-000484,item-000484,1,released
reservation-000485,item-000485,1,released
reservation-000486,item-000486,2,released
reservation-000487,item-000487,1,released
reservation-000488,item-000488,1,released
reservation-000489,item-000489,1,released
reservation-000490,item-000490,2,released
reservation-000491,item-000491,2,released
reservation-000492,item-000492,3,released
reservation-000493,item-000493,2,released
reservation-000494,item-000494,2,active
reservation-000495,item-000495,1,released
reservation-000496,item-000496,1,released
reservation-000497,item-000497,2,released
reservation-000498,item-000498,2,active
reservation-000499,item-000499,2,active
reservation-000500,item-000500,3,active
reservation-000501,item-000501,2,released
reservation-000502,item-000502,1,released
reservation-000503,item-000503,3,active
reservation-000504,item-000504,2,active
reservation-000505,item-000505,1,released
reservation-000506,item-000506,3,released
reservation-000507,item-000507,3,released
reservation-000508,item-000508,2,released
reservation-000509,item-000509,1,released
reservation-000510,item-000510,2,released
reservation-000511,item-000511,1,released
reservation-000512,item-000512,1,released
reservation-000513,item-000513,3,active
reservation-000514,item-000514,3,released
reservation-000515,item-000515,1,released
reservation-000516,item-000516,1,released
reservation-000517,item-000517,1,released
reservation-000518,item-000518,1,released
reservation-000519,item-000519,1,active
reservation-000520,item-000520,1,active
reservation-000521,item-000521,3,released
reservation-000522,item-000522,1,released
reservation-000523,item-000523,1,released
reservation-000524,item-000524,2,released
reservation-000525,item-000525,2,released
reservation-000526,item-000526,3,released
reservation-000527,item-000527,3,released
reservation-000528,item-000528,3,released
reservation-000529,item-000529,2,active
reservation-000530,item-000530,1,released
reservation-000531,item-000531,1,released
reservation-000532,item-000532,3,released
reservation-000533,item-000533,3,released
reservation-000534,item-000534,1,released
reservation-000535,item-000535,3,active
reservation-000536,item-000536,2,released
reservation-000537,item-000537,2,released
reservation-000538,item-000538,1,released
reservation-000539,item-000539,3,released
reservation-000540,item-000540,3,active
reservation-000541,item-000541,1,active
reservation-000542,item-000542,2,active
reservation-000543,item-000543,3,released
reservation-000544,item-000544,2,released
reservation-000545,item-000545,3,released
reservation-000546,item-000546,2,released
reservation-000547,item-000547,3,released
reservation-000548,item-000548,3,released
reservation-000549,item-000549,3,active
reservation-000550,item-000550,1,released
reservation-000551,item-000551,3,released
reservation-000552,item-000552,1,released
reservation-000553,item-000553,3,active
reservation-000554,item-000554,2,active
reservation-000555,item-000555,2,released
reservation-000556,item-000556,1,released
reservation-000557,item-000557,1,released
reservation-000558,item-000558,2,released
reservation-000559,item-000559,1,released
reservation-000560,item-000560,3,released
reservation-000561,item-000561,3,released
reservation-000562,item-000562,1,released
reservation-000563,item-000563,2,released
reservation-000564,item-000564,2,released
reservation-000565,item-000565,2,released
reservation-000566,item-000566,2,released
reservation-000567,item-000567,1,released
reservation-000568,item-000568,3,released
reservation-000569,item-000569,3,released
reservation-000570,item-000570,2,active
reservation-000571,item-000571,3,released
reservation-000572,item-000572,1,released
reservation-000573,item-000573,2,released
reservation-000574,item-000574,1,released
reservation-000575,item-000575,3,released
reservation-000576,item-000576,3,released
reservation-000577,item-000577,1,released
reservation-000578,item-000578,3,released
reservation-000579,item-000579,1,released
reservation-000580,item-000580,1,released
reservation-000581,item-000581,1,released
reservation-000582,item-000582,2,released
reservation-000583,item-000583,1,active
reservation-000584,item-000584,1,released
reservation-000585,item-000585,1,released
reservation-000586,item-000586,1,released
reservation-000587,item-000587,3,active
reservation-000588,item-000588,3,released
reservation-000589,item-000589,2,active
reservation-000590,item-000590,2,released
reservation-000591,item-000591,2,released
reservation-000592,item-000592,2,released
reservation-000593,item-000593,1,released
reservation-000594,item-000594,2,released
reservation-000595,item-000595,1,active
reservation-000596,item-000596,3,released
reservation-000597,item-000597,1,released
reservation-000598,item-000598,2,released
reservation-000599,item-000599,3,active
reservation-000600,item-000600,1,active
reservation-000601,item-000601,2,released
reservation-000602,item-000602,3,released
reservation-000603,item-000603,3,released
reservation-000604,item-000604,2,released
reservation-000605,item-000605,1,released
reservation-000606,item-000606,3,released
reservation-000607,item-000607,3,released
reservation-000608,item-000608,3,released
reservation-000609,item-000609,1,released
reservation-000610,item-000610,1,active
reservation-000611,item-000611,1,released
reservation-000612,item-000612,1,released
reservation-000613,item-000613,2,released
reservation-000614,item-000614,3,released
reservation-000615,item-000615,2,released
reservation-000616,item-000616,2,released
reservation-000617,item-000617,3,released
reservation-000618,item-000618,2,released
reservation-000619,item-000619,1,released
reservation-000620,item-000620,2,released
reservation-000621,item-000621,3,released
reservation-000622,item-000622,1,released
reservation-000623,item-000623,2,released
reservation-000624,item-000624,3,released
reservation-000625,item-000625,1,released
reservation-000626,item-000626,2,released
reservation-000627,item-000627,3,released
reservation-000628,item-000628,1,released
reservation-000629,item-000629,2,released
reservation-000630,item-000630,1,released
reservation-000631,item-000631,3,released
reservation-000632,item-000632,3,released
reservation-000633,item-000633,2,released
reservation-000634,item-000634,1,released
reservation-000635,item-000635,1,released
reservation-000636,item-000636,2,active
reservation-000637,item-000637,1,released
reservation-000638,item-000638,2,released
reservation-000639,item-000639,2,released
reservation-000640,item-000640,2,released
reservation-000641,item-000641,2,released
reservation-000642,item-000642,2,released
reservation-000643,item-000643,1,released
reservation-000644,item-000644,3,released
reservation-000645,item-000645,2,released
reservation-000646,item-000646,2,released
reservation-000647,item-000647,1,released
reservation-000648,item-000648,2,released
reservation-000649,item-000649,2,released
reservation-000650,item-000650,2,released
reservation-000651,item-000651,2,released
reservation-000652,item-000652,2,released
reservation-000653,item-000653,3,active
reservation-000654,item-000654,1,active
reservation-000655,item-000655,3,active
reservation-000656,item-000656,3,released
reservation-000657,item-000657,3,released
reservation-000658,item-000658,3,released
reservation-000659,item-000659,1,released
reservation-000660,item-000660,2,released
reservation-000661,item-000661,3,released
reservation-000662,item-000662,3,released
reservation-000663,item-000663,3,released
reservation-000664,item-000664,2,released
reservation-000665,item-000665,3,released
reservation-000666,item-000666,3,released
reservation-000667,item-000667,3,released
reservation-000668,item-000668,3,released
reservation-000669,item-000669,3,released
reservation-000670,item-000670,3,released
reservation-000671,item-000671,2,released
reservation-000672,item-000672,3,released
reservation-000673,item-000673,2,released
reservation-000674,item-000674,1,released
reservation-000675,item-000675,1,released
reservation-000676,item-000676,1,released
reservation-000677,item-000677,2,released
reservation-000678,item-000678,1,active
reservation-000679,item-000679,2,active
reservation-000680,item-000680,1,active
reservation-000681,item-000681,3,released
reservation-000682,item-000682,1,released
reservation-000683,item-000683,2,released
reservation-000684,item-000684,3,released
reservation-000685,item-000685,3,released
reservation-000686,item-000686,1,released
reservation-000687,item-000687,1,released
reservation-000688,item-000688,3,released
reservation-000689,item-000689,2,released
reservation-000690,item-000690,2,released
reservation-000691,item-000691,2,released
reservation-000692,item-000692,3,released
reservation-000693,item-000693,1,released
reservation-000694,item-000694,1,released
reservation-000695,item-000695,1,active
reservation-000696,item-000696,2,released
reservation-000697,item-000697,2,released
reservation-000698,item-000698,1,released
reservation-000699,item-000699,3,active
reservation-000700,item-000700,2,released
reservation-000701,item-000701,1,released
reservation-000702,item-000702,1,released
reservation-000703,item-000703,1,released
reservation-000704,item-000704,2,released
reservation-000705,item-000705,3,released
reservation-000706,item-000706,1,released
reservation-000707,item-000707,2,released
reservation-000708,item-000708,3,released
reservation-000709,item-000709,3,active
reservation-000710,item-000710,2,active
reservation-000711,item-000711,1,released
reservation-000712,item-000712,2,released
reservation-000713,item-000713,3,released
reservation-000714,item-000714,3,released
reservation-000715,item-000715,1,released
reservation-000716,item-000716,3,active
reservation-000717,item-000717,3,active
reservation-000718,item-000718,2,released
reservation-000719,item-000719,3,released
reservation-000720,item-000720,2,released
reservation-000721,item-000721,3,released
reservation-000722,item-000722,1,released
reservation-000723,item-000723,1,released
reservation-000724,item-000724,1,released
reservation-000725,item-000725,1,released
reservation-000726,item-000726,3,released
reservation-000727,item-000727,3,released
reservation-000728,item-000728,3,active
reservation-000729,item-000729,1,active
reservation-000730,item-000730,3,active
reservation-000731,item-000731,3,released
reservation-000732,item-000732,1,active
reservation-000733,item-000733,3,active
reservation-000734,item-000734,2,released
reservation-000735,item-000735,3,released
reservation-000736,item-000736,3,released
reservation-000737,item-000737,2,released
reservation-000738,item-000738,2,released
reservation-000739,item-000739,3,released
reservation-000740,item-000740,2,released
reservation-000741,item-000741,1,active
reservation-000742,item-000742,1,active
reservation-000743,item-000743,2,released
reservation-000744,item-000744,2,active
reservation-000745,item-000745,2,active
reservation-000746,item-000746,3,released
reservation-000747,item-000747,2,released
reservation-000748,item-000748,3,released
reservation-000749,item-000749,2,released
reservation-000750,item-000750,1,released
reservation-000751,item-000751,3,released
reservation-000752,item-000752,2,released
reservation-000753,item-000753,1,released
reservation-000754,item-000754,2,released
reservation-000755,item-000755,2,released
reservation-000756,item-000756,2,released
reservation-000757,item-000757,3,released
reservation-000758,item-000758,1,released
reservation-000759,item-000759,3,released
reservation-000760,item-000760,3,released
reservation-000761,item-000761,3,released
reservation-000762,item-000762,3,released
reservation-000763,item-000763,3,released
reservation-000764,item-000764,1,released
reservation-000765,item-000765,2,released
reservation-000766,item-000766,2,released
reservation-000767,item-000767,2,released
reservation-000768,item-000768,1,active
reservation-000769,item-000769,2,active
reservation-000770,item-000770,2,released
reservation-000771,item-000771,1,released
reservation-000772,item-000772,1,released
reservation-000773,item-000773,1,active
reservation-000774,item-000774,2,released
reservation-000775,item-000775,2,released
reservation-000776,item-000776,3,released
reservation-000777,item-000777,2,released
reservation-000778,item-000778,1,released
reservation-000779,item-000779,3,released
reservation-000780,item-000780,2,released
reservation-000781,item-000781,3,released
reservation-000782,item-000782,3,released
reservation-000783,item-000783,1,active
reservation-000784,item-000784,3,released
reservation-000785,item-000785,1,released
reservation-000786,item-000786,1,active
reservation-000787,item-000787,1,released
reservation-000788,item-000788,3,released
reservation-000789,item-000789,1,released
reservation-000790,item-000790,2,released
reservation-000791,item-000791,1,released
reservation-000792,item-000792,2,active
reservation-000793,item-000793,3,released
reservation-000794,item-000794,3,released
reservation-000795,item-000795,3,released
reservation-000796,item-000796,3,released
reservation-000797,item-000797,2,released
reservation-000798,item-000798,2,released
reservation-000799,item-000799,1,released
reservation-000800,item-000800,3,released
reservation-000801,item-000801,3,released
reservation-000802,item-000802,3,released
reservation-000803,item-000803,1,released
reservation-000804,item-000804,3,released
reservation-000805,item-000805,1,released
reservation-000806,item-000806,2,released
reservation-000807,item-000807,2,released
reservation-000808,item-000808,1,released
reservation-000809,item-000809,3,released
reservation-000810,item-000810,1,released
reservation-000811,item-000811,2,released
reservation-000812,item-000812,2,released
reservation-000813,item-000813,1,released
reservation-000814,item-000814,1,released
reservation-000815,item-000815,3,released
reservation-000816,item-000816,2,active
reservation-000817,item-000817,2,active
reservation-000818,item-000818,1,released
reservation-000819,item-000819,1,released
reservation-000820,item-000820,3,released
reservation-000821,item-000821,3,released
reservation-000822,item-000822,3,released
reservation-000823,item-000823,2,released
reservation-000824,item-000824,3,released
reservation-000825,item-000825,2,released
reservation-000826,item-000826,1,released
reservation-000827,item-000827,1,released
reservation-000828,item-000828,1,released
reservation-000829,item-000829,1,released
reservation-000830,item-000830,1,released
reservation-000831,item-000831,3,released
reservation-000832,item-000832,3,released
reservation-000833,item-000833,1,released
reservation-000834,item-000834,1,released
reservation-000835,item-000835,1,released
reservation-000836,item-000836,3,released
reservation-000837,item-000837,1,released
reservation-000838,item-000838,2,released
reservation-000839,item-000839,2,released
reservation-000840,item-000840,2,released
reservation-000841,item-000841,3,released
reservation-000842,item-000842,1,released
reservation-000843,item-000843,3,released
reservation-000844,item-000844,1,active
reservation-000845,item-000845,3,released
reservation-000846,item-000846,1,released
reservation-000847,item-000847,1,active
reservation-000848,item-000848,2,active
reservation-000849,item-000849,1,active
reservation-000850,item-000850,1,released
reservation-000851,item-000851,2,released
reservation-000852,item-000852,1,released
reservation-000853,item-000853,3,released
reservation-000854,item-000854,3,released
reservation-000855,item-000855,3,released
reservation-000856,item-000856,1,released
reservation-000857,item-000857,1,released
reservation-000858,item-000858,3,released
reservation-000859,item-000859,2,released
reservation-000860,item-000860,2,active
reservation-000861,item-000861,3,active
reservation-000862,item-000862,2,released
reservation-000863,item-000863,2,released
reservation-000864,item-000864,3,released
reservation-000865,item-000865,2,released
reservation-000866,item-000866,3,active
reservation-000867,item-000867,1,released
reservation-000868,item-000868,2,released
reservation-000869,item-000869,3,released
reservation-000870,item-000870,1,released
reservation-000871,item-000871,3,released
reservation-000872,item-000872,2,released
reservation-000873,item-000873,1,active
